#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    4.955325E+03   1.0000E-099   9.8249E-014   1.4411E-006   1.0000E+000
    5.268505E+03   1.0000E-099   8.0395E-014   1.3097E-006   1.0000E+000
    5.601477E+03   1.0000E-099   6.9002E-014   1.2131E-006   1.0000E+000
    5.955494E+03   1.0000E-099   6.4513E-014   1.1710E-006   1.0000E+000
    6.331885E+03   1.0000E-099   6.7271E-014   1.1866E-006   1.0000E+000
    6.732064E+03   1.0000E-099   7.3899E-014   1.2297E-006   1.0000E+000
    7.157534E+03   1.0000E-099   8.7761E-014   1.3285E-006   1.0000E+000
    7.609895E+03   1.0000E-099   1.0838E-013   1.4666E-006   1.0000E+000
    8.090845E+03   1.0000E-099   1.5238E-013   1.7364E-006   1.0000E+000
    8.602191E+03   1.0000E-099   2.8916E-013   2.4379E-006   1.0000E+000
    9.145855E+03   1.0000E-099   1.8049E-012   6.9467E-006   9.9999E-001
    9.716757E+03   1.0000E-099   7.0356E-011   6.9983E-005   9.9993E-001
    1.017136E+04   1.0000E-099   4.2816E-009   1.1709E-003   9.9883E-001
    1.058976E+04   1.0000E-099   7.5857E-007   4.0357E-002   9.5964E-001
    1.103681E+04   1.0000E-099   4.1837E-004   9.5950E-001   4.0080E-002
    1.143091E+04   1.0000E-099   1.0251E-002   9.8965E-001   1.0223E-004
    1.169743E+04   1.0000E-099   4.3674E-002   9.5632E-001   8.4585E-006
    1.185375E+04   1.0000E-099   8.2900E-002   9.1710E-001   2.1472E-006
    1.195751E+04   1.0000E-099   1.5159E-001   8.4841E-001   4.2948E-007
    1.203767E+04   1.0000E-099   2.6816E-001   7.3184E-001   6.1397E-008
    1.210835E+04   1.0000E-099   4.1080E-001   5.8920E-001   9.5566E-009
    1.217533E+04   1.0000E-099   5.4994E-001   4.5006E-001   1.7810E-009
    1.224092E+04   1.0000E-099   6.6222E-001   3.3778E-001   4.1860E-010
    1.231061E+04   1.0000E-099   7.4650E-001   2.5350E-001   1.1775E-010
    1.238832E+04   1.0000E-099   8.0699E-001   1.9301E-001   3.8740E-011
    1.249177E+04   1.0000E-099   8.5451E-001   1.4549E-001   1.2838E-011
    1.273320E+04   1.0000E-099   9.0139E-001   9.8608E-002   2.7835E-012
    1.314431E+04   1.0000E-099   9.2886E-001   7.1144E-002   7.1268E-013
    1.356973E+04   1.0000E-099   9.4970E-001   5.0303E-002   1.8204E-013
    1.397745E+04   1.0000E-099   9.7137E-001   2.8626E-002   2.6807E-014
    1.437971E+04   1.0000E-099   9.8666E-001   1.3343E-002   2.6309E-015
    1.481384E+04   1.0000E-099   9.9476E-001   5.2445E-003   1.8045E-016
    1.527443E+04   1.0000E-099   9.9823E-001   1.7687E-003   7.4764E-018
    1.573281E+04   1.0000E-099   9.9932E-001   6.7791E-004   4.1609E-019
    1.619433E+04   1.0000E-099   9.9966E-001   3.3628E-004   4.0801E-020
