#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3
10839.94 5.4998e-04 1.9470e-01 7.4510e-01 5.9647e-02
11119.11 6.4073e-04 2.5209e-01 6.8794e-01 5.9321e-02
11355.83 8.1080e-04 2.4955e-01 7.0488e-01 4.4764e-02
11539.81 8.0805e-04 2.6825e-01 6.9572e-01 3.5221e-02
11677.16 7.5569e-04 2.4368e-01 7.2795e-01 2.7612e-02
11784.05 5.8158e-04 2.5598e-01 7.1583e-01 2.7611e-02
11875.85 4.7672e-04 2.4369e-01 7.3096e-01 2.4867e-02
11963.37 5.0609e-04 2.7492e-01 6.9774e-01 2.6831e-02
12055.39 4.3855e-04 2.6927e-01 6.9759e-01 3.2701e-02
12170.41 3.7390e-04 3.0307e-01 6.5627e-01 4.0283e-02
12360.89 1.0649e-04 1.5470e-01 7.7735e-01 6.7849e-02
12670.46 1.4407e-05 3.3593e-02 8.4844e-01 1.1796e-01
13075.34 6.7460e-06 1.7784e-02 8.3377e-01 1.4844e-01
13530.52 5.0649e-06 1.7834e-02 7.9524e-01 1.8692e-01
14012.75 3.6750e-06 1.5474e-02 7.5725e-01 2.2727e-01
14508.81 3.0985e-06 1.4170e-02 7.1131e-01 2.7452e-01
15002.30 2.8607e-06 1.2179e-02 7.1699e-01 2.7083e-01
15475.29 2.7053e-06 1.1468e-02 7.6210e-01 2.2643e-01
15923.68 2.2337e-06 9.6439e-03 7.5584e-01 2.3452e-01
16355.64 2.0590e-06 9.7547e-03 7.3936e-01 2.5089e-01
16776.27 2.3092e-06 1.0363e-02 7.8900e-01 2.0064e-01
17183.14 1.7469e-06 7.3953e-03 8.5075e-01 1.4186e-01
17580.45 1.9769e-06 8.7108e-03 8.2091e-01 1.7038e-01
17990.34 2.4921e-06 9.9272e-03 8.2960e-01 1.6047e-01
18458.06 1.1968e-06 4.9668e-03 8.3661e-01 1.5842e-01
19084.69 1.5729e-06 7.0004e-03 7.8146e-01 2.1154e-01
19999.79 9.8840e-07 6.4278e-03 7.6108e-01 2.3249e-01
21193.46 2.2912e-07 2.8487e-03 6.7581e-01 3.2134e-01
22528.72 5.6573e-08 1.1775e-03 5.7703e-01 4.2179e-01
23943.32 3.8723e-08 1.1359e-03 2.9061e-01 7.0825e-01
25446.74 3.1665e-08 1.1866e-03 1.3973e-01 8.5908e-01
27044.57 7.8485e-09 4.4103e-04 6.5717e-02 9.3384e-01
28744.18 8.8501e-10 9.7535e-05 2.4646e-01 7.5344e-01
30520.16 4.4902e-10 7.5596e-05 5.3627e-02 9.4630e-01
32243.50 1.3911e-10 3.4537e-05 3.2868e-02 9.6710e-01
33773.01 8.7087e-11 2.5508e-05 5.5248e-02 9.4473e-01
35108.48 3.6004e-11 1.7257e-05 7.5653e-02 9.2433e-01
36326.30 1.3360e-11 9.0763e-06 5.4826e-02 9.4517e-01
37486.70 5.6491e-12 6.2289e-06 3.8887e-02 9.6111e-01
38628.25 2.1365e-12 3.2747e-06 2.8566e-02 9.7143e-01
39768.62 1.1090e-12 2.1773e-06 2.1673e-02 9.7832e-01
40915.31 5.1887e-13 1.4027e-06 1.6956e-02 9.8304e-01
42074.51 1.7185e-13 6.4073e-07 1.2701e-02 9.8730e-01
43252.44 3.1560e-14 1.6443e-07 9.4826e-03 9.9052e-01
44454.05 2.3090e-14 1.7369e-07 4.3351e-03 9.9566e-01
45683.04 6.9741e-15 6.8132e-08 6.4098e-04 9.9936e-01
46941.68 2.6282e-15 3.4553e-08 4.6758e-04 9.9953e-01
48230.81 7.3270e-16 1.2972e-08 4.6299e-04 9.9954e-01
49550.29 2.2694e-16 5.4789e-09 2.1521e-03 9.9785e-01
50899.37 1.1762e-16 3.8543e-09 1.5978e-03 9.9840e-01
52276.86 8.9569e-17 4.2692e-09 1.1871e-03 9.9881e-01
53681.16 4.7842e-17 3.0446e-09 8.8101e-04 9.9912e-01
55110.21 3.6925e-17 3.0374e-09 6.5220e-04 9.9935e-01
56561.17 1.2858e-17 1.2457e-09 4.9115e-04 9.9951e-01
58030.00 4.9780e-18 6.4114e-10 3.6969e-04 9.9963e-01
59510.42 2.8741e-18 4.8203e-10 2.7940e-04 9.9972e-01
60993.45 1.4587e-18 2.9526e-10 2.1234e-04 9.9979e-01
62466.44 7.1301e-19 1.8554e-10 1.6250e-04 9.9984e-01
63912.69 1.9912e-19 6.7869e-11 1.2612e-04 9.9987e-01
65311.62 9.7116e-20 4.0292e-11 9.9089e-05 9.9990e-01
66639.26 7.5662e-20 3.7244e-11 7.9229e-05 9.9992e-01
67870.77 9.0131e-20 6.0148e-11 6.4670e-05 9.9994e-01
