#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
14757.77 1.5031e-03 5.3044e-01 4.2698e-01 4.1076e-02
15240.48 2.5879e-03 5.8268e-01 3.8030e-01 3.4440e-02
15646.99 4.3878e-03 7.1076e-01 2.7004e-01 1.4819e-02
15960.30 6.3141e-03 7.8511e-01 2.0107e-01 7.4974e-03
16187.41 5.1668e-03 8.1404e-01 1.7529e-01 5.4974e-03
16354.17 6.8086e-03 8.0500e-01 1.8253e-01 5.6616e-03
16484.18 3.6325e-03 8.0245e-01 1.8788e-01 6.0375e-03
16593.12 2.4154e-03 7.9411e-01 1.9602e-01 7.4543e-03
16691.99 2.9852e-03 7.7993e-01 2.0887e-01 8.2175e-03
16788.59 3.0249e-03 7.0298e-01 2.8210e-01 1.1898e-02
16888.37 1.6785e-03 7.3366e-01 2.5384e-01 1.0813e-02
16998.79 1.6550e-03 6.9861e-01 2.8631e-01 1.3426e-02
17146.37 1.3797e-03 6.9001e-01 2.8961e-01 1.9000e-02
17415.23 8.6551e-04 6.3368e-01 3.4703e-01 1.8424e-02
17888.12 7.9380e-04 5.5652e-01 4.1444e-01 2.8243e-02
18532.37 4.5135e-04 5.5325e-01 4.0950e-01 3.6798e-02
19260.76 3.5483e-04 4.4982e-01 5.0390e-01 4.5926e-02
20034.10 2.2835e-04 3.9893e-01 5.3903e-01 6.1806e-02
20838.00 1.6391e-04 3.7141e-01 5.2081e-01 1.0761e-01
21647.97 1.0786e-04 2.8163e-01 6.0021e-01 1.1805e-01
22447.94 1.1904e-04 3.0014e-01 5.8003e-01 1.1971e-01
23245.88 9.9216e-05 2.5732e-01 5.8227e-01 1.6031e-01
24052.47 3.3578e-05 9.8977e-02 6.9105e-01 2.0994e-01
24867.72 1.0092e-04 2.0693e-01 5.6588e-01 2.2709e-01
