#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3
2427.74 5.8352e-01 2.5610e-01 1.1822e-01 4.2164e-02
2580.18 5.1555e-01 3.0717e-01 1.2846e-01 4.8822e-02
2742.19 4.4511e-01 3.6023e-01 1.3879e-01 5.5866e-02
2914.37 3.5604e-01 4.3224e-01 1.4858e-01 6.3137e-02
3097.37 2.6106e-01 5.1313e-01 1.5633e-01 6.9477e-02
3291.85 1.5045e-01 6.0677e-01 1.6553e-01 7.7252e-02
3498.55 1.1278e-01 6.5619e-01 1.5799e-01 7.3042e-02
3718.23 1.4438e-01 6.7309e-01 1.2778e-01 5.4754e-02
3951.70 1.4934e-01 6.8969e-01 1.1378e-01 4.7189e-02
4199.83 3.4160e-02 7.5723e-01 1.4316e-01 6.5445e-02
4463.54 1.8908e-02 7.4349e-01 1.6075e-01 7.6853e-02
4743.81 1.7904e-02 7.3502e-01 1.6628e-01 8.0802e-02
5041.68 2.3941e-02 7.3140e-01 1.6480e-01 7.9856e-02
5358.25 2.8988e-02 7.2913e-01 1.6315e-01 7.8738e-02
5694.70 1.9919e-02 7.3678e-01 1.6398e-01 7.9322e-02
6052.28 1.8947e-02 7.4175e-01 1.6168e-01 7.7625e-02
6432.31 3.0539e-02 7.3375e-01 1.5950e-01 7.6209e-02
6836.20 3.2103e-02 7.3294e-01 1.5897e-01 7.5984e-02
7265.45 3.7719e-02 7.2728e-01 1.5913e-01 7.5869e-02
7721.65 3.4489e-02 7.4113e-01 1.5264e-01 7.1736e-02
8206.56 3.9245e-02 7.3734e-01 1.5215e-01 7.1264e-02
8717.73 4.4128e-02 7.3847e-01 1.4840e-01 6.8993e-02
9214.74 4.2145e-02 7.6099e-01 1.3579e-01 6.1075e-02
9629.11 3.5810e-02 7.8063e-01 1.2743e-01 5.6133e-02
9954.11 2.4568e-02 7.9452e-01 1.2569e-01 5.5223e-02
10245.64 2.4847e-02 8.0247e-01 1.2046e-01 5.2227e-02
10541.49 1.3757e-02 8.2427e-01 1.1344e-01 4.8527e-02
10839.94 2.0991e-02 8.4108e-01 9.7655e-02 4.0272e-02
11119.11 3.1936e-02 8.5121e-01 8.3567e-02 3.3286e-02
11355.83 2.8181e-02 8.7305e-01 7.1298e-02 2.7473e-02
11539.81 4.8471e-02 8.7319e-01 5.7086e-02 2.1252e-02
11677.16 1.3716e-01 7.9733e-01 4.8399e-02 1.7110e-02
11784.05 7.3831e-02 8.5871e-01 4.9603e-02 1.7859e-02
11875.85 8.0873e-02 8.5387e-01 4.8058e-02 1.7203e-02
11963.37 1.0191e-01 8.3389e-01 4.7326e-02 1.6876e-02
12055.39 2.4035e-01 6.9155e-01 5.0644e-02 1.7459e-02
12170.41 8.4357e-02 8.3229e-01 6.0764e-02 2.2585e-02
12360.89 2.5032e-02 8.8669e-01 6.3759e-02 2.4513e-02
12670.46 6.4497e-03 8.8718e-01 7.6122e-02 3.0252e-02
13075.34 8.2627e-03 8.6662e-01 8.8957e-02 3.6158e-02
13530.52 1.0542e-02 8.4297e-01 1.0318e-01 4.3313e-02
14012.75 5.4366e-03 8.2394e-01 1.1871e-01 5.1911e-02
14508.81 3.0528e-03 8.0573e-01 1.3187e-01 5.9355e-02
15002.30 1.0190e-02 7.9194e-01 1.3664e-01 6.1234e-02
15475.29 3.9091e-03 7.8373e-01 1.4511e-01 6.7251e-02
15923.68 1.3980e-02 7.6552e-01 1.5067e-01 6.9833e-02
16355.64 3.9708e-03 7.6261e-01 1.5794e-01 7.5482e-02
16776.27 7.4318e-02 7.0062e-01 1.5453e-01 7.0530e-02
17183.14 8.8134e-03 7.5175e-01 1.6275e-01 7.6690e-02
17580.45 1.1870e-02 7.5962e-01 1.5535e-01 7.3164e-02
17990.34 3.6778e-01 4.4386e-01 1.3400e-01 5.4364e-02
18458.06 4.4552e-02 6.8444e-01 1.8047e-01 9.0538e-02
19084.69 6.3703e-02 6.3635e-01 1.9692e-01 1.0303e-01
19999.79 7.4005e-02 5.3418e-01 2.4520e-01 1.4661e-01
21193.46 2.0910e-03 4.4061e-01 3.1268e-01 2.4461e-01
22528.72 4.0804e-03 2.6469e-01 3.4050e-01 3.9072e-01
23943.32 3.0714e-02 1.6779e-01 3.2683e-01 4.7467e-01
25446.74 3.6612e-04 1.4008e-01 3.1206e-01 5.4749e-01
27044.57 2.1927e-05 6.7019e-02 2.5198e-01 6.8098e-01
28744.18 3.1834e-03 1.7659e-02 1.5672e-01 8.2244e-01
30520.16 5.2457e-05 4.5430e-03 1.1159e-01 8.8382e-01
32243.50 1.0633e-05 1.8348e-03 8.0364e-02 9.1779e-01
33773.01 1.2508e-05 2.0410e-03 6.3986e-02 9.3396e-01
35108.48 7.3609e-06 1.1597e-03 4.1723e-02 9.5711e-01
36326.30 1.2323e-05 5.5475e-04 2.9226e-02 9.7021e-01
37486.70 5.2285e-06 2.7306e-04 2.0616e-02 9.7911e-01
38628.25 6.3889e-07 1.4644e-04 1.5119e-02 9.8473e-01
39768.62 2.1972e-07 8.2129e-05 1.1361e-02 9.8856e-01
40915.31 1.0399e-07 5.1030e-05 8.9795e-03 9.9097e-01
42074.51 2.0601e-07 2.9040e-05 6.8026e-03 9.9317e-01
43252.44 8.4613e-08 1.6539e-05 5.1423e-03 9.9484e-01
44454.05 3.7699e-11 9.3890e-06 3.8746e-03 9.9612e-01
45683.04 1.6732e-12 5.2536e-06 2.9061e-03 9.9709e-01
46941.68 9.9459e-13 2.9362e-06 2.1742e-03 9.9782e-01
48230.81 3.5451e-13 1.6310e-06 1.6217e-03 9.9838e-01
49550.29 1.3879e-09 8.9977e-07 1.2074e-03 9.9879e-01
50899.37 5.8182e-10 4.9484e-07 8.9800e-04 9.9910e-01
52276.86 2.4314e-10 2.7125e-07 6.6758e-04 9.9933e-01
53681.16 9.9179e-11 1.4891e-07 4.9672e-04 9.9950e-01
55110.21 4.0443e-11 8.1914e-08 3.6996e-04 9.9963e-01
56561.17 1.6633e-11 4.5317e-08 2.7629e-04 9.9972e-01
58030.00 1.1147e-12 2.5005e-08 2.0701e-04 9.9979e-01
59510.42 3.5422e-14 1.4229e-08 1.5585e-04 9.9984e-01
60993.45 2.4015e-14 6.8305e-09 1.1820e-04 9.9988e-01
62466.44 4.2927e-13 4.6255e-09 9.0255e-05 9.9991e-01
63912.69 2.3908e-13 2.5816e-09 6.9741e-05 9.9993e-01
65311.62 1.1866e-13 1.6319e-09 5.4647e-05 9.9995e-01
66639.26 4.1430e-14 7.1182e-10 4.3590e-05 9.9996e-01
67870.77 3.3300e-14 7.0061e-10 3.5503e-05 9.9996e-01
