#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    1.256481E+04   1.0000E-099   9.9617E-001   3.8318E-003   3.7988E-016   3.9217E-042
    1.321135E+04   1.0000E-099   9.9289E-001   7.1112E-003   1.5306E-015   4.1242E-041
    1.378971E+04   1.0000E-099   9.8394E-001   1.6062E-002   1.3740E-014   2.8652E-039
    1.426236E+04   1.0000E-099   9.8338E-001   1.6624E-002   1.1640E-014   1.5138E-039
    1.471893E+04   1.0000E-099   9.8996E-001   1.0038E-002   1.8888E-015   2.6004E-041
    1.520339E+04   1.0000E-099   9.9551E-001   4.4924E-003   1.4198E-016   2.0052E-043
    1.569984E+04   1.0000E-099   9.9868E-001   1.3202E-003   3.3657E-018   1.6088E-045
    1.625603E+04   1.0000E-099   9.9969E-001   3.0580E-004   3.3509E-020   4.7688E-050
    1.692188E+04   1.0000E-099   9.9994E-001   6.3933E-005   2.9904E-022   7.8320E-054
    1.755155E+04   1.0000E-099   9.9998E-001   1.8668E-005   6.6483E-024   1.6639E-055
    1.815678E+04   1.0000E-099   9.9999E-001   8.2329E-006   4.4184E-025   9.6353E-056
    1.877630E+04   1.0000E-099   1.0000E+000   4.1665E-006   5.3418E-026   6.5593E-056
    1.943029E+04   1.0000E-099   1.0000E+000   2.2837E-006   1.4322E-026   4.8059E-056
    2.010428E+04   1.0000E-099   1.0000E+000   2.1732E-006   2.4710E-026   4.2106E-056
    2.090850E+04   1.0000E-099   1.0000E+000   2.2402E-006   9.2493E-026   3.8675E-056
    2.182676E+04   1.0000E-099   1.0000E+000   1.8773E-006   1.9262E-025   3.4248E-056
    2.283367E+04   1.0000E-099   1.0000E+000   2.2660E-006   7.6251E-025   4.0755E-056
    2.394324E+04   1.0000E-099   1.0000E+000   2.5969E-006   1.7617E-024   5.1597E-056
    2.516734E+04   1.0000E-099   1.0000E+000   3.8544E-006   4.5341E-024   8.6123E-056
    2.638649E+04   1.0000E-099   1.0000E+000   3.8858E-006   5.3418E-024   8.5459E-056
    2.758311E+04   1.0000E-099   9.9999E-001   8.8531E-006   2.2440E-023   2.8299E-055
    2.884269E+04   1.0000E-099   9.9998E-001   1.6070E-005   5.7740E-023   6.7361E-055
    3.014497E+04   1.0000E-099   9.9997E-001   3.2438E-005   1.8834E-022   2.2202E-054
    3.148085E+04   1.0000E-099   9.9994E-001   5.5125E-005   4.6576E-022   5.5368E-054
    3.276289E+04   1.0000E-099   9.9993E-001   7.1495E-005   7.3013E-022   8.3383E-054
    3.391810E+04   1.0000E-099   9.9991E-001   9.0928E-005   1.1579E-021   1.2912E-053
    3.495083E+04   1.0000E-099   9.9987E-001   1.2976E-004   2.2918E-021   2.6326E-053
    3.592850E+04   1.0000E-099   9.9981E-001   1.9475E-004   4.7923E-021   5.7884E-053
    3.688885E+04   1.0000E-099   9.9971E-001   2.8647E-004   9.1974E-021   1.1610E-052
    3.786912E+04   1.0000E-099   9.9960E-001   3.9548E-004   1.5198E-020   1.9831E-052
    3.888044E+04   1.0000E-099   9.9951E-001   4.9009E-004   2.0788E-020   2.7706E-052
    3.991994E+04   1.0000E-099   9.9944E-001   5.5790E-004   2.5247E-020   3.4443E-052
    4.098383E+04   1.0000E-099   9.9941E-001   5.9458E-004   2.8450E-020   4.0126E-052
    4.207443E+04   1.0000E-099   9.9940E-001   5.9976E-004   3.0202E-020   4.4440E-052
    4.319619E+04   1.0000E-099   9.9942E-001   5.8161E-004   3.0626E-020   4.7251E-052
    4.435339E+04   1.0000E-099   9.9945E-001   5.5489E-004   3.0357E-020   4.9174E-052
