#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    3.034942E+03   1.0000E-099   3.1031E-015   3.9737E-007   1.0000E+000
    3.226752E+03   1.0000E-099   3.6211E-015   4.1383E-007   1.0000E+000
    3.430685E+03   1.0000E-099   4.1480E-015   4.1112E-007   1.0000E+000
    3.647506E+03   1.0000E-099   9.5142E-015   5.8226E-007   1.0000E+000
    3.878031E+03   1.0000E-099   2.1861E-014   8.6790E-007   1.0000E+000
    4.123125E+03   1.0000E-099   2.5355E-014   8.2797E-007   1.0000E+000
    4.383709E+03   1.0000E-099   4.1929E-014   9.9230E-007   1.0000E+000
    4.660762E+03   1.0000E-099   4.4328E-014   1.0072E-006   1.0000E+000
    4.955325E+03   1.0000E-099   3.8408E-014   9.3813E-007   1.0000E+000
    5.268505E+03   1.0000E-099   3.1165E-014   8.4876E-007   1.0000E+000
    5.601477E+03   1.0000E-099   2.6760E-014   7.8631E-007   1.0000E+000
    5.955494E+03   1.0000E-099   2.5094E-014   7.6024E-007   1.0000E+000
    6.331885E+03   1.0000E-099   2.6549E-014   7.7639E-007   1.0000E+000
    6.732064E+03   1.0000E-099   2.9913E-014   8.1553E-007   1.0000E+000
    7.157534E+03   1.0000E-099   3.6471E-014   8.9324E-007   1.0000E+000
    7.609895E+03   1.0000E-099   4.6564E-014   1.0031E-006   1.0000E+000
    8.090845E+03   1.0000E-099   6.8086E-014   1.2111E-006   1.0000E+000
    8.602191E+03   1.0000E-099   1.4049E-013   1.7700E-006   1.0000E+000
    9.145855E+03   1.0000E-099   1.0491E-012   5.4627E-006   9.9999E-001
    9.716757E+03   1.0000E-099   5.7538E-011   6.4030E-005   9.9994E-001
    1.017136E+04   1.0000E-099   5.3477E-009   1.3358E-003   9.9866E-001
    1.058976E+04   1.0000E-099   1.5419E-006   6.1490E-002   9.3851E-001
    1.103681E+04   1.0000E-099   7.5500E-004   9.8435E-001   1.4893E-002
    1.143091E+04   1.0000E-099   2.2383E-002   9.7760E-001   2.1231E-005
    1.169743E+04   1.0000E-099   9.8272E-002   9.0173E-001   1.3830E-006
    1.185375E+04   1.0000E-099   1.8490E-001   8.1510E-001   2.9079E-007
    1.195751E+04   1.0000E-099   3.2379E-001   6.7621E-001   4.3940E-008
    1.203767E+04   1.0000E-099   5.1607E-001   4.8393E-001   4.1827E-009
    1.210835E+04   1.0000E-099   6.8641E-001   3.1359E-001   4.2655E-010
    1.217533E+04   1.0000E-099   8.0350E-001   1.9650E-001   5.4672E-011
    1.224092E+04   1.0000E-099   8.7352E-001   1.2648E-001   9.5457E-012
    1.231061E+04   1.0000E-099   9.1544E-001   8.4555E-002   2.1204E-012
    1.238832E+04   1.0000E-099   9.4096E-001   5.9040E-002   5.7727E-013
    1.249177E+04   1.0000E-099   9.5867E-001   4.1326E-002   1.6045E-013
    1.273320E+04   1.0000E-099   9.7436E-001   2.5638E-002   2.7467E-014
    1.314431E+04   1.0000E-099   9.8278E-001   1.7222E-002   5.6736E-015
    1.356973E+04   1.0000E-099   9.8858E-001   1.1416E-002   1.2057E-015
    1.397745E+04   1.0000E-099   9.9398E-001   6.0157E-003   1.6433E-016
    1.437971E+04   1.0000E-099   9.9742E-001   2.5810E-003   1.7752E-017
    1.481384E+04   1.0000E-099   9.9907E-001   9.2914E-004   1.2091E-018
    1.527443E+04   1.0000E-099   9.9972E-001   2.8446E-004   4.4531E-020
    1.573281E+04   1.0000E-099   9.9990E-001   9.8750E-005   2.1072E-021
    1.619433E+04   1.0000E-099   9.9996E-001   4.4454E-005   1.6832E-022
