#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cl0 cl1 cl2 cl3 cl4 
6666.30 1.77e-26 5.73e-18 3.26e-10 7.35e-05 1.00e+00 
7073.50 2.67e-26 9.01e-18 4.86e-10 9.29e-05 1.00e+00 
7505.58 4.42e-26 1.53e-17 7.51e-10 1.19e-04 1.00e+00 
7964.05 1.02e-25 3.59e-17 1.53e-09 1.78e-04 1.00e+00 
8450.53 4.24e-25 1.50e-16 5.03e-09 3.61e-04 1.00e+00 
8966.72 1.96e-24 6.87e-16 1.75e-08 7.33e-04 9.99e-01 
9514.44 2.00e-23 6.58e-15 1.06e-07 1.99e-03 9.98e-01 
10095.62 7.45e-22 2.10e-13 1.66e-06 9.45e-03 9.91e-01 
10712.30 8.62e-20 2.05e-11 6.51e-05 7.67e-02 9.23e-01 
11366.65 2.71e-17 4.72e-09 4.29e-03 6.04e-01 3.91e-01 
12061.10 6.85e-15 7.04e-07 1.17e-01 8.74e-01 9.51e-03 
12793.43 8.18e-13 3.71e-05 8.07e-01 1.93e-01 1.53e-05 
13528.61 4.39e-11 5.89e-04 9.96e-01 3.45e-03 7.12e-10 
14194.74 1.94e-09 7.53e-03 9.92e-01 4.20e-05 1.11e-14 
14757.77 4.72e-08 6.13e-02 9.39e-01 8.89e-07 1.25e-18 
15240.48 7.80e-07 3.30e-01 6.70e-01 2.30e-08 2.45e-22 
15646.99 5.76e-06 7.69e-01 2.31e-01 3.67e-10 5.86e-26 
15960.30 2.47e-05 9.54e-01 4.60e-02 4.18e-12 1.85e-29 
16187.41 6.79e-05 9.91e-01 8.62e-03 4.76e-14 4.70e-33 
16354.17 1.38e-04 9.98e-01 2.03e-03 1.50e-15 6.68e-36 
16484.18 2.27e-04 9.99e-01 8.88e-04 1.35e-16 1.63e-36 
16593.12 3.14e-04 9.99e-01 4.18e-04 1.58e-17 1.08e-36 
16691.99 3.31e-04 9.99e-01 2.85e-04 6.51e-18 4.30e-36 
16788.59 4.64e-04 9.99e-01 1.51e-04 1.29e-18 1.11e-35 
16888.37 7.00e-04 9.99e-01 7.14e-05 1.23e-19 1.66e-36 
16998.79 1.07e-03 9.99e-01 4.84e-05 3.41e-20 1.42e-36 
17146.37 1.58e-03 9.98e-01 1.72e-05 2.50e-21 1.91e-36 
17415.23 2.39e-03 9.98e-01 4.81e-06 5.48e-23 2.03e-36 
17888.12 9.32e-03 9.91e-01 3.28e-07 3.83e-26 3.29e-36 
18532.37 4.53e-02 9.55e-01 2.26e-08 1.84e-29 4.75e-36 
19260.76 1.38e-01 8.62e-01 1.09e-09 4.78e-32 6.24e-36 
20034.10 2.97e-01 7.03e-01 8.30e-11 5.11e-32 7.06e-36 
20838.00 5.66e-01 4.34e-01 6.34e-12 4.81e-32 5.76e-36 
21647.97 7.20e-01 2.80e-01 5.48e-13 1.50e-32 4.14e-36 
22447.94 8.64e-01 1.36e-01 4.32e-14 2.28e-32 4.10e-36 
23245.88 9.35e-01 6.54e-02 5.29e-15 1.86e-32 5.13e-36 
