#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
12055.39 6.7323e-02 8.8046e-01 5.1920e-02 2.9293e-04
12170.41 1.1408e-01 8.2390e-01 6.1624e-02 3.9212e-04
12360.89 3.7897e-03 9.0640e-01 8.9218e-02 5.8987e-04
12670.46 3.8868e-04 8.7442e-01 1.2422e-01 9.6966e-04
13075.34 2.0990e-04 8.4352e-01 1.5481e-01 1.4519e-03
13530.52 1.9858e-04 7.8358e-01 2.1392e-01 2.2962e-03
14012.75 1.0523e-04 5.9761e-01 3.9710e-01 5.1860e-03
14508.81 5.9517e-05 4.5940e-01 5.3276e-01 7.7815e-03
15002.30 9.7798e-05 5.9930e-01 3.9409e-01 6.5097e-03
15475.29 1.0547e-04 6.0293e-01 3.9030e-01 6.6677e-03
15923.68 1.0458e-04 6.2784e-01 3.6519e-01 6.8647e-03
16355.64 6.6669e-05 5.0664e-01 4.8321e-01 1.0085e-02
16776.27 8.8220e-05 6.7830e-01 3.1567e-01 5.9399e-03
17183.14 1.2349e-04 6.8721e-01 3.0713e-01 5.5401e-03
17580.45 1.4118e-04 6.1977e-01 3.7352e-01 6.5716e-03
17990.34 1.4942e-04 7.6940e-01 2.2585e-01 4.6003e-03
18458.06 1.3429e-04 7.2328e-01 2.7066e-01 5.9277e-03
19084.69 1.3750e-04 7.1137e-01 2.8137e-01 7.1211e-03
19999.79 6.1837e-05 3.6345e-01 6.1407e-01 2.2424e-02
21193.46 6.0020e-05 5.9305e-01 3.8297e-01 2.3918e-02
22528.72 2.6210e-05 4.2192e-01 5.2261e-01 5.5441e-02
23943.32 1.6616e-05 3.7044e-01 5.4481e-01 8.4730e-02
25446.74 2.8262e-06 7.3584e-02 7.7336e-01 1.5305e-01
27044.57 6.3121e-07 2.0646e-02 7.6779e-01 2.1156e-01
28744.18 8.4231e-07 4.1096e-02 4.0841e-01 5.5049e-01
30520.16 6.5139e-07 3.7136e-02 4.7859e-01 4.8427e-01
32243.50 2.2650e-07 2.8988e-02 4.3613e-01 5.3489e-01
33773.01 1.7546e-07 2.6674e-02 3.8509e-01 5.8824e-01
35108.48 9.3465e-08 1.6325e-02 3.1958e-01 6.6409e-01
36326.30 4.3605e-08 8.9131e-03 2.4851e-01 7.4257e-01
37486.70 2.3701e-08 4.7876e-03 1.8740e-01 8.0782e-01
38628.25 1.1707e-08 2.6393e-03 1.4134e-01 8.5602e-01
39768.62 3.5830e-09 1.4438e-03 1.0676e-01 8.9180e-01
40915.31 1.2891e-09 8.6223e-04 8.3520e-02 9.1562e-01
42074.51 1.0498e-10 1.1920e-04 6.2321e-02 9.3756e-01
43252.44 3.7775e-11 4.4977e-05 4.6165e-02 9.5379e-01
44454.05 1.3707e-11 2.4071e-05 3.4029e-02 9.6595e-01
45683.04 2.9491e-11 7.5093e-05 2.4980e-02 9.7494e-01
46941.68 1.0552e-11 4.0188e-05 1.8291e-02 9.8167e-01
48230.81 5.3448e-12 2.1481e-05 1.3363e-02 9.8662e-01
49550.29 3.6130e-12 1.1472e-05 9.7594e-03 9.9023e-01
50899.37 1.3000e-12 6.1338e-06 7.1257e-03 9.9287e-01
52276.86 5.2919e-13 3.2908e-06 5.2131e-03 9.9478e-01
53681.16 3.1129e-13 1.7729e-06 3.8189e-03 9.9618e-01
55110.21 2.1435e-13 9.6194e-07 2.8080e-03 9.9719e-01
56561.17 6.9720e-14 5.2390e-07 2.0643e-03 9.9794e-01
58030.00 1.9100e-14 2.8935e-07 1.5320e-03 9.9847e-01
59510.42 7.5069e-15 1.6164e-07 1.1443e-03 9.9886e-01
60993.45 2.4070e-15 9.1519e-08 8.5945e-04 9.9914e-01
62466.44 1.4340e-15 5.2688e-08 6.5115e-04 9.9935e-01
63912.69 2.1247e-15 3.1147e-08 4.9989e-04 9.9950e-01
65311.62 9.5836e-16 1.8915e-08 3.8897e-04 9.9961e-01
66639.26 2.4562e-16 1.1917e-08 3.0836e-04 9.9969e-01
67870.77 1.2241e-16 7.8404e-09 2.4987e-04 9.9975e-01
68864.47 1.2654e-16 5.3568e-09 2.0637e-04 9.9979e-01
69459.55 2.1441e-16 4.5871e-09 1.9080e-04 9.9981e-01
69744.99 1.8811e-16 4.2399e-09 1.8340e-04 9.9982e-01
69888.26 1.4641e-16 4.0743e-09 1.7975e-04 9.9982e-01
69959.62 1.5607e-16 3.9955e-09 1.7802e-04 9.9982e-01
69991.15 2.0507e-16 3.9570e-09 1.7717e-04 9.9982e-01
69999.53 7.9085e-16 3.9564e-09 1.7711e-04 9.9982e-01
#TIME: 204.93
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
425.78 1.5817e-03 8.6278e-01 1.3321e-01 2.4206e-03
857.79 1.9303e-03 8.7169e-01 1.2420e-01 2.1829e-03
878.44 3.6422e-03 8.6520e-01 1.2881e-01 2.3467e-03
917.72 2.8093e-03 8.5558e-01 1.3914e-01 2.4731e-03
973.04 1.3339e-03 8.6097e-01 1.3521e-01 2.4796e-03
1034.98 1.2628e-03 8.6287e-01 1.3342e-01 2.4475e-03
1099.97 4.3002e-04 8.4558e-01 1.5111e-01 2.8761e-03
1169.04 3.5596e-03 8.5826e-01 1.3570e-01 2.4797e-03
1242.44 6.0331e-03 8.6011e-01 1.3143e-01 2.4252e-03
1320.45 3.5295e-03 8.6491e-01 1.2925e-01 2.3091e-03
1403.37 1.7713e-03 8.7098e-01 1.2512e-01 2.1254e-03
1491.49 2.0978e-03 8.7587e-01 1.2007e-01 1.9589e-03
1585.14 3.2941e-03 8.7282e-01 1.2189e-01 1.9960e-03
1684.67 2.2271e-03 8.7641e-01 1.1945e-01 1.9189e-03
1790.45 2.0817e-03 8.7459e-01 1.2134e-01 1.9872e-03
1902.87 1.8071e-03 8.6973e-01 1.2630e-01 2.1612e-03
2022.36 1.6829e-03 8.6327e-01 1.3266e-01 2.3879e-03
2149.34 4.1344e-04 8.6788e-01 1.2942e-01 2.2864e-03
2284.30 3.7683e-04 8.5953e-01 1.3752e-01 2.5734e-03
2427.74 3.3286e-04 8.5206e-01 1.4474e-01 2.8732e-03
2580.18 3.6568e-04 8.4235e-01 1.5406e-01 3.2204e-03
2742.19 3.8355e-04 8.3362e-01 1.6245e-01 3.5470e-03
2914.37 4.0297e-04 8.2520e-01 1.7059e-01 3.8097e-03
3097.37 4.3906e-04 8.1973e-01 1.7593e-01 3.8977e-03
3291.85 4.8872e-04 8.0209e-01 1.9318e-01 4.2378e-03
3498.55 7.1639e-04 8.0406e-01 1.9141e-01 3.8165e-03
3718.23 6.7411e-03 8.4595e-01 1.4507e-01 2.2389e-03
3951.70 4.1810e-02 8.3299e-01 1.2354e-01 1.6663e-03
4199.83 3.2179e-02 8.1865e-01 1.4672e-01 2.4586e-03
4463.54 3.8667e-02 7.9771e-01 1.6050e-01 3.1242e-03
4743.81 5.3177e-02 7.8856e-01 1.5508e-01 3.1806e-03
5041.68 6.0430e-02 7.8679e-01 1.4973e-01 3.0456e-03
5358.25 6.6383e-02 7.8513e-01 1.4554e-01 2.9404e-03
5694.70 6.7288e-02 7.8502e-01 1.4475e-01 2.9370e-03
6052.28 6.9093e-02 7.8907e-01 1.3905e-01 2.7886e-03
6432.31 7.3729e-02 7.8711e-01 1.3646e-01 2.6948e-03
6836.20 7.5640e-02 7.8650e-01 1.3520e-01 2.6586e-03
7265.45 7.9314e-02 7.8481e-01 1.3325e-01 2.6280e-03
7721.65 8.7237e-02 7.8317e-01 1.2722e-01 2.3707e-03
8206.56 8.8612e-02 7.8227e-01 1.2675e-01 2.3681e-03
8717.73 9.4556e-02 7.7900e-01 1.2420e-01 2.2446e-03
9214.74 1.0673e-01 7.7974e-01 1.1172e-01 1.8035e-03
9629.11 1.1773e-01 7.7883e-01 1.0192e-01 1.5171e-03
9954.11 1.1856e-01 7.7498e-01 1.0493e-01 1.5250e-03
10245.64 1.1538e-01 7.7997e-01 1.0322e-01 1.4219e-03
10541.49 1.0082e-01 7.9278e-01 1.0506e-01 1.3349e-03
10839.94 1.2576e-01 7.9106e-01 8.2302e-02 8.7480e-04
11119.11 1.4285e-01 7.7832e-01 7.8133e-02 6.9694e-04
11355.83 1.3780e-01 7.9616e-01 6.5554e-02 4.8527e-04
11539.81 1.3007e-01 8.1891e-01 5.0723e-02 2.9710e-04
11677.16 1.3602e-01 8.2179e-01 4.1975e-02 2.1548e-04
