#NTIMES: 145 
#NSTAGES: 3 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
1267.34 5.92e-13 2.55e-05 1.00e+00 
1514.05 2.76e-13 1.36e-05 1.00e+00 
1808.80 1.34e-13 7.91e-06 1.00e+00 
1919.29 8.05e-14 5.17e-06 1.00e+00 
2160.92 4.63e-14 3.49e-06 1.00e+00 
2292.92 2.40e-14 2.06e-06 1.00e+00 
2432.98 1.76e-14 1.71e-06 1.00e+00 
2581.60 1.45e-14 1.55e-06 1.00e+00 
2739.29 1.27e-14 1.46e-06 1.00e+00 
2906.62 1.08e-14 1.36e-06 1.00e+00 
3084.17 9.20e-15 1.29e-06 1.00e+00 
3272.56 7.40e-15 1.17e-06 1.00e+00 
3472.46 6.25e-15 1.11e-06 1.00e+00 
3684.57 5.14e-15 1.04e-06 1.00e+00 
3909.64 3.82e-15 9.24e-07 1.00e+00 
4148.46 3.40e-15 8.97e-07 1.00e+00 
4401.86 4.00e-15 1.01e-06 1.00e+00 
4670.75 4.50e-15 1.13e-06 1.00e+00 
4956.05 4.11e-15 1.12e-06 1.00e+00 
5258.79 3.57e-15 1.08e-06 1.00e+00 
5580.02 3.58e-15 1.14e-06 1.00e+00 
5920.87 3.60e-15 1.19e-06 1.00e+00 
6282.54 3.60e-15 1.26e-06 1.00e+00 
6666.30 3.76e-15 1.34e-06 1.00e+00 
7073.50 4.22e-15 1.52e-06 1.00e+00 
7505.58 4.54e-15 1.75e-06 1.00e+00 
7964.05 5.96e-15 2.35e-06 1.00e+00 
8450.53 9.62e-15 3.62e-06 1.00e+00 
8966.72 1.64e-14 5.75e-06 1.00e+00 
9514.44 3.63e-14 1.11e-05 1.00e+00 
10095.62 1.43e-13 3.27e-05 1.00e+00 
10712.30 9.26e-13 1.39e-04 1.00e+00 
11366.65 1.06e-11 8.75e-04 9.99e-01 
12061.10 3.43e-10 1.25e-02 9.87e-01 
12793.43 1.75e-08 2.29e-01 7.71e-01 
13528.61 2.74e-07 9.26e-01 7.42e-02 
14194.74 1.08e-06 9.98e-01 1.74e-03 
14757.77 3.48e-06 1.00e+00 3.21e-05 
15240.48 1.09e-05 1.00e+00 1.63e-06 
15646.99 3.51e-05 1.00e+00 1.17e-07 
15960.30 1.32e-04 1.00e+00 7.44e-09 
16187.41 3.53e-04 1.00e+00 8.97e-10 
16354.17 7.76e-04 9.99e-01 1.20e-10 
16484.18 1.29e-03 9.99e-01 3.26e-11 
16593.12 1.91e-03 9.98e-01 1.07e-11 
16691.99 2.12e-03 9.98e-01 4.27e-12 
16788.59 3.90e-03 9.96e-01 1.02e-12 
16888.37 4.29e-03 9.96e-01 7.30e-13 
16998.79 5.03e-03 9.95e-01 4.03e-13 
17146.37 1.15e-02 9.88e-01 4.73e-14 
17415.23 2.24e-02 9.78e-01 6.16e-15 
17888.12 5.99e-02 9.40e-01 2.18e-16 
18532.37 2.38e-01 7.62e-01 2.12e-18 
19260.76 5.19e-01 4.81e-01 2.49e-20 
20034.10 7.58e-01 2.42e-01 2.03e-22 
20838.00 9.15e-01 8.45e-02 4.86e-24 
21647.97 9.65e-01 3.55e-02 7.25e-26 
22447.94 9.86e-01 1.39e-02 1.52e-27 
23245.88 9.93e-01 7.14e-03 6.24e-29 
24052.47 9.80e-01 2.04e-02 1.13e-28 
24867.72 9.98e-01 1.60e-03 6.72e-30 
25698.86 9.99e-01 8.76e-04 1.03e-29 
26587.16 1.00e+00 4.40e-04 2.26e-29 
27637.54 1.00e+00 1.95e-04 3.78e-29 
28986.97 1.00e+00 1.04e-04 1.30e-28 
#TIME: 4.58 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 6.58e-12 1.62e-04 1.00e+00 
999.11 1.58e-12 5.73e-05 1.00e+00 
1267.34 5.15e-13 2.38e-05 1.00e+00 
1514.05 2.53e-13 1.31e-05 1.00e+00 
1808.80 1.27e-13 7.81e-06 1.00e+00 
1919.29 7.73e-14 5.18e-06 1.00e+00 
2160.92 4.49e-14 3.52e-06 1.00e+00 
2292.92 2.32e-14 2.09e-06 1.00e+00 
2432.98 1.74e-14 1.80e-06 1.00e+00 
2581.60 1.40e-14 1.56e-06 1.00e+00 
2739.29 1.25e-14 1.50e-06 1.00e+00 
2906.62 1.07e-14 1.39e-06 1.00e+00 
3084.17 8.95e-15 1.30e-06 1.00e+00 
3272.56 7.25e-15 1.19e-06 1.00e+00 
3472.46 6.15e-15 1.13e-06 1.00e+00 
3684.57 5.05e-15 1.06e-06 1.00e+00 
3909.64 3.78e-15 9.46e-07 1.00e+00 
4148.46 3.38e-15 9.24e-07 1.00e+00 
4401.86 3.93e-15 1.04e-06 1.00e+00 
4670.75 4.43e-15 1.15e-06 1.00e+00 
4956.05 4.06e-15 1.14e-06 1.00e+00 
5258.79 3.53e-15 1.11e-06 1.00e+00 
5580.02 3.54e-15 1.17e-06 1.00e+00 
