#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
8966.72 5.7077e-06 2.0689e-02 6.7265e-01 3.0666e-01
9514.44 2.4822e-05 4.6078e-02 6.6526e-01 2.8864e-01
10095.62 7.7320e-05 8.0841e-02 6.5615e-01 2.6293e-01
10712.30 1.9745e-04 1.3356e-01 6.2932e-01 2.3692e-01
11366.65 3.1090e-04 1.7771e-01 6.0243e-01 2.1955e-01
12061.10 3.9887e-04 2.1756e-01 5.6690e-01 2.1514e-01
12793.43 4.8645e-04 2.3698e-01 5.5246e-01 2.1008e-01
13528.61 4.0872e-04 2.0438e-01 5.6686e-01 2.2835e-01
14194.74 4.2200e-04 1.9599e-01 5.6551e-01 2.3807e-01
14757.77 1.5940e-04 1.1164e-01 6.3022e-01 2.5799e-01
15240.48 1.1083e-04 7.1841e-02 6.8565e-01 2.4240e-01
15646.99 1.1891e-04 5.3786e-02 7.7454e-01 1.7156e-01
15960.30 1.7728e-04 5.1209e-02 8.1539e-01 1.3322e-01
16187.41 2.4674e-04 7.2546e-02 8.1630e-01 1.1091e-01
16354.17 2.7584e-04 5.7593e-02 8.3127e-01 1.1086e-01
16484.18 8.9499e-05 4.1232e-02 8.4017e-01 1.1851e-01
16593.12 2.9285e-05 2.1956e-02 8.4840e-01 1.2961e-01
16691.99 5.9046e-05 5.0959e-02 8.0835e-01 1.4063e-01
16788.59 5.5641e-05 2.4358e-02 8.2444e-01 1.5114e-01
16888.37 1.6541e-05 1.7509e-02 8.2601e-01 1.5647e-01
16998.79 1.1748e-05 1.1886e-02 8.1507e-01 1.7303e-01
17146.37 1.2656e-05 1.3109e-02 7.9627e-01 1.9061e-01
17415.23 5.4808e-06 9.3972e-03 8.0470e-01 1.8590e-01
17888.12 3.5817e-06 7.1105e-03 7.6712e-01 2.2576e-01
18532.37 8.7714e-07 3.1529e-03 7.3500e-01 2.6185e-01
19260.76 1.2719e-06 4.5299e-03 7.0675e-01 2.8872e-01
20034.10 3.5218e-07 1.9564e-03 6.7249e-01 3.2555e-01
20838.00 3.6958e-07 2.9094e-03 6.2099e-01 3.7610e-01
21647.97 1.6737e-07 1.5547e-03 5.9194e-01 4.0651e-01
22447.94 2.9338e-07 2.3390e-03 5.2366e-01 4.7400e-01
23245.88 1.9133e-07 1.2105e-03 4.5583e-01 5.4296e-01
24052.47 2.4948e-06 1.9601e-02 4.1000e-01 5.7040e-01
24867.72 3.7997e-06 3.4838e-02 3.6502e-01 6.0014e-01
25698.86 6.0473e-07 5.2268e-03 3.6407e-01 6.3071e-01
26587.16 6.9683e-07 4.5318e-03 3.2736e-01 6.6811e-01
27637.54 3.9913e-06 1.1824e-02 2.9737e-01 6.9081e-01
28986.97 1.6572e-06 1.7532e-02 2.7332e-01 7.0915e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 1.6150e-02 6.0096e-01 3.4682e-01 3.6069e-02
1919.29 2.0936e-02 6.2507e-01 3.2275e-01 3.1244e-02
2581.60 9.3735e-03 5.4441e-01 3.9682e-01 4.9401e-02
3084.17 2.7152e-03 3.5764e-01 5.5408e-01 8.5564e-02
3472.46 5.0674e-04 1.5431e-01 7.0934e-01 1.3584e-01
3909.64 1.6195e-04 9.6955e-02 7.2597e-01 1.7692e-01
4148.46 2.1875e-04 1.0867e-01 7.1009e-01 1.8103e-01
4670.75 2.4848e-04 1.3341e-01 6.9233e-01 1.7401e-01
4956.05 1.2347e-04 8.2002e-02 7.1529e-01 2.0259e-01
5258.79 2.1311e-05 3.4776e-02 7.2933e-01 2.3588e-01
5580.02 2.8704e-06 1.2908e-02 7.2608e-01 2.6101e-01
5920.87 4.5543e-07 4.8653e-03 7.0966e-01 2.8547e-01
6282.54 2.5252e-07 3.4630e-03 6.8150e-01 3.1504e-01
6666.30 1.9565e-07 3.0865e-03 6.7564e-01 3.2127e-01
7073.50 2.2419e-07 3.4184e-03 6.6723e-01 3.2936e-01
7505.58 2.3494e-07 3.7269e-03 6.5496e-01 3.4131e-01
7964.05 3.2965e-07 4.3626e-03 6.5739e-01 3.3825e-01
8450.53 1.5199e-06 9.9861e-03 6.6691e-01 3.2310e-01
8966.72 5.6901e-06 2.1057e-02 6.7218e-01 3.0676e-01
9514.44 2.7111e-05 4.5385e-02 6.6586e-01 2.8872e-01
10095.62 7.9400e-05 9.3055e-02 6.4801e-01 2.5886e-01
10712.30 1.7592e-04 1.2120e-01 6.3701e-01 2.4162e-01
11366.65 3.9744e-04 1.8857e-01 5.9401e-01 2.1702e-01
12061.10 5.7526e-04 2.1214e-01 5.6948e-01 2.1781e-01
12793.43 6.9980e-04 2.2002e-01 5.6417e-01 2.1511e-01
13528.61 4.5108e-04 2.0205e-01 5.7207e-01 2.2543e-01
14194.74 2.3728e-04 1.4598e-01 6.0362e-01 2.5017e-01
14757.77 1.1459e-04 6.0943e-02 6.6454e-01 2.7441e-01
15240.48 1.6991e-04 6.3599e-02 6.8984e-01 2.4639e-01
15646.99 2.2543e-04 5.6272e-02 7.5474e-01 1.8876e-01
15960.30 2.2647e-04 6.0448e-02 8.0925e-01 1.3008e-01
16187.41 1.5836e-04 6.1995e-02 8.2702e-01 1.1083e-01
16354.17 9.2417e-05 3.7166e-02 8.6029e-01 1.0245e-01
16484.18 1.1159e-04 3.6219e-02 8.4854e-01 1.1513e-01
16593.12 2.5986e-05 2.2932e-02 8.5780e-01 1.1924e-01
16691.99 3.8808e-05 1.9994e-02 8.3599e-01 1.4398e-01
16788.59 1.0512e-05 1.8256e-02 8.2538e-01 1.5636e-01
16888.37 1.0279e-05 1.9207e-02 8.3488e-01 1.4590e-01
16998.79 1.1138e-05 1.2019e-02 8.1639e-01 1.7158e-01
17146.37 1.1441e-05 1.2459e-02 8.2195e-01 1.6558e-01
17415.23 2.8468e-06 6.9394e-03 8.0330e-01 1.8976e-01
17888.12 2.1573e-06 5.0163e-03 7.6567e-01 2.2931e-01
18532.37 1.5999e-06 5.2236e-03 7.3720e-01 2.5757e-01
19260.76 4.3876e-07 2.4704e-03 7.0905e-01 2.8848e-01
20034.10 5.6572e-07 2.7266e-03 6.7883e-01 3.1845e-01
20838.00 2.3992e-07 1.6008e-03 6.4192e-01 3.5648e-01
21647.97 4.3774e-07 2.0052e-03 6.2011e-01 3.7788e-01
22447.94 2.9354e-07 2.4505e-03 5.3922e-01 4.5833e-01
23245.88 3.3618e-07 2.2212e-03 4.9254e-01 5.0524e-01
24052.47 3.9214e-07 2.4199e-03 4.2118e-01 5.7640e-01
24867.72 1.9584e-06 4.9955e-03 3.9480e-01 6.0020e-01
25698.86 2.9355e-06 3.4660e-02 3.3315e-01 6.3219e-01
26587.16 2.9854e-06 2.8538e-02 3.1383e-01 6.5763e-01
27637.54 2.1550e-06 1.9371e-02 2.7221e-01 7.0842e-01
28986.97 5.7936e-06 1.5325e-02 2.5241e-01 7.3226e-01
#TIME: 216.97
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 1.9320e-02 5.9318e-01 3.5094e-01 3.6558e-02
1919.29 1.9691e-02 6.2737e-01 3.2206e-01 3.0876e-02
2581.60 1.0181e-02 5.4401e-01 3.9667e-01 4.9143e-02
