#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2
48230.81 4.3131e-09 5.7496e-04 9.9943e-01
49550.29 1.5571e-08 4.3226e-04 9.9957e-01
50899.37 8.7532e-09 3.2526e-04 9.9967e-01
52276.86 4.9602e-09 2.4524e-04 9.9975e-01
53681.16 2.8181e-09 1.8524e-04 9.9981e-01
55110.21 1.6151e-09 1.4029e-04 9.9986e-01
56561.17 9.3106e-10 1.0672e-04 9.9989e-01
58030.00 5.3967e-10 8.1496e-05 9.9992e-01
59510.42 3.1703e-10 6.2502e-05 9.9994e-01
60993.45 1.8761e-10 4.8282e-05 9.9995e-01
62466.44 1.1361e-10 3.7584e-05 9.9996e-01
63912.69 6.8754e-11 2.9540e-05 9.9997e-01
65311.62 4.4303e-11 2.3537e-05 9.9998e-01
66639.26 2.9161e-11 1.9078e-05 9.9998e-01
67870.77 1.9743e-11 1.5745e-05 9.9998e-01
68864.47 1.3803e-11 1.3195e-05 9.9999e-01
69459.55 1.1826e-11 1.2304e-05 9.9999e-01
69744.99 1.1111e-11 1.1864e-05 9.9999e-01
69888.26 1.0642e-11 1.1662e-05 9.9999e-01
69959.62 1.0526e-11 1.1550e-05 9.9999e-01
69991.15 1.0433e-11 1.1503e-05 9.9999e-01
69999.53 1.0318e-11 1.1503e-05 9.9999e-01
#TIME: 207.87
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2
425.78 1.9105e-01 6.3374e-01 1.7521e-01
857.79 1.8574e-01 6.4224e-01 1.7202e-01
878.44 1.7228e-01 6.3377e-01 1.9395e-01
917.72 1.8358e-01 6.3619e-01 1.8023e-01
973.04 1.9161e-01 6.3058e-01 1.7782e-01
1034.98 1.9215e-01 6.3417e-01 1.7368e-01
1099.97 1.7542e-01 6.3281e-01 1.9177e-01
1169.04 1.7815e-01 6.3554e-01 1.8631e-01
1242.44 1.9167e-01 6.3451e-01 1.7382e-01
1320.45 1.8600e-01 6.3284e-01 1.8116e-01
1403.37 2.0646e-01 6.3361e-01 1.5993e-01
1491.49 2.1099e-01 6.3432e-01 1.5469e-01
1585.14 2.1116e-01 6.3096e-01 1.5788e-01
1684.67 2.1539e-01 6.3301e-01 1.5159e-01
1790.45 2.1246e-01 6.3136e-01 1.5618e-01
1902.87 2.0069e-01 6.3384e-01 1.6548e-01
2022.36 1.9011e-01 6.3206e-01 1.7783e-01
2149.34 1.2827e-01 6.1600e-01 2.5573e-01
2284.30 1.8090e-01 6.3966e-01 1.7945e-01
2427.74 1.6347e-01 6.4121e-01 1.9532e-01
2580.18 1.4871e-01 6.3993e-01 2.1136e-01
2742.19 1.3369e-01 6.3889e-01 2.2741e-01
2914.37 1.2069e-01 6.4195e-01 2.3736e-01
3097.37 1.1311e-01 6.4837e-01 2.3852e-01
3291.85 9.4710e-02 6.6136e-01 2.4393e-01
3498.55 8.9126e-02 6.8490e-01 2.2597e-01
3718.23 1.2358e-01 7.0388e-01 1.7255e-01
3951.70 1.4606e-01 7.0784e-01 1.4610e-01
4199.83 1.0648e-01 7.0900e-01 1.8452e-01
4463.54 9.3884e-02 6.9796e-01 2.0815e-01
4743.81 1.0550e-01 6.8262e-01 2.1188e-01
5041.68 1.1763e-01 6.7373e-01 2.0864e-01
5358.25 1.2492e-01 6.7265e-01 2.0243e-01
5694.70 1.3056e-01 6.7104e-01 1.9840e-01
6052.28 1.3221e-01 6.6683e-01 2.0096e-01
6432.31 1.3551e-01 6.7237e-01 1.9212e-01
6836.20 1.3816e-01 6.6743e-01 1.9441e-01
7265.45 1.3985e-01 6.6742e-01 1.9272e-01
7721.65 1.4655e-01 6.6753e-01 1.8592e-01
8206.56 1.5482e-01 6.6819e-01 1.7699e-01
8717.73 1.6089e-01 6.7164e-01 1.6747e-01
9214.74 1.6949e-01 6.7751e-01 1.5300e-01
9629.11 1.6715e-01 6.9206e-01 1.4079e-01
9954.11 1.7622e-01 6.9251e-01 1.3127e-01
10245.64 1.6285e-01 7.0467e-01 1.3248e-01
10541.49 1.4337e-01 7.3412e-01 1.2251e-01
10839.94 1.5772e-01 7.3147e-01 1.1081e-01
11119.11 1.7857e-01 7.2881e-01 9.2623e-02
11355.83 2.4128e-01 6.8702e-01 7.1705e-02
11539.81 3.0776e-01 6.3960e-01 5.2632e-02
11677.16 3.4278e-01 6.1125e-01 4.5972e-02
11784.05 3.4986e-01 6.0645e-01 4.3687e-02
11875.85 4.0762e-01 5.5421e-01 3.8172e-02
11963.37 3.7281e-01 5.8634e-01 4.0854e-02
12055.39 3.0239e-01 6.4430e-01 5.3311e-02
12170.41 2.1140e-01 7.2063e-01 6.7967e-02
12360.89 1.6483e-01 7.6155e-01 7.3615e-02
12670.46 1.0728e-01 7.9793e-01 9.4785e-02
13075.34 4.8685e-02 8.3449e-01 1.1683e-01
13530.52 3.5951e-02 8.2441e-01 1.3964e-01
14012.75 3.0573e-02 8.0573e-01 1.6369e-01
14508.81 2.0603e-02 7.9738e-01 1.8202e-01
15002.30 2.2907e-02 7.8507e-01 1.9202e-01
15475.29 2.5707e-02 7.7269e-01 2.0160e-01
15923.68 3.4232e-02 7.4755e-01 2.1822e-01
16355.64 2.9973e-02 7.4103e-01 2.2900e-01
16776.27 2.9908e-02 7.3763e-01 2.3246e-01
17183.14 1.9220e-02 7.5284e-01 2.2794e-01
17580.45 2.7877e-02 7.4647e-01 2.2565e-01
17990.34 2.9245e-02 7.2446e-01 2.4630e-01
18458.06 1.1296e-02 7.1974e-01 2.6896e-01
19084.69 7.2166e-03 6.8249e-01 3.1029e-01
