#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    3.888044E+04   9.6168E-001   3.8317E-002   3.5885E-022   3.1845E-053   2.6322E-074
    3.991994E+04   9.6084E-001   3.9161E-002   5.7422E-022   3.2497E-053   4.1755E-074
    4.098383E+04   9.6087E-001   3.9128E-002   8.6060E-022   3.2672E-053   6.2219E-074
    4.207443E+04   9.6137E-001   3.8628E-002   1.2062E-021   3.2669E-053   8.6819E-074
    4.319619E+04   9.6205E-001   3.7952E-002   1.5845E-021   3.2698E-053   1.1367E-073
    4.435339E+04   9.6267E-001   3.7326E-002   1.9663E-021   3.2917E-053   1.4090E-073
    4.555005E+04   9.6298E-001   3.7024E-002   2.3439E-021   3.3500E-053   1.6842E-073
    4.678738E+04   9.6271E-001   3.7293E-002   2.7339E-021   3.4585E-053   1.9795E-073
    4.806468E+04   9.6188E-001   3.8120E-002   3.1398E-021   3.6108E-053   2.3020E-073
    4.937985E+04   9.6063E-001   3.9374E-002   3.5525E-021   3.7927E-053   2.6468E-073
    5.073002E+04   9.5903E-001   4.0972E-002   3.9728E-021   3.9974E-053   3.0128E-073
    5.211198E+04   9.5725E-001   4.2747E-002   4.3870E-021   4.2152E-053   3.3880E-073
    5.352349E+04   9.5559E-001   4.4406E-002   4.7500E-021   4.4287E-053   3.7399E-073
    5.496004E+04   9.5430E-001   4.5699E-002   5.0164E-021   4.6258E-053   4.0387E-073
    5.642085E+04   9.5350E-001   4.6498E-002   5.1622E-021   4.8044E-053   4.2724E-073
    5.789881E+04   9.5323E-001   4.6773E-002   5.1823E-021   4.9695E-053   4.4433E-073
    5.939226E+04   9.5339E-001   4.6606E-002   5.0967E-021   5.1400E-053   4.5748E-073
    6.088737E+04   9.5395E-001   4.6046E-002   4.9188E-021   5.3376E-053   4.6856E-073
    6.237825E+04   9.5489E-001   4.5109E-002   4.6550E-021   5.5866E-053   4.7882E-073
    6.383998E+04   9.5613E-001   4.3866E-002   4.3253E-021   5.9105E-053   4.8951E-073
    6.526223E+04   9.5761E-001   4.2385E-002   3.9502E-021   6.3290E-053   5.0119E-073
    6.660986E+04   9.5916E-001   4.0844E-002   3.5712E-021   6.8487E-053   5.1463E-073
    6.786444E+04   9.6091E-001   3.9093E-002   3.1750E-021   7.4225E-053   5.2369E-073
    6.899777E+04   9.6386E-001   3.6145E-002   2.6292E-021   7.7647E-053   4.9551E-073
    6.951321E+04   9.6767E-001   3.2330E-002   2.0705E-021   7.3780E-053   4.1648E-073
    6.977237E+04   9.7033E-001   2.9666E-002   1.6691E-021   6.9813E-053   3.4710E-073
    6.990232E+04   9.7305E-001   2.6954E-002   1.3146E-021   6.4463E-053   2.7823E-073
    6.996738E+04   9.7508E-001   2.4921E-002   1.0697E-021   6.0105E-053   2.2851E-073
    6.999830E+04   9.7638E-001   2.3616E-002   9.1572E-022   5.7232E-053   1.9666E-073
    6.999993E+04   9.7676E-001   2.3235E-002   8.9046E-022   5.6337E-053   1.9134E-073
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    8.484664E+02   5.0041E-023   1.0948E-015   2.3953E-009   4.9565E-004   9.9950E-001
    8.528610E+02   5.0041E-023   1.0948E-015   2.3953E-009   4.9565E-004   9.9950E-001
    8.661820E+02   5.0041E-023   1.0948E-015   2.3954E-009   4.9565E-004   9.9950E-001
    8.934513E+02   5.0045E-023   1.0949E-015   2.3955E-009   4.9566E-004   9.9950E-001
    9.472405E+02   5.0059E-023   1.0951E-015   2.3959E-009   4.9572E-004   9.9950E-001
    1.007109E+03   5.0105E-023   1.0960E-015   2.3974E-009   4.9589E-004   9.9950E-001
    1.070759E+03   5.0155E-023   1.0972E-015   2.4000E-009   4.9622E-004   9.9950E-001
    1.138432E+03   4.9473E-023   1.0857E-015   2.3827E-009   4.9439E-004   9.9951E-001
    1.210381E+03   4.5590E-023   1.0128E-015   2.2546E-009   4.7940E-004   9.9952E-001
    1.286878E+03   3.0036E-023   7.0320E-016   1.6712E-009   4.0465E-004   9.9960E-001
    1.368209E+03   6.6017E-024   1.9169E-016   5.8683E-010   2.2500E-004   9.9977E-001
    1.454681E+03   1.3556E-024   4.9788E-017   1.9960E-010   1.2315E-004   9.9988E-001
    1.546618E+03   7.1622E-025   2.9092E-017   1.3064E-010   9.7368E-005   9.9990E-001
    1.644365E+03   3.2890E-025   1.5181E-017   7.8615E-011   7.3624E-005   9.9993E-001
    1.748290E+03   1.0308E-025   5.7910E-018   3.7309E-011   4.9010E-005   9.9995E-001
    1.858783E+03   3.7094E-026   2.5257E-018   2.0045E-011   3.5164E-005   9.9996E-001
    1.976259E+03   1.2833E-026   1.0596E-018   1.0408E-011   2.4792E-005   9.9998E-001
    2.101160E+03   4.4525E-027   4.4971E-019   5.5121E-012   1.7763E-005   9.9998E-001
