#NTIMES: 50
#NSTAGES 2
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 115
#vel_mid[km/s] mg0 mg1
1242.44 2.6429e-02 9.7357e-01
1320.45 2.4647e-02 9.7535e-01
1403.37 1.6081e-02 9.8392e-01
1491.49 3.3238e-02 9.6676e-01
1585.14 3.4254e-02 9.6575e-01
1684.67 3.3669e-02 9.6633e-01
1790.45 3.0982e-02 9.6902e-01
1902.87 2.0678e-02 9.7932e-01
2022.36 1.4270e-02 9.8573e-01
2149.34 2.2342e-03 9.9777e-01
2284.30 4.0180e-03 9.9598e-01
2427.74 3.1212e-03 9.9688e-01
2580.18 2.7330e-03 9.9727e-01
2742.19 2.5464e-03 9.9745e-01
2914.37 2.7661e-03 9.9723e-01
3097.37 3.0157e-03 9.9698e-01
3291.85 3.0479e-03 9.9695e-01
3498.55 5.3640e-03 9.9464e-01
3718.23 3.9859e-02 9.6014e-01
3951.70 1.4355e-01 8.5645e-01
4199.83 9.6072e-02 9.0393e-01
4463.54 1.0852e-01 8.9148e-01
4743.81 1.3832e-01 8.6168e-01
5041.68 1.6418e-01 8.3582e-01
5358.25 1.8472e-01 8.1528e-01
5694.70 2.1056e-01 7.8944e-01
6052.28 2.4001e-01 7.5999e-01
6432.31 2.7006e-01 7.2994e-01
6836.20 2.9650e-01 7.0350e-01
7265.45 3.0605e-01 6.9395e-01
7721.65 3.3226e-01 6.6774e-01
8206.56 3.7500e-01 6.2500e-01
8717.73 3.9861e-01 6.0139e-01
9214.74 4.2352e-01 5.7648e-01
9629.11 4.5984e-01 5.4016e-01
9954.11 4.7525e-01 5.2475e-01
10245.64 4.8826e-01 5.1174e-01
10541.49 4.9000e-01 5.1000e-01
10839.94 4.9753e-01 5.0247e-01
11119.11 5.5323e-01 4.4677e-01
11355.83 5.7781e-01 4.2219e-01
11539.81 6.2357e-01 3.7643e-01
11677.16 6.3470e-01 3.6530e-01
11784.05 6.6654e-01 3.3346e-01
11875.85 6.3463e-01 3.6537e-01
11963.37 6.0657e-01 3.9343e-01
12055.39 5.7491e-01 4.2509e-01
12170.41 5.3035e-01 4.6965e-01
12360.89 1.0557e-01 8.9443e-01
12670.46 1.5464e-02 9.8454e-01
13075.34 7.9036e-03 9.9210e-01
13530.52 6.0803e-03 9.9392e-01
14012.75 4.6903e-03 9.9531e-01
14508.81 3.3432e-03 9.9666e-01
15002.30 3.3073e-03 9.9669e-01
15475.29 2.7289e-03 9.9727e-01
15923.68 2.3848e-03 9.9762e-01
16355.64 2.3962e-03 9.9760e-01
16776.27 2.1826e-03 9.9782e-01
17183.14 1.8975e-03 9.9810e-01
17580.45 1.6441e-03 9.9836e-01
17990.34 1.5911e-03 9.9841e-01
18458.06 1.6060e-03 9.9839e-01
19084.69 1.2800e-03 9.9872e-01
19999.79 7.4484e-04 9.9926e-01
21193.46 4.4728e-04 9.9955e-01
22528.72 2.3965e-04 9.9976e-01
