#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    2.394324E+04   1.0000E-099   1.0000E+000   8.3926E-014   1.0710E-035   9.1406E-065
    2.516734E+04   1.0000E-099   1.0000E+000   1.2316E-013   1.8177E-035   1.0656E-064
    2.638649E+04   1.0000E-099   1.0000E+000   1.1447E-013   1.5379E-035   9.7752E-065
    2.758311E+04   1.0000E-099   1.0000E+000   2.8171E-013   4.1320E-035   1.7706E-064
    2.884269E+04   1.0000E-099   1.0000E+000   5.1801E-013   7.0926E-035   2.7845E-064
    3.014497E+04   1.0000E-099   1.0000E+000   1.1448E-012   1.5528E-034   5.2842E-064
    3.148085E+04   1.0000E-099   1.0000E+000   2.1178E-012   2.8017E-034   8.9734E-064
    3.276289E+04   1.0000E-099   1.0000E+000   2.8734E-012   3.5673E-034   1.1792E-063
    3.391810E+04   1.0000E-099   1.0000E+000   3.9529E-012   4.7576E-034   1.5781E-063
    3.495083E+04   1.0000E-099   1.0000E+000   6.4735E-012   8.0821E-034   2.4926E-063
    3.592850E+04   1.0000E-099   1.0000E+000   1.1476E-011   1.5129E-033   4.2850E-063
    3.688885E+04   1.0000E-099   1.0000E+000   2.0422E-011   2.7829E-033   7.4703E-063
    3.786912E+04   1.0000E-099   1.0000E+000   3.5319E-011   4.8281E-033   1.2767E-062
    3.888044E+04   1.0000E-099   1.0000E+000   5.7020E-011   7.7190E-033   2.0498E-062
    3.991994E+04   1.0000E-099   1.0000E+000   8.7443E-011   1.2017E-032   3.1337E-062
    4.098383E+04   1.0000E-099   1.0000E+000   1.2738E-010   1.8659E-032   4.5503E-062
    4.207443E+04   1.0000E-099   1.0000E+000   1.7445E-010   2.8686E-032   6.2047E-062
    4.319619E+04   1.0000E-099   1.0000E+000   2.2392E-010   4.3086E-032   7.9254E-062
    4.435339E+04   1.0000E-099   1.0000E+000   2.7037E-010   6.2366E-032   9.5443E-062
    4.555005E+04   1.0000E-099   1.0000E+000   3.1058E-010   8.6610E-032   1.1001E-061
    4.678738E+04   1.0000E-099   1.0000E+000   3.4429E-010   1.1508E-031   1.2347E-061
    4.806468E+04   1.0000E-099   1.0000E+000   3.7174E-010   1.4544E-031   1.3630E-061
    4.937985E+04   1.0000E-099   1.0000E+000   3.9352E-010   1.7401E-031   1.4879E-061
    5.073002E+04   1.0000E-099   1.0000E+000   4.1140E-010   1.9769E-031   1.6120E-061
    5.211198E+04   1.0000E-099   1.0000E+000   4.2619E-010   2.1717E-031   1.7334E-061
    5.352349E+04   1.0000E-099   1.0000E+000   4.3679E-010   2.3193E-031   1.8424E-061
    5.496004E+04   1.0000E-099   1.0000E+000   4.4178E-010   2.4021E-031   1.9297E-061
    5.642085E+04   1.0000E-099   1.0000E+000   4.4024E-010   2.4024E-031   1.9916E-061
    5.789881E+04   1.0000E-099   1.0000E+000   4.3207E-010   2.3203E-031   2.0310E-061
    5.939226E+04   1.0000E-099   1.0000E+000   4.1810E-010   2.1738E-031   2.0576E-061
    6.088737E+04   1.0000E-099   1.0000E+000   3.9880E-010   1.9822E-031   2.0797E-061
    6.237825E+04   1.0000E-099   1.0000E+000   3.7458E-010   1.7618E-031   2.1045E-061
    6.383998E+04   1.0000E-099   1.0000E+000   3.4637E-010   1.5308E-031   2.1346E-061
    6.526223E+04   1.0000E-099   1.0000E+000   3.1481E-010   1.3007E-031   2.1659E-061
    6.660986E+04   1.0000E-099   1.0000E+000   2.8214E-010   1.0890E-031   2.1925E-061
    6.786444E+04   1.0000E-099   1.0000E+000   2.4936E-010   8.9623E-032   2.2025E-061
