#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    1.203767E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.3331E-019
    1.210835E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.9188E-020
    1.217533E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6644E-021
    1.224092E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6024E-022
    1.231061E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.2401E-023
    1.238832E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.1816E-024
    1.249177E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.0308E-025
    1.273320E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.8216E-026
    1.314431E+04   1.0000E-099   1.0000E-099   1.0000E+000   9.9315E-027
    1.356973E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.8384E-027
    1.397745E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.3566E-027
    1.437971E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.3576E-028
    1.481384E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.2471E-029
    1.527443E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.0956E-030
    1.573281E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.4323E-031
    1.619433E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.1427E-032
    1.667669E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8447E-033
