#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    4.435339E+04   1.0000E-099   1.0000E+000   2.3267E-008   6.7223E-024
    4.555005E+04   1.0000E-099   1.0000E+000   1.8086E-008   5.1021E-024
    4.678738E+04   1.0000E-099   1.0000E+000   1.4318E-008   4.0209E-024
    4.806468E+04   1.0000E-099   1.0000E+000   1.1699E-008   3.3272E-024
    4.937985E+04   1.0000E-099   1.0000E+000   9.9084E-009   2.8895E-024
    5.073002E+04   1.0000E-099   1.0000E+000   8.7123E-009   2.6281E-024
    5.211198E+04   1.0000E-099   1.0000E+000   7.9355E-009   2.4850E-024
    5.352349E+04   1.0000E-099   1.0000E+000   7.4155E-009   2.4018E-024
    5.496004E+04   1.0000E-099   1.0000E+000   7.0305E-009   2.3344E-024
    5.642085E+04   1.0000E-099   1.0000E+000   6.7088E-009   2.2587E-024
    5.789881E+04   1.0000E-099   1.0000E+000   6.4097E-009   2.1641E-024
    5.939226E+04   1.0000E-099   1.0000E+000   6.1198E-009   2.0527E-024
    6.088737E+04   1.0000E-099   1.0000E+000   5.8337E-009   1.9273E-024
    6.237825E+04   1.0000E-099   1.0000E+000   5.5489E-009   1.7898E-024
    6.383998E+04   1.0000E-099   1.0000E+000   5.2701E-009   1.6463E-024
    6.526223E+04   1.0000E-099   1.0000E+000   4.9920E-009   1.4992E-024
    6.660986E+04   1.0000E-099   1.0000E+000   4.7289E-009   1.3601E-024
    6.786444E+04   1.0000E-099   1.0000E+000   4.4523E-009   1.2181E-024
    6.899777E+04   1.0000E-099   1.0000E+000   4.0231E-009   1.0152E-024
    6.951321E+04   1.0000E-099   1.0000E+000   3.5803E-009   8.1241E-025
    6.977237E+04   1.0000E-099   1.0000E+000   3.1990E-009   6.4532E-025
    6.990232E+04   1.0000E-099   1.0000E+000   2.8239E-009   4.9475E-025
    6.996738E+04   1.0000E-099   1.0000E+000   2.5333E-009   3.8715E-025
    6.999830E+04   1.0000E-099   1.0000E+000   2.3269E-009   3.1681E-025
    6.999993E+04   1.0000E-099   1.0000E+000   2.3038E-009   3.0925E-025
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    8.484664E+02   1.0000E-099   2.2076E-013   5.7996E-006   9.9999E-001
    8.528610E+02   1.0000E-099   2.2076E-013   5.7996E-006   9.9999E-001
    8.661820E+02   1.0000E-099   2.2076E-013   5.7996E-006   9.9999E-001
    8.934513E+02   1.0000E-099   2.2077E-013   5.7996E-006   9.9999E-001
    9.472405E+02   1.0000E-099   2.2078E-013   5.7998E-006   9.9999E-001
    1.007109E+03   1.0000E-099   2.2084E-013   5.8002E-006   9.9999E-001
    1.070759E+03   1.0000E-099   2.2077E-013   5.7983E-006   9.9999E-001
    1.138432E+03   1.0000E-099   2.1938E-013   5.7807E-006   9.9999E-001
    1.210381E+03   1.0000E-099   2.1476E-013   5.7455E-006   9.9999E-001
    1.286878E+03   1.0000E-099   1.9735E-013   5.6692E-006   9.9999E-001
    1.368209E+03   1.0000E-099   1.3883E-013   5.2351E-006   9.9999E-001
