#NTIMES:     67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           na0           na1
    2.011195E+03    2.2031E-06    1.0000E+00
    2.138303E+03    2.0009E-06    1.0000E+00
    2.273445E+03    1.8193E-06    1.0000E+00
    2.417128E+03    1.6634E-06    1.0000E+00
    2.569892E+03    1.5492E-06    1.0000E+00
    2.732311E+03    1.4783E-06    1.0000E+00
    2.904995E+03    1.4479E-06    1.0000E+00
    3.088592E+03    1.4679E-06    1.0000E+00
    3.283793E+03    1.5316E-06    1.0000E+00
    3.491331E+03    1.7011E-06    1.0000E+00
    3.711985E+03    2.1150E-06    1.0000E+00
    3.946585E+03    2.5507E-06    1.0000E+00
    4.196011E+03    2.4154E-06    1.0000E+00
    4.461202E+03    2.4598E-06    1.0000E+00
    4.743153E+03    2.4336E-06    1.0000E+00
    5.042923E+03    2.3293E-06    1.0000E+00
    5.361639E+03    2.2187E-06    1.0000E+00
    5.700497E+03    2.1284E-06    1.0000E+00
    6.060772E+03    2.0943E-06    1.0000E+00
    6.443817E+03    2.0838E-06    1.0000E+00
    6.851070E+03    2.0888E-06    1.0000E+00
    7.284062E+03    2.1297E-06    1.0000E+00
    7.744419E+03    2.1882E-06    1.0000E+00
    8.233871E+03    2.2987E-06    1.0000E+00
    8.754256E+03    2.5524E-06    1.0000E+00
    9.307531E+03    3.4224E-06    1.0000E+00
    9.857056E+03    5.0840E-06    9.9999E-01
    1.026219E+04    6.3334E-06    9.9999E-01
    1.066046E+04    7.7166E-06    9.9999E-01
    1.108456E+04    1.2633E-05    9.9999E-01
    1.145920E+04    2.0964E-05    9.9998E-01
    1.170019E+04    3.1897E-05    9.9997E-01
    1.184807E+04    3.4754E-05    9.9997E-01
    1.194895E+04    3.4062E-05    9.9997E-01
    1.202846E+04    2.9813E-05    9.9997E-01
    1.209713E+04    2.6017E-05    9.9997E-01
    1.216131E+04    2.3863E-05    9.9998E-01
    1.222467E+04    2.2895E-05    9.9998E-01
    1.229131E+04    2.2603E-05    9.9998E-01
    1.236339E+04    2.2745E-05    9.9998E-01
    1.245100E+04    2.3242E-05    9.9998E-01
    1.259630E+04    2.4411E-05    9.9998E-01
    1.288977E+04    2.7519E-05    9.9997E-01
    1.326716E+04    3.3129E-05    9.9997E-01
    1.368028E+04    4.1726E-05    9.9996E-01
    1.412000E+04    5.4818E-05    9.9995E-01
    1.458947E+04    7.5884E-05    9.9992E-01
    1.507487E+04    1.1965E-04    9.9988E-01
    1.554368E+04    1.9069E-04    9.9981E-01
    1.599734E+04    2.6432E-04    9.9974E-01
    1.645628E+04    3.5194E-04    9.9965E-01
    1.692588E+04    4.7375E-04    9.9953E-01
    1.740008E+04    5.8267E-04    9.9942E-01
    1.790650E+04    6.0025E-04    9.9940E-01
    1.855795E+04    5.7318E-04    9.9943E-01
    1.953644E+04    5.2370E-04    9.9948E-01
    2.077905E+04    5.2482E-04    9.9948E-01
    2.209229E+04    6.8700E-04    9.9931E-01
    2.348854E+04    9.2839E-04    9.9907E-01
    2.497303E+04    1.3185E-03    9.9868E-01
    2.655134E+04    2.1097E-03    9.9789E-01
    2.823401E+04    2.1060E-03    9.9789E-01
    2.993365E+04    1.7858E-03    9.9821E-01
    3.153760E+04    1.7617E-03    9.9824E-01
    3.299099E+04    1.9975E-03    9.9800E-01
    3.426462E+04    2.2435E-03    9.9776E-01
    3.540831E+04    2.3097E-03    9.9769E-01
    3.648732E+04    2.1919E-03    9.9781E-01
    3.755144E+04    1.9729E-03    9.9803E-01
    3.862706E+04    1.7504E-03    9.9825E-01
    3.971922E+04    1.5364E-03    9.9846E-01
    4.082638E+04    1.3278E-03    9.9867E-01
    4.195195E+04    1.1345E-03    9.9887E-01
    4.310219E+04    9.5994E-04    9.9904E-01
    4.428215E+04    8.0113E-04    9.9920E-01
    4.549618E+04    6.5608E-04    9.9934E-01
    4.674647E+04    5.2024E-04    9.9948E-01
    4.803285E+04    4.0228E-04    9.9960E-01
    4.935417E+04    3.0709E-04    9.9969E-01
    5.070872E+04    2.3118E-04    9.9977E-01
    5.209387E+04    1.7168E-04    9.9983E-01
    5.350827E+04    1.2651E-04    9.9987E-01
    5.494800E+04    9.3203E-05    9.9991E-01
    5.641221E+04    6.8606E-05    9.9993E-01
    5.789415E+04    5.0115E-05    9.9995E-01
    5.939153E+04    3.6031E-05    9.9996E-01
    6.089052E+04    2.5543E-05    9.9997E-01
    6.238510E+04    1.8222E-05    9.9998E-01
    6.385045E+04    1.3477E-05    9.9999E-01
    6.527461E+04    1.0343E-05    9.9999E-01
    6.662249E+04    8.1295E-06    9.9999E-01
    6.787764E+04    6.4535E-06    9.9999E-01
    6.900561E+04    5.1950E-06    9.9999E-01
    6.951703E+04    4.6873E-06    1.0000E+00
    6.977416E+04    4.4476E-06    1.0000E+00
    6.990309E+04    4.3266E-06    1.0000E+00
    6.996763E+04    4.2635E-06    1.0000E+00
    6.999832E+04    4.2310E-06    1.0000E+00
    6.999993E+04    4.2278E-06    1.0000E+00
#TIME:     0.887
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.484664E+02    3.4667E-06    1.0000E+00
    8.550285E+02    3.4667E-06    1.0000E+00
    8.750210E+02    3.4668E-06    1.0000E+00
    9.164194E+02    3.4668E-06    1.0000E+00
    9.788524E+02    3.4667E-06    1.0000E+00
    1.040712E+03    3.4660E-06    1.0000E+00
    1.106486E+03    3.4591E-06    1.0000E+00
    1.176417E+03    3.4354E-06    1.0000E+00
    1.250767E+03    3.3643E-06    1.0000E+00
    1.329816E+03    3.2223E-06    1.0000E+00
    1.413861E+03    3.0131E-06    1.0000E+00
    1.503218E+03    2.8500E-06    1.0000E+00
    1.598223E+03    2.7108E-06    1.0000E+00
    1.699231E+03    2.5395E-06    1.0000E+00
    1.806624E+03    2.3474E-06    1.0000E+00
    1.920803E+03    2.1403E-06    1.0000E+00
    2.042199E+03    1.9627E-06    1.0000E+00
    2.171268E+03    1.7811E-06    1.0000E+00
    2.308493E+03    1.6237E-06    1.0000E+00
    2.454391E+03    1.4924E-06    1.0000E+00
    2.609510E+03    1.3998E-06    1.0000E+00
    2.774433E+03    1.3469E-06    1.0000E+00
    2.949779E+03    1.3289E-06    1.0000E+00
    3.136206E+03    1.3566E-06    1.0000E+00
    3.334417E+03    1.4209E-06    1.0000E+00
    3.545154E+03    1.6331E-06    1.0000E+00
