#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
1.470941E+04 1.000000E-99 1.000000E-99 7.765729E+03 8.461992E+03
1.475932E+04 1.000000E-99 1.000000E-99 7.764257E+03 8.456490E+03
1.480924E+04 1.000000E-99 1.000000E-99 7.758774E+03 8.451272E+03
1.485915E+04 1.000000E-99 1.000000E-99 7.753993E+03 8.444868E+03
1.490907E+04 1.000000E-99 1.000000E-99 7.749828E+03 8.439234E+03
1.495898E+04 1.000000E-99 1.000000E-99 7.748207E+03 8.438560E+03
1.500890E+04 1.000000E-99 1.000000E-99 7.743934E+03 8.447366E+03
1.505881E+04 1.000000E-99 1.000000E-99 7.739331E+03 8.441935E+03
1.510873E+04 1.000000E-99 1.000000E-99 7.737631E+03 8.435545E+03
1.515864E+04 1.000000E-99 1.000000E-99 7.732884E+03 8.422132E+03
1.520856E+04 1.000000E-99 1.000000E-99 7.732322E+03 8.416134E+03
1.525847E+04 1.000000E-99 1.000000E-99 7.732106E+03 8.414316E+03
1.530839E+04 1.000000E-99 1.000000E-99 7.726722E+03 8.414385E+03
1.535831E+04 1.000000E-99 1.000000E-99 7.722005E+03 8.411846E+03
1.540822E+04 1.000000E-99 1.000000E-99 7.718388E+03 8.403741E+03
1.545814E+04 1.000000E-99 1.000000E-99 7.712236E+03 8.396531E+03
1.550805E+04 1.000000E-99 1.000000E-99 7.707302E+03 8.390013E+03
1.555797E+04 1.000000E-99 1.000000E-99 7.704077E+03 8.384649E+03
1.560788E+04 1.000000E-99 1.000000E-99 7.701566E+03 8.375707E+03
1.565780E+04 1.000000E-99 1.000000E-99 7.703804E+03 8.367720E+03
1.570771E+04 1.000000E-99 1.000000E-99 7.702913E+03 8.363180E+03
1.575763E+04 1.000000E-99 1.000000E-99 7.696968E+03 8.356084E+03
1.580754E+04 1.000000E-99 1.000000E-99 7.690103E+03 8.347816E+03
1.585746E+04 1.000000E-99 1.000000E-99 7.688953E+03 8.343199E+03
1.590737E+04 1.000000E-99 1.000000E-99 7.689797E+03 8.333795E+03
1.595729E+04 1.000000E-99 1.000000E-99 7.687281E+03 8.326596E+03
1.600720E+04 1.000000E-99 1.000000E-99 7.683730E+03 8.324980E+03
1.605712E+04 1.000000E-99 1.000000E-99 7.681159E+03 8.326029E+03
1.610703E+04 1.000000E-99 1.000000E-99 7.679384E+03 8.321646E+03
1.615695E+04 1.000000E-99 1.000000E-99 7.676978E+03 8.316372E+03
1.620686E+04 1.000000E-99 1.000000E-99 7.674785E+03 8.312844E+03
1.625678E+04 1.000000E-99 1.000000E-99 7.672541E+03 8.311015E+03
1.630669E+04 1.000000E-99 1.000000E-99 7.673443E+03 8.307054E+03
1.635661E+04 1.000000E-99 1.000000E-99 7.669994E+03 8.301223E+03
1.640653E+04 1.000000E-99 1.000000E-99 7.663988E+03 8.292831E+03
1.645644E+04 1.000000E-99 1.000000E-99 7.662374E+03 8.286166E+03
1.650636E+04 1.000000E-99 1.000000E-99 7.667373E+03 8.282645E+03
1.655627E+04 1.000000E-99 1.000000E-99 7.661950E+03 8.278891E+03
1.660619E+04 1.000000E-99 1.000000E-99 7.655499E+03 8.282640E+03
1.665610E+04 1.000000E-99 1.000000E-99 7.653314E+03 8.283837E+03
1.670602E+04 1.000000E-99 1.000000E-99 7.649753E+03 8.277072E+03
1.675593E+04 1.000000E-99 1.000000E-99 7.643009E+03 8.276227E+03
1.680585E+04 1.000000E-99 1.000000E-99 7.641634E+03 8.271318E+03
1.685576E+04 1.000000E-99 1.000000E-99 7.638100E+03 8.266324E+03
1.690568E+04 1.000000E-99 1.000000E-99 7.634654E+03 8.265009E+03
1.695559E+04 1.000000E-99 1.000000E-99 7.632697E+03 8.264610E+03
1.700551E+04 1.000000E-99 1.000000E-99 7.628647E+03 8.262720E+03
1.705542E+04 1.000000E-99 8.070302E+03 7.626085E+03 8.257609E+03
1.710534E+04 1.000000E-99 8.070360E+03 7.627018E+03 8.249731E+03
1.715525E+04 1.000000E-99 8.068116E+03 7.623030E+03 8.245878E+03
1.720517E+04 1.000000E-99 8.066589E+03 7.615145E+03 8.244781E+03
1.725508E+04 1.000000E-99 8.066205E+03 7.609421E+03 8.237209E+03
1.730500E+04 1.000000E-99 8.064093E+03 7.606218E+03 8.231575E+03
1.735492E+04 1.000000E-99 8.062672E+03 7.603997E+03 8.231658E+03
1.740483E+04 1.000000E-99 8.062038E+03 7.604921E+03 8.227911E+03
1.745475E+04 1.000000E-99 8.058766E+03 7.605522E+03 8.221069E+03
1.750466E+04 1.000000E-99 8.054344E+03 7.603163E+03 8.219980E+03
1.755458E+04 1.000000E-99 8.053449E+03 7.597924E+03 8.219194E+03
1.760449E+04 1.000000E-99 8.050619E+03 7.596712E+03 8.219963E+03
1.765441E+04 1.000000E-99 8.046528E+03 7.595436E+03 8.217862E+03
1.770432E+04 1.000000E-99 8.040255E+03 7.589756E+03 8.211584E+03
1.775424E+04 1.000000E-99 8.037130E+03 7.585136E+03 8.208744E+03
1.780415E+04 1.000000E-99 8.035546E+03 7.584429E+03 8.208625E+03
1.785407E+04 1.000000E-99 8.032088E+03 7.583677E+03 8.208653E+03
1.790398E+04 1.000000E-99 8.027916E+03 7.584071E+03 8.203858E+03
1.795390E+04 1.000000E-99 8.023836E+03 7.581523E+03 8.198229E+03
