#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    4.455229E+03   1.0000E-099   9.9683E-001   3.1742E-003   1.3850E-016   1.3796E-025   2.6266E-040
    4.459352E+03   1.0000E-099   9.9861E-001   1.3873E-003   1.2263E-017   5.9263E-026   2.3055E-041
    4.466296E+03   1.0000E-099   9.9964E-001   3.6468E-004   2.4498E-019   1.5220E-026   4.5560E-043
    4.588121E+03   1.0000E-099   1.0000E+000   2.0856E-006   9.6754E-023   8.6512E-029   1.8692E-046
    5.002020E+03   1.0000E-099   1.0000E+000   9.8658E-010   1.0375E-022   4.4619E-032   2.3326E-046
    5.505454E+03   1.0000E-099   1.0000E+000   6.5359E-010   1.3364E-022   3.8142E-032   3.9753E-046
    6.049088E+03   1.0000E-099   1.0000E+000   7.2396E-010   1.6931E-022   5.3594E-032   6.5303E-046
    6.646403E+03   1.0000E-099   1.0000E+000   8.6209E-010   2.1095E-022   7.9613E-032   1.0360E-045
    7.302700E+03   1.0000E-099   1.0000E+000   1.0462E-009   2.5857E-022   1.1858E-031   1.5884E-045
    8.023803E+03   1.0000E-099   1.0000E+000   1.2847E-009   3.1211E-022   1.7600E-031   2.3582E-045
    8.816110E+03   1.0000E-099   1.0000E+000   1.5861E-009   3.7134E-022   2.5893E-031   3.3969E-045
    9.691226E+03   1.0000E-099   1.0000E+000   1.9489E-009   4.3623E-022   3.7443E-031   4.7635E-045
    1.060708E+04   1.0000E-099   1.0000E+000   2.3146E-009   5.0261E-022   5.1337E-031   6.4129E-045
    1.152419E+04   1.0000E-099   1.0000E+000   2.5903E-009   5.6682E-022   6.4951E-031   8.2544E-045
    1.244041E+04   1.0000E-099   1.0000E+000   2.7264E-009   6.2826E-022   7.5990E-031   1.0248E-044
    1.336348E+04   1.0000E-099   1.0000E+000   2.7011E-009   6.8716E-022   8.2657E-031   1.2377E-044
    1.427953E+04   1.0000E-099   1.0000E+000   2.5472E-009   7.4256E-022   8.4655E-031   1.4579E-044
    1.518907E+04   1.0000E-099   1.0000E+000   2.3153E-009   7.9464E-022   8.2870E-031   1.6828E-044
    1.610294E+04   1.0000E-099   1.0000E+000   2.0693E-009   8.4421E-022   7.9251E-031   1.9130E-044
    1.702212E+04   1.0000E-099   1.0000E+000   1.8399E-009   8.9154E-022   7.4927E-031   2.1472E-044
    1.793623E+04   1.0000E-099   1.0000E+000   1.6464E-009   9.3628E-022   7.0807E-031   2.3810E-044
    1.884515E+04   1.0000E-099   1.0000E+000   1.4867E-009   9.7869E-022   6.7121E-031   2.6135E-044
    1.975653E+04   1.0000E-099   1.0000E+000   1.3172E-009   1.0193E-021   6.2211E-031   2.8453E-044
    2.067033E+04   1.0000E-099   1.0000E+000   1.1346E-009   1.0587E-021   5.5844E-031   3.0781E-044
    2.158540E+04   1.0000E-099   1.0000E+000   9.2747E-010   1.0969E-021   4.7437E-031   3.3112E-044
    2.250115E+04   1.0000E-099   1.0000E+000   7.3723E-010   1.1340E-021   3.9061E-031   3.5442E-044
    2.341322E+04   1.0000E-099   1.0000E+000   5.7988E-010   1.1697E-021   3.1717E-031   3.7751E-044
    2.432621E+04   1.0000E-099   1.0000E+000   4.5225E-010   1.2041E-021   2.5450E-031   4.0038E-044
    2.524083E+04   1.0000E-099   1.0000E+000   3.5352E-010   1.2371E-021   2.0401E-031   4.2289E-044
    2.615666E+04   1.0000E-099   1.0000E+000   2.7640E-010   1.2685E-021   1.6309E-031   4.4480E-044
    2.707356E+04   1.0000E-099   1.0000E+000   2.1483E-010   1.2983E-021   1.2930E-031   4.6594E-044
    2.799150E+04   1.0000E-099   1.0000E+000   1.6503E-010   1.3260E-021   1.0118E-031   4.8577E-044
    2.891055E+04   1.0000E-099   1.0000E+000   1.2599E-010   1.3528E-021   7.8565E-032   5.0523E-044
    2.983087E+04   1.0000E-099   1.0000E+000   9.6785E-011   1.3785E-021   6.1325E-032   5.2414E-044
    3.075270E+04   1.0000E-099   1.0000E+000   7.5414E-011   1.4037E-021   4.8490E-032   5.4367E-044
    3.167645E+04   1.0000E-099   1.0000E+000   5.9337E-011   1.4285E-021   3.8678E-032   5.6412E-044
    3.260268E+04   1.0000E-099   1.0000E+000   4.6458E-011   1.4524E-021   3.0674E-032   5.8520E-044
    3.353223E+04   1.0000E-099   1.0000E+000   3.6209E-011   1.4753E-021   2.4201E-032   6.0629E-044
    3.446626E+04   1.0000E-099   1.0000E+000   2.8879E-011   1.4971E-021   1.9530E-032   6.2689E-044
