#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    3.816868E+03   1.0000E-099   1.4667E-022   1.2612E-014   4.9570E-008   4.6310E-003   9.9537E-001
    3.903355E+03   1.0000E-099   3.4313E-021   1.9691E-013   4.3029E-007   1.5906E-002   9.8409E-001
    3.976242E+03   1.0000E-099   9.0806E-020   3.4435E-012   4.0703E-006   5.6713E-002   9.4328E-001
    4.040206E+03   1.0000E-099   2.8587E-018   6.9764E-011   4.2210E-005   2.0230E-001   7.9766E-001
    4.094637E+03   1.0000E-099   7.5725E-017   1.1720E-009   3.4876E-004   5.3901E-001   4.6064E-001
    4.142797E+03   1.0000E-099   1.5034E-015   1.4260E-008   1.9396E-003   8.6181E-001   1.3625E-001
    4.184396E+03   1.0000E-099   2.4718E-014   1.4077E-007   8.2667E-003   9.6679E-001   2.4942E-002
    4.219843E+03   1.0000E-099   4.1005E-013   1.3857E-006   3.3553E-002   9.6279E-001   3.6523E-003
    4.250896E+03   1.0000E-099   7.7069E-012   1.4968E-005   1.3797E-001   8.6161E-001   4.0395E-004
    4.277520E+03   1.0000E-099   1.2050E-010   1.3306E-004   4.4341E-001   5.5643E-001   2.8424E-005
    4.300647E+03   1.0000E-099   1.1310E-009   7.0851E-004   8.1172E-001   1.8757E-001   9.0045E-007
    4.320861E+03   1.0000E-099   7.6064E-009   2.6523E-003   9.6170E-001   3.5648E-002   1.2846E-008
    4.338122E+03   1.0000E-099   4.7275E-008   8.9830E-003   9.8546E-001   5.5599E-003   1.3733E-010
    4.353834E+03   1.0000E-099   3.6084E-007   3.4001E-002   9.6533E-001   6.7204E-004   8.3717E-013
    4.366440E+03   1.0000E-099   2.8831E-006   1.2950E-001   8.7043E-001   6.5741E-005   3.3285E-015
    4.376598E+03   1.0000E-099   1.9455E-005   4.0709E-001   5.9289E-001   4.1886E-006   6.5979E-018
    4.385210E+03   1.0000E-099   8.0742E-005   7.7218E-001   2.2774E-001   1.3478E-007   5.3401E-021
    4.392810E+03   1.0000E-099   2.2483E-004   9.4573E-001   5.4049E-002   2.5712E-009   2.6861E-024
    4.399573E+03   1.0000E-099   5.6276E-004   9.8904E-001   1.0397E-002   3.7966E-011   6.2991E-026
    4.405855E+03   1.0000E-099   1.4903E-003   9.9688E-001   1.6300E-003   3.5873E-013   9.5972E-027
    4.411826E+03   1.0000E-099   4.4365E-003   9.9537E-001   1.9491E-004   1.7312E-015   1.1452E-027
    4.417378E+03   1.0000E-099   1.3760E-002   9.8622E-001   2.0358E-005   5.9221E-018   1.2340E-028
    4.421974E+03   1.0000E-099   3.7890E-002   9.6211E-001   2.5752E-006   3.3663E-020   1.6017E-029
    4.425875E+03   1.0000E-099   9.4498E-002   9.0550E-001   3.5822E-007   2.6229E-022   2.2687E-030
    4.429253E+03   1.0000E-099   2.0941E-001   7.9059E-001   4.9483E-008   6.4542E-024   3.2483E-031
    4.432481E+03   1.0000E-099   4.0232E-001   5.9768E-001   5.7508E-009   3.3624E-024   4.0300E-032
    4.436033E+03   1.0000E-099   6.4196E-001   3.5804E-001   4.7792E-010   2.1094E-024   3.6240E-033
    4.439854E+03   1.0000E-099   8.2135E-001   1.7865E-001   3.6495E-011   1.0900E-024   2.9171E-034
    4.443627E+03   1.0000E-099   9.1409E-001   8.5906E-002   3.3717E-012   5.2951E-025   2.7509E-035
    4.447309E+03   1.0000E-099   9.5909E-001   4.0913E-002   3.4468E-013   2.5128E-025   2.8211E-036
    4.451157E+03   1.0000E-099   9.8148E-001   1.8520E-002   3.2097E-014   1.1255E-025   2.6128E-037
    4.455229E+03   1.0000E-099   9.9174E-001   8.2616E-003   2.9411E-015   4.9559E-026   2.3731E-038
    4.459352E+03   1.0000E-099   9.9621E-001   3.7878E-003   2.9514E-016   2.2453E-026   2.3606E-039
    4.466296E+03   1.0000E-099   9.9892E-001   1.0767E-003   7.2432E-018   6.2877E-027   5.7301E-041
    4.588121E+03   1.0000E-099   9.9999E-001   8.6778E-006   1.6562E-022   5.1898E-029   1.3583E-045
    5.002020E+03   1.0000E-099   1.0000E+000   6.1442E-009   1.7885E-022   4.1703E-032   1.6952E-045
    5.505454E+03   1.0000E-099   1.0000E+000   4.0956E-009   2.3080E-022   3.5997E-032   2.8737E-045
    6.049088E+03   1.0000E-099   1.0000E+000   4.5163E-009   2.9254E-022   5.0450E-032   4.6917E-045
    6.646403E+03   1.0000E-099   1.0000E+000   5.3845E-009   3.6456E-022   7.5155E-032   7.3985E-045
    7.302700E+03   1.0000E-099   1.0000E+000   6.5558E-009   4.4693E-022   1.1247E-031   1.1281E-044
    8.023803E+03   1.0000E-099   1.0000E+000   8.0890E-009   5.3956E-022   1.6795E-031   1.6665E-044
    8.816110E+03   1.0000E-099   1.0000E+000   1.0052E-008   6.4213E-022   2.4900E-031   2.3904E-044
    9.691226E+03   1.0000E-099   1.0000E+000   1.2465E-008   7.5463E-022   3.6372E-031   3.3407E-044
    1.060708E+04   1.0000E-099   1.0000E+000   1.4997E-008   8.6989E-022   5.0564E-031   4.4868E-044
    1.152419E+04   1.0000E-099   1.0000E+000   1.7090E-008   9.8156E-022   6.5152E-031   5.7660E-044
    1.244041E+04   1.0000E-099   1.0000E+000   1.8511E-008   1.0886E-021   7.8408E-031   7.1511E-044
    1.336348E+04   1.0000E-099   1.0000E+000   1.9150E-008   1.1914E-021   8.8917E-031   8.6309E-044
    1.427953E+04   1.0000E-099   1.0000E+000   1.9222E-008   1.2883E-021   9.6634E-031   1.0162E-043
    1.518907E+04   1.0000E-099   1.0000E+000   1.9044E-008   1.3797E-021   1.0262E-030   1.1728E-043
    1.610294E+04   1.0000E-099   1.0000E+000   1.8961E-008   1.4668E-021   1.0868E-030   1.3332E-043
    1.702212E+04   1.0000E-099   1.0000E+000   1.9122E-008   1.5500E-021   1.1585E-030   1.4966E-043
    1.793623E+04   1.0000E-099   1.0000E+000   1.9670E-008   1.6287E-021   1.2520E-030   1.6600E-043
    1.884515E+04   1.0000E-099   1.0000E+000   2.0583E-008   1.7033E-021   1.3693E-030   1.8226E-043
    1.975653E+04   1.0000E-099   1.0000E+000   2.1443E-008   1.7747E-021   1.4851E-030   1.9850E-043
    2.067033E+04   1.0000E-099   1.0000E+000   2.1822E-008   1.8439E-021   1.5683E-030   2.1480E-043
    2.158540E+04   1.0000E-099   1.0000E+000   2.1082E-008   1.9110E-021   1.5678E-030   2.3113E-043
    2.250115E+04   1.0000E-099   1.0000E+000   1.9512E-008   1.9762E-021   1.4976E-030   2.4747E-043
    2.341322E+04   1.0000E-099   1.0000E+000   1.7410E-008   2.0392E-021   1.3759E-030   2.6368E-043
    2.432621E+04   1.0000E-099   1.0000E+000   1.5037E-008   2.0998E-021   1.2210E-030   2.7975E-043
    2.524083E+04   1.0000E-099   1.0000E+000   1.2743E-008   2.1579E-021   1.0610E-030   2.9557E-043
    2.615666E+04   1.0000E-099   1.0000E+000   1.0579E-008   2.2130E-021   9.0134E-031   3.1098E-043
    2.707356E+04   1.0000E-099   1.0000E+000   8.5468E-009   2.2651E-021   7.4356E-031   3.2588E-043
    2.799150E+04   1.0000E-099   1.0000E+000   6.6991E-009   2.3137E-021   5.9346E-031   3.4006E-043
    2.891055E+04   1.0000E-099   1.0000E+000   5.1094E-009   2.3604E-021   4.6033E-031   3.5399E-043
    2.983087E+04   1.0000E-099   1.0000E+000   3.8324E-009   2.4049E-021   3.5063E-031   3.6760E-043
    3.075270E+04   1.0000E-099   1.0000E+000   2.8657E-009   2.4483E-021   2.6646E-031   3.8136E-043
    3.167645E+04   1.0000E-099   1.0000E+000   2.1600E-009   2.4904E-021   2.0445E-031   3.9528E-043
    3.260268E+04   1.0000E-099   1.0000E+000   1.6376E-009   2.5308E-021   1.5798E-031   4.0918E-043
    3.353223E+04   1.0000E-099   1.0000E+000   1.2452E-009   2.5692E-021   1.2248E-031   4.2278E-043
    3.446626E+04   1.0000E-099   1.0000E+000   9.5446E-010   2.6057E-021   9.5640E-032   4.3591E-043
    3.540638E+04   1.0000E-099   1.0000E+000   7.4827E-010   2.6403E-021   7.6306E-032   4.4858E-043
    3.635490E+04   1.0000E-099   1.0000E+000   5.9075E-010   2.6733E-021   6.1228E-032   4.6080E-043
    3.731507E+04   1.0000E-099   1.0000E+000   4.5435E-010   2.7050E-021   4.7798E-032   4.7262E-043
    3.829161E+04   1.0000E-099   1.0000E+000   3.6417E-010   2.7359E-021   3.8827E-032   4.8415E-043
    3.929136E+04   1.0000E-099   1.0000E+000   3.3271E-010   2.7669E-021   3.5926E-032   4.9600E-043
    3.968816E+04   1.0000E-099   1.0000E+000   3.3524E-010   2.8364E-021   3.6265E-032   5.0825E-043
