#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
4125.00 6.4437e-02 7.9801e-01 1.3509e-01 2.4618e-03
4375.00 7.9693e-02 8.0923e-01 1.0943e-01 1.6496e-03
4625.00 8.4871e-02 8.1127e-01 1.0240e-01 1.4555e-03
4875.00 9.1930e-02 8.0467e-01 1.0196e-01 1.4359e-03
5125.00 9.5034e-02 8.0145e-01 1.0208e-01 1.4374e-03
5375.00 9.5788e-02 8.0309e-01 9.9726e-02 1.3931e-03
5625.00 9.8483e-02 7.9809e-01 1.0199e-01 1.4354e-03
5875.00 1.0575e-01 7.9243e-01 1.0040e-01 1.4290e-03
6125.00 1.0531e-01 7.9367e-01 9.9588e-02 1.4264e-03
6375.00 1.0712e-01 7.9244e-01 9.9027e-02 1.4099e-03
6625.00 1.0608e-01 7.9082e-01 1.0164e-01 1.4648e-03
6875.00 1.0142e-01 7.9467e-01 1.0244e-01 1.4654e-03
7125.00 1.0487e-01 7.9297e-01 1.0068e-01 1.4846e-03
7375.00 1.0961e-01 7.8346e-01 1.0533e-01 1.5883e-03
7625.00 1.0385e-01 7.9270e-01 1.0193e-01 1.5165e-03
7875.00 1.0184e-01 7.9290e-01 1.0373e-01 1.5330e-03
8125.00 9.7822e-02 7.9491e-01 1.0564e-01 1.6304e-03
8375.00 9.3420e-02 7.9662e-01 1.0831e-01 1.6541e-03
8625.00 9.8271e-02 7.9335e-01 1.0673e-01 1.6457e-03
8875.00 9.2821e-02 7.9952e-01 1.0601e-01 1.6500e-03
9125.00 9.2562e-02 7.9523e-01 1.1051e-01 1.6934e-03
9375.00 7.3214e-02 8.3473e-01 9.0928e-02 1.1298e-03
9625.00 7.1345e-02 8.3225e-01 9.5174e-02 1.2331e-03
9875.00 7.4088e-02 8.3027e-01 9.4390e-02 1.2522e-03
10125.00 8.6288e-02 8.0384e-01 1.0825e-01 1.6242e-03
10375.00 5.0665e-02 8.4613e-01 1.0182e-01 1.3882e-03
10625.00 3.5868e-02 8.5878e-01 1.0393e-01 1.4259e-03
10875.00 3.0751e-02 8.6186e-01 1.0588e-01 1.5001e-03
11125.00 1.9877e-02 8.7020e-01 1.0835e-01 1.5724e-03
11375.00 3.2618e-02 8.5812e-01 1.0721e-01 2.0487e-03
11625.00 8.3439e-03 8.7335e-01 1.1649e-01 1.8202e-03
11875.00 5.3697e-03 8.6296e-01 1.2969e-01 1.9874e-03
12125.00 3.1272e-03 8.7143e-01 1.2336e-01 2.0826e-03
12375.00 3.9770e-03 8.6078e-01 1.3292e-01 2.3190e-03
12625.00 2.3953e-03 8.5371e-01 1.4138e-01 2.5049e-03
12875.00 2.2804e-03 8.5003e-01 1.4492e-01 2.7779e-03
13125.00 1.7871e-03 8.4016e-01 1.5491e-01 3.1488e-03
13375.00 1.1595e-03 8.3769e-01 1.5779e-01 3.3624e-03
13625.00 1.0435e-03 8.3653e-01 1.5904e-01 3.3860e-03
13875.00 1.1840e-03 8.3629e-01 1.5894e-01 3.5858e-03
14125.00 7.7519e-04 8.1562e-01 1.7940e-01 4.2047e-03
