#NTIMES:     60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    4.024662E+04    3.1075E-04    9.9969E-01    1.6606E-08    2.1915E-22    6.7546E-30    6.4082E-44
    4.032422E+04    4.1556E-04    9.9958E-01    1.4839E-08    1.0832E-22    3.0600E-30    1.7590E-44
    4.032500E+04    4.1488E-04    9.9959E-01    1.4776E-08    1.0442E-22    2.9364E-30    1.6399E-44
#TIME:     2.002
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    1.025000E+03    1.0382E-40    3.3407E-30    7.3106E-22    1.0095E-13    1.5011E-06    1.0000E+00
    1.041817E+03    1.0091E-40    3.2658E-30    7.1874E-22    9.9803E-14    1.4926E-06    1.0000E+00
    1.075450E+03    9.8496E-41    3.2105E-30    7.1165E-22    9.9376E-14    1.4914E-06    1.0000E+00
    1.142716E+03    1.0011E-40    3.2830E-30    7.3199E-22    1.0196E-13    1.5188E-06    1.0000E+00
    1.252484E+03    1.0774E-40    3.5476E-30    7.9375E-22    1.0892E-13    1.5869E-06    1.0000E+00
    1.372656E+03    1.1891E-40    3.9229E-30    8.7893E-22    1.1819E-13    1.6740E-06    1.0000E+00
    1.504364E+03    1.3514E-40    4.4554E-30    9.9701E-22    1.3062E-13    1.7857E-06    1.0000E+00
    1.648709E+03    1.6012E-40    5.2535E-30    1.1693E-21    1.4807E-13    1.9339E-06    1.0000E+00
    1.806905E+03    2.0175E-40    6.5430E-30    1.4389E-21    1.7403E-13    2.1397E-06    1.0000E+00
    1.980279E+03    2.7914E-40    8.8501E-30    1.9021E-21    2.1585E-13    2.4434E-06    1.0000E+00
    2.170289E+03    4.4491E-40    1.3555E-29    2.7991E-21    2.9005E-13    2.9230E-06    1.0000E+00
    2.378531E+03    8.7913E-40    2.5065E-29    4.8451E-21    4.4049E-13    3.7553E-06    1.0000E+00
