#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] si0 si1 si2 si3
16375.00 3.9423e-04 8.9973e-01 9.5758e-02 4.1133e-03
16625.00 4.0637e-04 8.5909e-01 1.2074e-01 1.9758e-02
16875.00 4.0741e-04 9.0464e-01 9.0859e-02 4.0954e-03
17125.00 3.3813e-04 9.0168e-01 9.2703e-02 5.2753e-03
17375.00 4.5590e-04 8.7252e-01 1.1559e-01 1.1430e-02
17625.00 7.2996e-04 9.2800e-01 6.4409e-02 6.8638e-03
17875.00 5.3591e-04 8.6606e-01 1.2257e-01 1.0833e-02
18125.00 5.6328e-04 9.0209e-01 9.2267e-02 5.0766e-03
18375.00 6.8180e-04 8.9500e-01 9.6142e-02 8.1721e-03
18625.00 4.5955e-04 8.8759e-01 9.7685e-02 1.4268e-02
18875.00 5.9532e-04 8.9268e-01 9.2979e-02 1.3748e-02
19125.00 5.5377e-04 8.7514e-01 1.0756e-01 1.6752e-02
19375.00 8.0496e-04 8.5692e-01 1.1999e-01 2.2285e-02
19625.00 4.6972e-04 8.2972e-01 1.5704e-01 1.2766e-02
19875.00 4.7372e-04 9.0186e-01 9.0381e-02 7.2829e-03
20125.00 4.8274e-04 8.7063e-01 1.1973e-01 9.1562e-03
20375.00 5.3916e-04 8.6376e-01 1.2019e-01 1.5511e-02
20625.00 6.4476e-04 9.1177e-01 7.8459e-02 9.1214e-03
20875.00 9.7351e-04 8.2107e-01 1.6288e-01 1.5076e-02
21125.00 1.1855e-03 9.0640e-01 8.5101e-02 7.3122e-03
21375.00 6.6891e-04 8.7838e-01 1.0453e-01 1.6421e-02
21625.00 6.6216e-04 8.5277e-01 1.2570e-01 2.0868e-02
21875.00 1.0709e-03 9.0374e-01 8.5423e-02 9.7662e-03
22125.00 6.1147e-04 8.4501e-01 1.3163e-01 2.2742e-02
22375.00 1.0510e-03 8.1264e-01 1.6372e-01 2.2587e-02
22625.00 1.2381e-03 8.6970e-01 9.7711e-02 3.1350e-02
22875.00 9.6249e-04 6.4611e-01 2.8780e-01 6.5122e-02
23125.00 8.0152e-04 8.6878e-01 1.1438e-01 1.6035e-02
23375.00 1.0719e-03 8.2621e-01 1.4740e-01 2.5323e-02
23625.00 1.2192e-03 7.5476e-01 2.0494e-01 3.9087e-02
23875.00 1.2874e-03 8.3994e-01 1.3490e-01 2.3866e-02
24125.00 8.7917e-04 8.1080e-01 1.4818e-01 4.0141e-02
24375.00 1.3328e-03 7.4093e-01 2.1317e-01 4.4561e-02
24625.00 3.0079e-03 8.2929e-01 1.4147e-01 2.6231e-02
24875.00 9.3642e-04 7.2419e-01 2.2744e-01 4.7433e-02
25125.00 1.1243e-03 8.1552e-01 1.5236e-01 3.0994e-02
25375.00 2.4216e-03 8.0609e-01 1.5753e-01 3.3966e-02
25625.00 8.6378e-04 8.0819e-01 1.5731e-01 3.3637e-02
25875.00 1.7736e-03 7.7912e-01 1.7526e-01 4.3847e-02
26125.00 1.2367e-03 7.6411e-01 1.8743e-01 4.7221e-02
26375.00 8.1717e-04 7.6687e-01 1.8421e-01 4.8101e-02
26625.00 1.4830e-03 7.0891e-01 2.2568e-01 6.3928e-02
