#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    2.048630E+03   1.0000E-099   6.2150E-012   1.6636E-006   1.0000E+000
    2.174600E+03   1.0000E-099   3.3234E-012   1.2768E-006   1.0000E+000
    2.308316E+03   1.0000E-099   1.8334E-012   9.9734E-007   1.0000E+000
    2.450254E+03   1.0000E-099   9.5965E-013   7.7558E-007   1.0000E+000
    2.600920E+03   1.0000E-099   5.3160E-013   6.2682E-007   1.0000E+000
    2.760850E+03   1.0000E-099   3.5849E-013   5.4398E-007   1.0000E+000
    2.930615E+03   1.0000E-099   2.6669E-013   4.8381E-007   1.0000E+000
    3.110818E+03   1.0000E-099   2.1716E-013   4.3138E-007   1.0000E+000
    3.302102E+03   1.0000E-099   2.0042E-013   3.9282E-007   1.0000E+000
    3.505148E+03   1.0000E-099   2.0335E-013   3.6477E-007   1.0000E+000
    3.720679E+03   1.0000E-099   2.1700E-013   3.3912E-007   1.0000E+000
    3.949463E+03   1.0000E-099   2.3783E-013   3.1053E-007   1.0000E+000
    4.192316E+03   1.0000E-099   2.8721E-013   3.0824E-007   1.0000E+000
    4.450101E+03   1.0000E-099   3.1370E-013   3.1704E-007   1.0000E+000
    4.723737E+03   1.0000E-099   2.5393E-013   2.9250E-007   1.0000E+000
    5.014199E+03   1.0000E-099   1.8313E-013   2.4629E-007   1.0000E+000
    5.322522E+03   1.0000E-099   1.4814E-013   2.2122E-007   1.0000E+000
    5.649804E+03   1.0000E-099   1.3709E-013   2.1162E-007   1.0000E+000
    5.997210E+03   1.0000E-099   1.3592E-013   2.0488E-007   1.0000E+000
    6.365978E+03   1.0000E-099   1.3919E-013   1.9924E-007   1.0000E+000
    6.757421E+03   1.0000E-099   1.4548E-013   1.9739E-007   1.0000E+000
    7.172935E+03   1.0000E-099   1.5624E-013   1.9628E-007   1.0000E+000
    7.613998E+03   1.0000E-099   1.7494E-013   1.9420E-007   1.0000E+000
    8.082182E+03   1.0000E-099   2.0430E-013   1.9849E-007   1.0000E+000
    8.579155E+03   1.0000E-099   2.5232E-013   2.1215E-007   1.0000E+000
    9.106686E+03   1.0000E-099   3.5808E-013   2.4395E-007   1.0000E+000
    9.666656E+03   1.0000E-099   6.5438E-013   3.3593E-007   1.0000E+000
    1.026106E+04   1.0000E-099   1.6620E-012   6.2552E-007   1.0000E+000
    1.089201E+04   1.0000E-099   7.6392E-012   2.1417E-006   1.0000E+000
    1.156176E+04   1.0000E-099   8.2862E-011   1.8703E-005   9.9998E-001
    1.227269E+04   1.0000E-099   2.3385E-009   4.5543E-004   9.9954E-001
    1.302734E+04   1.0000E-099   6.9550E-008   1.2122E-002   9.8788E-001
    1.382861E+04   1.0000E-099   1.8274E-006   2.9731E-001   7.0269E-001
    1.462901E+04   1.0000E-099   6.9665E-006   9.9331E-001   6.6868E-003
    1.525056E+04   1.0000E-099   9.3328E-006   9.9999E-001   4.0055E-007
    1.570852E+04   1.0000E-099   2.5620E-005   9.9997E-001   8.3250E-012
    1.603933E+04   1.0000E-099   1.2338E-004   9.9988E-001   5.3858E-016
    1.626493E+04   1.0000E-099   1.1327E-003   9.9887E-001   4.3740E-021
    1.642900E+04   1.0000E-099   1.1064E-002   9.8894E-001   2.7528E-026
    1.655927E+04   1.0000E-099   8.4031E-002   9.1597E-001   2.0109E-031
    1.666808E+04   1.0000E-099   3.8869E-001   6.1131E-001   2.4563E-036
    1.676387E+04   1.0000E-099   7.6691E-001   2.3309E-001   7.9878E-041
    1.685344E+04   1.0000E-099   9.1942E-001   8.0576E-002   1.0534E-044
    1.694048E+04   1.0000E-099   9.6659E-001   3.3414E-002   1.9768E-047
    1.702877E+04   1.0000E-099   9.8411E-001   1.5886E-002   2.4359E-048
    1.712364E+04   1.0000E-099   9.9194E-001   8.0627E-003   2.5818E-051
    1.723140E+04   1.0000E-099   9.9588E-001   4.1169E-003   1.2156E-052
    1.736849E+04   1.0000E-099   9.9807E-001   1.9257E-003   1.1085E-052
    1.764428E+04   1.0000E-099   9.9949E-001   5.1183E-004   1.0601E-052
    1.825185E+04   1.0000E-099   9.9996E-001   4.0681E-005   1.0626E-052
    1.898577E+04   1.0000E-099   1.0000E+000   3.2802E-006   1.0846E-052
