#NTIMES:           33
#TIMES[d]:    1.00000E-01   5.00000E-01   1.00000E+00   2.00000E+00   3.00000E+00   4.00000E+00   5.00000E+00   6.00000E+00   7.00000E+00   8.00000E+00   9.00000E+00   1.00000E+01   1.20000E+01   1.40000E+01   1.60000E+01   1.80000E+01   2.00000E+01   2.20000E+01   2.40000E+01   2.60000E+01   2.80000E+01   3.00000E+01   3.50000E+01   4.00000E+01   5.00000E+01   6.00000E+01   7.00000E+01   8.00000E+01   9.00000E+01   1.00000E+02   1.10000E+02   1.20000E+02   1.30000E+02
#
#TIME:    1.00000E-01
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc]
 7.17444E+09 2.39332E+03 2.54097E-16
 7.37872E+09 2.35505E+03 5.40754E-16
#TIME:    1.00000E+00
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc]
 1.06420E+08 6.30957E+04 2.87740E-09
 1.37810E+08 6.66807E+04 2.93089E-09
 1.57610E+08 7.69130E+04 2.85102E-09
 1.73980E+08 8.37529E+04 2.91743E-09
 1.88360E+08 8.99498E+04 2.83139E-09
 2.00580E+08 9.54993E+04 2.80543E-09
 2.11550E+08 1.00693E+05 2.67917E-09
 2.21830E+08 1.05439E+05 2.63027E-09
 2.31650E+08 1.10154E+05 2.52348E-09
 2.40950E+08 1.14025E+05 2.48313E-09
 2.50710E+08 1.17490E+05 2.28034E-09
 2.59400E+08 1.20504E+05 2.32809E-09
 2.68240E+08 1.22744E+05 2.17270E-09
 2.77190E+08 1.24451E+05 2.02302E-09
 2.85940E+08 1.25603E+05 2.00909E-09
 2.94540E+08 1.26474E+05 1.90108E-09
 3.03100E+08 1.26765E+05 1.79061E-09
 3.11700E+08 1.26765E+05 1.69044E-09
 3.20350E+08 1.26183E+05 1.59221E-09
 3.28930E+08 1.25314E+05 1.53109E-09
 3.37710E+08 1.24165E+05 1.44877E-09
 3.46640E+08 1.22744E+05 1.35207E-09
 3.55650E+08 1.20781E+05 1.26474E-09
 3.64950E+08 1.18577E+05 1.17490E-09
 3.74720E+08 1.16145E+05 1.08143E-09
 3.84840E+08 1.13240E+05 9.95405E-10
 3.95060E+08 1.10408E+05 9.07821E-10
 4.05520E+08 1.07647E+05 8.24138E-10
 4.16150E+08 1.05196E+05 7.69130E-10
 4.27280E+08 1.03039E+05 7.31139E-10
 4.37160E+08 1.01859E+05 7.83430E-10
 4.45880E+08 1.00925E+05 8.12831E-10
 4.54100E+08 1.00693E+05 8.05378E-10
 4.62300E+08 1.00462E+05 7.85236E-10
 4.71050E+08 1.00231E+05 7.29458E-10
 4.80400E+08 1.00462E+05 6.77642E-10
 4.90030E+08 1.00462E+05 6.41210E-10
 4.99540E+08 1.00693E+05 6.20869E-10
 5.08900E+08 1.00925E+05 6.08135E-10
 5.18150E+08 1.01158E+05 5.95662E-10
 5.27290E+08 1.01391E+05 5.84790E-10
 5.36310E+08 1.01625E+05 5.74116E-10
 5.45180E+08 1.01625E+05 5.66239E-10
 5.53830E+08 1.01625E+05 5.59758E-10
 5.62320E+08 1.01625E+05 5.52077E-10
 5.70720E+08 1.01625E+05 5.43250E-10
 5.79040E+08 1.01391E+05 5.34564E-10
 5.87180E+08 1.01158E+05 5.26017E-10
 5.95240E+08 1.00925E+05 5.17607E-10
 6.03220E+08 1.00693E+05 5.10505E-10
 6.11110E+08 1.00462E+05 5.02343E-10
 6.19010E+08 1.00231E+05 4.94311E-10
 6.26910E+08 9.97700E+04 4.86407E-10
 6.34750E+08 9.95405E+04 4.77529E-10
 6.42400E+08 9.90832E+04 4.70977E-10
 6.49890E+08 9.88553E+04 4.63447E-10
 6.57310E+08 9.84011E+04 4.57088E-10
 6.64660E+08 9.79490E+04 4.51856E-10
 6.71970E+08 9.74990E+04 4.45656E-10
 6.79250E+08 9.70510E+04 4.39542E-10
 6.86490E+08 9.66051E+04 4.33511E-10
 6.93640E+08 9.61612E+04 4.26580E-10
 7.00660E+08 9.54993E+04 4.19759E-10
 7.07640E+08 9.50605E+04 4.12098E-10
 7.14720E+08 9.46237E+04 4.03645E-10
 7.21940E+08 9.39723E+04 3.95367E-10
 7.29260E+08 9.33254E+04 3.86367E-10
 7.36610E+08 9.28966E+04 3.77572E-10
 7.43930E+08 9.22571E+04 3.68978E-10
 7.51210E+08 9.16220E+04 3.61410E-10
 7.58500E+08 9.09913E+04 3.54813E-10
