#NTIMES:     65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ne1           ne2           ne3           ne4
    6.893337E+04    1.0000E+00    3.3064E-08    2.4246E-32    8.2879E-60
    6.953439E+04    1.0000E+00    3.2407E-08    2.3298E-32    7.9176E-60
    6.977430E+04    1.0000E+00    3.1160E-08    2.1453E-32    7.4419E-60
    6.989457E+04    1.0000E+00    2.8966E-08    1.8575E-32    6.7748E-60
    6.995478E+04    1.0000E+00    2.5561E-08    1.4301E-32    5.9243E-60
    6.998490E+04    1.0000E+00    2.1081E-08    9.7760E-33    4.8676E-60
    6.999922E+04    1.0000E+00    1.6450E-08    6.0622E-33    3.7959E-60
    6.999997E+04    1.0000E+00    1.5812E-08    5.6406E-33    3.6516E-60
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           ne1           ne2           ne3           ne4
    8.772128E+02    2.2278E-17    5.9299E-11    6.0669E-05    9.9994E-01
    8.833155E+02    2.2278E-17    5.9299E-11    6.0669E-05    9.9994E-01
    9.018795E+02    2.2278E-17    5.9300E-11    6.0669E-05    9.9994E-01
    9.401862E+02    2.2279E-17    5.9302E-11    6.0671E-05    9.9994E-01
    1.001110E+03    2.2279E-17    5.9301E-11    6.0670E-05    9.9994E-01
    1.062646E+03    2.2268E-17    5.9278E-11    6.0654E-05    9.9994E-01
    1.127988E+03    2.2205E-17    5.9136E-11    6.0549E-05    9.9994E-01
    1.197348E+03    2.2088E-17    5.8835E-11    6.0292E-05    9.9994E-01
    1.270973E+03    2.1863E-17    5.8230E-11    5.9756E-05    9.9994E-01
    1.349125E+03    1.9218E-17    5.2406E-11    5.5505E-05    9.9994E-01
    1.432083E+03    6.9755E-18    2.3831E-11    3.2710E-05    9.9997E-01
    1.520141E+03    2.1773E-18    9.9305E-12    1.8335E-05    9.9998E-01
    1.613615E+03    1.0848E-18    5.9798E-12    1.3281E-05    9.9999E-01
    1.712836E+03    6.3405E-19    4.0536E-12    1.0368E-05    9.9999E-01
    1.818158E+03    3.2006E-19    2.4774E-12    7.5769E-06    9.9999E-01
    1.929957E+03    1.4881E-19    1.4401E-12    5.4290E-06    9.9999E-01
    2.048630E+03    7.2987E-20    8.7280E-13    4.0128E-06    1.0000E+00
    2.174600E+03    3.0823E-20    4.7946E-13    2.8323E-06    1.0000E+00
    2.308316E+03    1.3110E-20    2.6660E-13    2.0445E-06    1.0000E+00
    2.450254E+03    5.1796E-21    1.4132E-13    1.4495E-06    1.0000E+00
    2.600920E+03    2.2362E-21    7.9756E-14    1.0715E-06    1.0000E+00
    2.760850E+03    1.2669E-21    5.4248E-14    8.7854E-07    1.0000E+00
    2.930615E+03    8.1019E-22    4.0116E-14    7.5404E-07    1.0000E+00
    3.110818E+03    5.6314E-22    3.1452E-14    6.6752E-07    1.0000E+00
    3.302102E+03    4.5201E-22    2.7223E-14    6.2157E-07    1.0000E+00
    3.505148E+03    4.0563E-22    2.5444E-14    6.0285E-07    1.0000E+00
    3.720679E+03    3.7807E-22    2.4456E-14    5.9571E-07    1.0000E+00
    3.949463E+03    3.4589E-22    2.3312E-14    5.9140E-07    1.0000E+00
    4.192316E+03    3.8613E-22    2.5394E-14    6.3052E-07    1.0000E+00
    4.450101E+03    4.2972E-22    2.7342E-14    6.5745E-07    1.0000E+00
    4.723737E+03    3.2045E-22    2.2356E-14    5.8826E-07    1.0000E+00
    5.014199E+03    1.8638E-22    1.5536E-14    4.8817E-07    1.0000E+00
    5.322522E+03    1.3252E-22    1.2355E-14    4.3401E-07    1.0000E+00
    5.649804E+03    1.1620E-22    1.1320E-14    4.1555E-07    1.0000E+00
    5.997210E+03    1.0913E-22    1.0890E-14    4.0989E-07    1.0000E+00
    6.365978E+03    1.0527E-22    1.0686E-14    4.0980E-07    1.0000E+00
    6.757421E+03    1.0626E-22    1.0803E-14    4.1564E-07    1.0000E+00
    7.172935E+03    1.0937E-22    1.1089E-14    4.2670E-07    1.0000E+00
    7.613998E+03    1.1252E-22    1.1451E-14    4.4514E-07    1.0000E+00
    8.082182E+03    1.2416E-22    1.2415E-14    4.7799E-07    1.0000E+00
    8.579155E+03    1.5169E-22    1.4430E-14    5.3309E-07    1.0000E+00
    9.106686E+03    2.1471E-22    1.8767E-14    6.4654E-07    1.0000E+00
    9.666656E+03    4.1822E-22    3.1040E-14    9.2601E-07    1.0000E+00
    1.026106E+04    1.2925E-21    7.3072E-14    1.6747E-06    1.0000E+00
    1.089201E+04    8.5135E-21    3.2589E-13    4.7050E-06    1.0000E+00
    1.156176E+04    1.6994E-19    4.1893E-12    2.5845E-05    9.9997E-01
    1.227269E+04    1.1929E-17    2.1271E-10    3.0823E-04    9.9969E-01
    1.302734E+04    1.0072E-15    1.4411E-08    4.0084E-03    9.9599E-01
    1.382861E+04    1.1839E-13    1.3135E-06    5.9890E-02    9.4011E-01
    1.462901E+04    8.3069E-11    3.9610E-04    8.6294E-01    1.3666E-01
    1.525056E+04    1.3940E-07    6.6728E-02    9.3320E-01    7.0126E-05
    1.570852E+04    4.6724E-05    9.5700E-01    4.2952E-02    6.1081E-10
    1.603933E+04    8.7135E-04    9.9887E-01    2.6072E-04    1.6955E-15
