#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    5.316859E+03   1.0000E-099   2.0349E-041   8.8850E-033   5.9176E-025   1.1773E-017   4.1424E-011   2.8868E-005   9.9997E-001
    5.645951E+03   1.0000E-099   1.5971E-041   7.3013E-033   5.0837E-025   1.0545E-017   3.8603E-011   2.7886E-005   9.9997E-001
    5.995413E+03   1.0000E-099   1.6411E-041   7.7227E-033   5.4846E-025   1.1422E-017   4.1433E-011   2.9012E-005   9.9997E-001
    6.366506E+03   1.0000E-099   2.0085E-041   9.7211E-033   6.9820E-025   1.4285E-017   4.9693E-011   3.2044E-005   9.9997E-001
    6.760567E+03   1.0000E-099   2.3614E-041   1.1585E-032   8.3417E-025   1.6791E-017   5.6561E-011   3.4393E-005   9.9997E-001
    7.179019E+03   1.0000E-099   3.0375E-041   1.5089E-032   1.0841E-024   2.1232E-017   6.8118E-011   3.8070E-005   9.9996E-001
    7.623372E+03   1.0000E-099   5.5787E-041   2.8460E-032   2.0289E-024   3.7206E-017   1.0624E-010   4.8627E-005   9.9995E-001
    8.095229E+03   1.0000E-099   1.0594E-040   5.4449E-032   3.7938E-024   6.4614E-017   1.6372E-010   6.1735E-005   9.9994E-001
    8.596292E+03   1.0000E-099   2.2267E-040   1.1193E-031   7.4266E-024   1.1519E-016   2.5513E-010   7.8746E-005   9.9992E-001
    9.128368E+03   1.0000E-099   1.0134E-039   4.8271E-031   2.8821E-023   3.6937E-016   6.2288E-010   1.2881E-004   9.9987E-001
    9.693378E+03   1.0000E-099   1.3999E-038   5.8741E-030   2.8554E-022   2.6174E-015   2.7651E-009   2.9365E-004   9.9971E-001
    1.029336E+04   1.0000E-099   6.5668E-037   2.1593E-028   7.4594E-021   4.1409E-014   2.2151E-008   9.2645E-004   9.9907E-001
    1.093048E+04   1.0000E-099   7.6061E-034   1.6296E-025   3.0792E-018   6.9801E-012   1.0592E-006   7.9150E-003   9.9208E-001
    1.160703E+04   1.0000E-099   3.1067E-029   3.4513E-021   2.6351E-014   1.5402E-008   3.2966E-004   1.7707E-001   8.2260E-001
    1.232546E+04   1.0000E-099   7.1514E-024   3.4314E-016   7.8584E-010   6.6035E-005   7.8565E-002   8.8912E-001   3.2249E-002
    1.308836E+04   1.0000E-099   2.6155E-020   6.2065E-013   5.0474E-007   7.5629E-003   7.1065E-001   2.8164E-001   1.5240E-004
    1.389955E+04   1.0000E-099   3.6878E-017   4.0924E-010   9.9091E-005   1.8423E-001   8.1004E-001   5.6297E-003   1.8821E-008
    1.474312E+04   1.0000E-099   5.0766E-013   1.3397E-006   2.8875E-002   9.5823E-001   1.2896E-002   4.5752E-008   1.1403E-017
    1.540367E+04   1.0000E-099   6.3766E-008   9.8104E-003   9.8425E-001   5.9431E-003   3.1068E-010   9.5319E-023   3.4596E-041
    1.581332E+04   1.0000E-099   3.4670E-005   4.5811E-001   5.4185E-001   4.1084E-006   1.3620E-017   1.6780E-035   1.0601E-060
