#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    1.681682E+04   1.0000E-099   5.0291E-002   9.4971E-001   1.6191E-006
    1.692241E+04   1.0000E-099   1.7672E-001   8.2328E-001   7.0659E-008
    1.702116E+04   1.0000E-099   3.8774E-001   6.1226E-001   4.4077E-009
    1.711664E+04   1.0000E-099   5.7631E-001   4.2369E-001   5.0139E-010
    1.721561E+04   1.0000E-099   7.1537E-001   2.8463E-001   8.0484E-011
    1.732334E+04   1.0000E-099   8.2020E-001   1.7980E-001   1.3247E-011
    1.744562E+04   1.0000E-099   8.9094E-001   1.0906E-001   2.2273E-012
    1.759425E+04   1.0000E-099   9.3597E-001   6.4034E-002   3.6878E-013
    1.788224E+04   1.0000E-099   9.7211E-001   2.7895E-002   2.5223E-014
    1.867332E+04   1.0000E-099   9.9325E-001   6.7472E-003   2.7584E-016
    1.962851E+04   1.0000E-099   9.9664E-001   3.3644E-003   2.7948E-017
    2.067444E+04   1.0000E-099   9.9700E-001   3.0018E-003   2.6730E-017
    2.182447E+04   1.0000E-099   9.9687E-001   3.1337E-003   4.9901E-017
    2.306690E+04   1.0000E-099   9.9532E-001   4.6769E-003   1.6993E-016
    2.438107E+04   1.0000E-099   9.9259E-001   7.4090E-003   5.0288E-016
    2.587845E+04   1.0000E-099   9.8882E-001   1.1181E-002   1.1609E-015
    2.749199E+04   1.0000E-099   9.8027E-001   1.9726E-002   2.7395E-015
    2.896661E+04   1.0000E-099   9.7564E-001   2.4363E-002   2.6565E-015
    3.023928E+04   1.0000E-099   9.7760E-001   2.2402E-002   1.8268E-015
    3.138852E+04   1.0000E-099   9.7334E-001   2.6659E-002   2.4763E-015
    3.250795E+04   1.0000E-099   9.6846E-001   3.1539E-002   3.3788E-015
    3.365620E+04   1.0000E-099   9.5690E-001   4.3096E-002   5.9690E-015
    3.486705E+04   1.0000E-099   9.4642E-001   5.3581E-002   8.8051E-015
    3.613166E+04   1.0000E-099   9.3522E-001   6.4782E-002   1.3138E-014
    3.742115E+04   1.0000E-099   9.2063E-001   7.9368E-002   2.0098E-014
    3.871394E+04   1.0000E-099   9.0471E-001   9.5293E-002   2.9965E-014
    3.997047E+04   1.0000E-099   8.9973E-001   1.0027E-001   3.4146E-014
    4.112379E+04   1.0000E-099   8.9381E-001   1.0619E-001   4.0681E-014
    4.218343E+04   1.0000E-099   8.8106E-001   1.1894E-001   5.4928E-014
    4.320753E+04   1.0000E-099   8.6448E-001   1.3552E-001   7.6100E-014
    4.423621E+04   1.0000E-099   8.4688E-001   1.5312E-001   1.0216E-013
    4.529664E+04   1.0000E-099   8.3218E-001   1.6782E-001   1.2817E-013
    4.639486E+04   1.0000E-099   8.2384E-001   1.7616E-001   1.4812E-013
    4.752261E+04   1.0000E-099   8.2021E-001   1.7979E-001   1.6427E-013
    4.867617E+04   1.0000E-099   8.2095E-001   1.7905E-001   1.7633E-013
    4.985675E+04   1.0000E-099   8.2554E-001   1.7446E-001   1.8382E-013
    5.106564E+04   1.0000E-099   8.3283E-001   1.6717E-001   1.8687E-013
    5.230378E+04   1.0000E-099   8.4119E-001   1.5881E-001   1.8665E-013
    5.357136E+04   1.0000E-099   8.4863E-001   1.5137E-001   1.8566E-013
    5.486695E+04   1.0000E-099   8.5380E-001   1.4620E-001   1.8641E-013
    5.618695E+04   1.0000E-099   8.5516E-001   1.4484E-001   1.9217E-013
    5.752536E+04   1.0000E-099   8.5260E-001   1.4740E-001   2.0438E-013
    5.887450E+04   1.0000E-099   8.4725E-001   1.5275E-001   2.2190E-013
    6.022291E+04   1.0000E-099   8.4078E-001   1.5922E-001   2.4154E-013
    6.155592E+04   1.0000E-099   8.3489E-001   1.6511E-001   2.5938E-013
    6.285824E+04   1.0000E-099   8.3050E-001   1.6950E-001   2.7311E-013
    6.411280E+04   1.0000E-099   8.2860E-001   1.7140E-001   2.8080E-013
    6.529403E+04   1.0000E-099   8.2817E-001   1.7183E-001   2.8426E-013
    6.638404E+04   1.0000E-099   8.2880E-001   1.7120E-001   2.8436E-013
    6.736672E+04   1.0000E-099   8.3093E-001   1.6907E-001   2.8009E-013
    6.821143E+04   1.0000E-099   8.3325E-001   1.6675E-001   2.7347E-013
    6.893337E+04   1.0000E-099   8.3675E-001   1.6325E-001   2.6571E-013
    6.953439E+04   1.0000E-099   8.4608E-001   1.5392E-001   2.4644E-013
    6.977430E+04   1.0000E-099   8.5681E-001   1.4319E-001   2.2049E-013
    6.989457E+04   1.0000E-099   8.6937E-001   1.3063E-001   1.8918E-013
    6.995478E+04   1.0000E-099   8.8106E-001   1.1894E-001   1.5288E-013
    6.998490E+04   1.0000E-099   8.8832E-001   1.1168E-001   1.1712E-013
    6.999922E+04   1.0000E-099   8.9532E-001   1.0468E-001   8.3637E-014
    6.999997E+04   1.0000E-099   8.9609E-001   1.0391E-001   7.8761E-014
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    8.772128E+02   1.0000E-099   8.9412E-013   4.5801E-006   1.0000E+000
    8.833155E+02   1.0000E-099   8.9412E-013   4.5801E-006   1.0000E+000
    9.018795E+02   1.0000E-099   8.9412E-013   4.5801E-006   1.0000E+000
    9.401862E+02   1.0000E-099   8.9414E-013   4.5801E-006   1.0000E+000
    1.001110E+03   1.0000E-099   8.9413E-013   4.5801E-006   1.0000E+000
    1.062646E+03   1.0000E-099   8.9399E-013   4.5798E-006   1.0000E+000
    1.127988E+03   1.0000E-099   8.9344E-013   4.5790E-006   1.0000E+000
    1.197348E+03   1.0000E-099   8.9384E-013   4.5818E-006   1.0000E+000
    1.270973E+03   1.0000E-099   8.9570E-013   4.5906E-006   1.0000E+000
    1.349125E+03   1.0000E-099   8.6371E-013   4.5303E-006   1.0000E+000
    1.432083E+03   1.0000E-099   6.0327E-013   3.9207E-006   1.0000E+000
    1.520141E+03   1.0000E-099   3.8962E-013   3.2897E-006   1.0000E+000
    1.613615E+03   1.0000E-099   2.9102E-013   2.9127E-006   1.0000E+000
    1.712836E+03   1.0000E-099   2.3379E-013   2.6647E-006   1.0000E+000
    1.818158E+03   1.0000E-099   1.7866E-013   2.3978E-006   1.0000E+000
    1.929957E+03   1.0000E-099   1.2946E-013   2.1048E-006   1.0000E+000
    2.048630E+03   1.0000E-099   9.6156E-014   1.8698E-006   1.0000E+000
    2.174600E+03   1.0000E-099   6.5913E-014   1.6035E-006   1.0000E+000
    2.308316E+03   1.0000E-099   4.3832E-014   1.3475E-006   1.0000E+000
    2.450254E+03   1.0000E-099   2.8137E-014   1.1166E-006   1.0000E+000
    2.600920E+03   1.0000E-099   1.8922E-014   9.4561E-007   1.0000E+000
    2.760850E+03   1.0000E-099   1.4359E-014   8.4102E-007   1.0000E+000
    2.930615E+03   1.0000E-099   1.1369E-014   7.5832E-007   1.0000E+000
    3.110818E+03   1.0000E-099   9.0376E-015   6.7793E-007   1.0000E+000
    3.302102E+03   1.0000E-099   7.4943E-015   6.1223E-007   1.0000E+000
    3.505148E+03   1.0000E-099   6.4429E-015   5.5864E-007   1.0000E+000
    3.720679E+03   1.0000E-099   5.5032E-015   5.0500E-007   1.0000E+000
    3.949463E+03   1.0000E-099   4.4685E-015   4.4199E-007   1.0000E+000
    4.192316E+03   1.0000E-099   4.1946E-015   4.1721E-007   1.0000E+000
    4.450101E+03   1.0000E-099   4.3849E-015   4.2442E-007   1.0000E+000
    4.723737E+03   1.0000E-099   3.8290E-015   4.0112E-007   1.0000E+000
    5.014199E+03   1.0000E-099   2.7436E-015   3.4137E-007   1.0000E+000
    5.322522E+03   1.0000E-099   2.2288E-015   3.0885E-007   1.0000E+000
    5.649804E+03   1.0000E-099   2.0382E-015   2.9526E-007   1.0000E+000
    5.997210E+03   1.0000E-099   1.8861E-015   2.8212E-007   1.0000E+000
    6.365978E+03   1.0000E-099   1.7446E-015   2.6858E-007   1.0000E+000
    6.757421E+03   1.0000E-099   1.6752E-015   2.6089E-007   1.0000E+000
    7.172935E+03   1.0000E-099   1.5992E-015   2.5184E-007   1.0000E+000
    7.613998E+03   1.0000E-099   1.4515E-015   2.3492E-007   1.0000E+000
    8.082182E+03   1.0000E-099   1.3749E-015   2.2384E-007   1.0000E+000
    8.579155E+03   1.0000E-099   1.3949E-015   2.2088E-007   1.0000E+000
    9.106686E+03   1.0000E-099   1.4490E-015   2.1800E-007   1.0000E+000
    9.666656E+03   1.0000E-099   1.6759E-015   2.2382E-007   1.0000E+000
    1.026106E+04   1.0000E-099   2.3600E-015   2.5094E-007   1.0000E+000
    1.089201E+04   1.0000E-099   4.2291E-015   3.1181E-007   1.0000E+000
    1.156176E+04   1.0000E-099   1.0728E-014   4.6476E-007   1.0000E+000
    1.227269E+04   1.0000E-099   3.9380E-014   9.0419E-007   1.0000E+000
    1.302734E+04   1.0000E-099   1.5580E-013   2.0436E-006   1.0000E+000
    1.382861E+04   1.0000E-099   6.6089E-013   5.2538E-006   9.9999E-001
    1.462901E+04   1.0000E-099   8.3344E-012   2.9248E-005   9.9997E-001
    1.525056E+04   1.0000E-099   6.4111E-010   5.7062E-004   9.9943E-001
    1.570852E+04   1.0000E-099   1.4530E-007   1.9910E-002   9.8009E-001
    1.603933E+04   1.0000E-099   1.4321E-005   3.4081E-001   6.5917E-001
    1.626493E+04   1.0000E-099   2.9231E-004   9.5805E-001   4.1654E-002
    1.642900E+04   1.0000E-099   2.0645E-003   9.9694E-001   9.9858E-004
    1.655927E+04   1.0000E-099   1.1353E-002   9.8862E-001   2.8277E-005
    1.666808E+04   1.0000E-099   5.2352E-002   9.4765E-001   1.0122E-006
    1.676387E+04   1.0000E-099   1.7175E-001   8.2825E-001   5.1771E-008
    1.685344E+04   1.0000E-099   3.5558E-001   6.4442E-001   4.3031E-009
    1.694048E+04   1.0000E-099   5.3252E-001   4.6748E-001   5.6609E-010
    1.702877E+04   1.0000E-099   6.7404E-001   3.2596E-001   9.8073E-011
    1.712364E+04   1.0000E-099   7.8048E-001   2.1952E-001   1.9114E-011
    1.723140E+04   1.0000E-099   8.5901E-001   1.4099E-001   3.6797E-012
    1.736849E+04   1.0000E-099   9.1819E-001   8.1809E-002   5.5915E-013
    1.764428E+04   1.0000E-099   9.7033E-001   2.9669E-002   2.0423E-014
    1.825185E+04   1.0000E-099   9.9610E-001   3.9049E-003   3.9252E-017
    1.898577E+04   1.0000E-099   9.9947E-001   5.2952E-004   8.3317E-020
