#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    6.155592E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6762E-028
    6.285824E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7012E-028
    6.411280E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7150E-028
    6.529403E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7211E-028
    6.638404E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7197E-028
    6.736672E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7059E-028
    6.821143E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6902E-028
    6.893337E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6691E-028
    6.953439E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6369E-028
    6.977430E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5699E-028
    6.989457E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4500E-028
    6.995478E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2617E-028
    6.998490E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.0534E-028
    6.999922E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.4879E-029
    6.999997E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.2498E-029
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    8.772128E+02   1.0000E-099   1.0000E-099   8.5052E-007   1.0000E+000
    8.833155E+02   1.0000E-099   1.0000E-099   8.5052E-007   1.0000E+000
    9.018795E+02   1.0000E-099   1.0000E-099   8.5053E-007   1.0000E+000
    9.401862E+02   1.0000E-099   1.0000E-099   8.5054E-007   1.0000E+000
    1.001110E+03   1.0000E-099   1.0000E-099   8.5054E-007   1.0000E+000
    1.062646E+03   1.0000E-099   1.0000E-099   8.5036E-007   1.0000E+000
    1.127988E+03   1.0000E-099   1.0000E-099   8.4926E-007   1.0000E+000
    1.197348E+03   1.0000E-099   1.0000E-099   8.4684E-007   1.0000E+000
    1.270973E+03   1.0000E-099   1.0000E-099   8.4191E-007   1.0000E+000
    1.349125E+03   1.0000E-099   1.0000E-099   7.9559E-007   1.0000E+000
    1.432083E+03   1.0000E-099   1.0000E-099   5.2027E-007   1.0000E+000
    1.520141E+03   1.0000E-099   1.0000E-099   3.2156E-007   1.0000E+000
    1.613615E+03   1.0000E-099   1.0000E-099   2.4310E-007   1.0000E+000
    1.712836E+03   1.0000E-099   1.0000E-099   1.9565E-007   1.0000E+000
    1.818158E+03   1.0000E-099   1.0000E-099   1.4799E-007   1.0000E+000
    1.929957E+03   1.0000E-099   1.0000E-099   1.0887E-007   1.0000E+000
    2.048630E+03   1.0000E-099   1.0000E-099   8.1776E-008   1.0000E+000
    2.174600E+03   1.0000E-099   1.0000E-099   5.8124E-008   1.0000E+000
    2.308316E+03   1.0000E-099   1.0000E-099   4.1811E-008   1.0000E+000
    2.450254E+03   1.0000E-099   1.0000E-099   2.9235E-008   1.0000E+000
    2.600920E+03   1.0000E-099   1.0000E-099   2.1129E-008   1.0000E+000
    2.760850E+03   1.0000E-099   1.0000E-099   1.6997E-008   1.0000E+000
    2.930615E+03   1.0000E-099   1.0000E-099   1.4387E-008   1.0000E+000
    3.110818E+03   1.0000E-099   1.0000E-099   1.2698E-008   1.0000E+000
    3.302102E+03   1.0000E-099   1.0000E-099   1.1932E-008   1.0000E+000
    3.505148E+03   1.0000E-099   1.0000E-099   1.1759E-008   1.0000E+000
    3.720679E+03   1.0000E-099   1.0000E-099   1.1839E-008   1.0000E+000
    3.949463E+03   1.0000E-099   1.0000E-099   1.1971E-008   1.0000E+000
    4.192316E+03   1.0000E-099   1.0000E-099   1.2891E-008   1.0000E+000
    4.450101E+03   1.0000E-099   1.0000E-099   1.3458E-008   1.0000E+000
    4.723737E+03   1.0000E-099   1.0000E-099   1.2005E-008   1.0000E+000
    5.014199E+03   1.0000E-099   1.0000E-099   9.9440E-009   1.0000E+000
    5.322522E+03   1.0000E-099   1.0000E-099   8.8278E-009   1.0000E+000
    5.649804E+03   1.0000E-099   1.0000E-099   8.4536E-009   1.0000E+000
    5.997210E+03   1.0000E-099   1.0000E-099   8.3595E-009   1.0000E+000
    6.365978E+03   1.0000E-099   1.0000E-099   8.3828E-009   1.0000E+000
    6.757421E+03   1.0000E-099   1.0000E-099   8.5176E-009   1.0000E+000
    7.172935E+03   1.0000E-099   1.0000E-099   8.7556E-009   1.0000E+000
    7.613998E+03   1.0000E-099   1.0000E-099   9.1239E-009   1.0000E+000
    8.082182E+03   1.0000E-099   1.0000E-099   9.7429E-009   1.0000E+000
    8.579155E+03   1.0000E-099   1.0000E-099   1.0761E-008   1.0000E+000
    9.106686E+03   1.0000E-099   1.0000E-099   1.2742E-008   1.0000E+000
    9.666656E+03   1.0000E-099   1.0000E-099   1.7274E-008   1.0000E+000
    1.026106E+04   1.0000E-099   1.0000E-099   2.8161E-008   1.0000E+000
    1.089201E+04   1.0000E-099   1.0000E-099   6.3509E-008   1.0000E+000
    1.156176E+04   1.0000E-099   1.0000E-099   2.3055E-007   1.0000E+000
    1.227269E+04   1.0000E-099   1.0000E-099   1.4367E-006   1.0000E+000
    1.302734E+04   1.0000E-099   1.0000E-099   9.4599E-006   9.9999E-001
    1.382861E+04   1.0000E-099   1.0000E-099   7.0659E-005   9.9993E-001
    1.462901E+04   1.0000E-099   1.0000E-099   2.0209E-003   9.9798E-001
    1.525056E+04   1.0000E-099   1.0000E-099   3.4902E-001   6.5098E-001
    1.570852E+04   1.0000E-099   1.0000E-099   9.9668E-001   3.3161E-003
    1.603933E+04   1.0000E-099   1.0000E-099   9.9999E-001   1.1344E-005
    1.626493E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2462E-008
    1.642900E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2692E-011
    1.655927E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6093E-014
    1.666808E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.3149E-017
