#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           na0           na1
    1.493377E+03   3.9136E-006   1.0000E+000
    1.585205E+03   3.6043E-006   1.0000E+000
    1.682679E+03   3.3805E-006   1.0000E+000
    1.786147E+03   3.1665E-006   1.0000E+000
    1.895977E+03   2.9162E-006   1.0000E+000
    2.012561E+03   2.6830E-006   1.0000E+000
    2.136313E+03   2.4296E-006   1.0000E+000
    2.267674E+03   2.1644E-006   1.0000E+000
    2.407114E+03   1.9027E-006   1.0000E+000
    2.555127E+03   1.6831E-006   1.0000E+000
    2.712241E+03   1.5353E-006   1.0000E+000
    2.879017E+03   1.4276E-006   1.0000E+000
    3.056048E+03   1.3330E-006   1.0000E+000
    3.243964E+03   1.2596E-006   1.0000E+000
    3.443435E+03   1.2063E-006   1.0000E+000
    3.655171E+03   1.1626E-006   1.0000E+000
    3.879927E+03   1.1065E-006   1.0000E+000
    4.118504E+03   1.0760E-006   1.0000E+000
    4.371751E+03   1.1057E-006   1.0000E+000
    4.640569E+03   1.0795E-006   1.0000E+000
    4.925917E+03   9.8711E-007   1.0000E+000
    5.228812E+03   9.0255E-007   1.0000E+000
    5.550331E+03   8.6317E-007   1.0000E+000
    5.891620E+03   8.3780E-007   1.0000E+000
    6.253896E+03   8.1435E-007   1.0000E+000
    6.638447E+03   8.0150E-007   1.0000E+000
    7.046645E+03   7.9297E-007   1.0000E+000
    7.479943E+03   7.7195E-007   1.0000E+000
    7.939884E+03   7.5595E-007   1.0000E+000
    8.428107E+03   7.5860E-007   1.0000E+000
    8.946351E+03   7.6631E-007   1.0000E+000
    9.496461E+03   7.8570E-007   1.0000E+000
    1.008040E+04   8.4025E-007   1.0000E+000
    1.070024E+04   9.2923E-007   1.0000E+000
    1.135820E+04   1.0601E-006   1.0000E+000
    1.205661E+04   1.2252E-006   1.0000E+000
    1.279797E+04   1.4115E-006   1.0000E+000
    1.358477E+04   1.5704E-006   1.0000E+000
    1.437244E+04   1.7730E-006   1.0000E+000
    1.500937E+04   2.1413E-006   1.0000E+000
    1.552878E+04   3.0791E-006   1.0000E+000
    1.591273E+04   4.7941E-006   1.0000E+000
    1.617011E+04   6.8839E-006   9.9999E-001
