#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    1.302734E+04   1.0000E-099   9.0673E-014   1.6079E-006   1.0000E+000
    1.382861E+04   1.0000E-099   4.5900E-013   4.4628E-006   1.0000E+000
    1.462901E+04   1.0000E-099   7.6330E-012   2.8269E-005   9.9997E-001
    1.525056E+04   1.0000E-099   9.0427E-010   6.9866E-004   9.9930E-001
    1.570852E+04   1.0000E-099   3.1585E-007   3.1796E-002   9.6820E-001
    1.603933E+04   1.0000E-099   3.3927E-005   5.2030E-001   4.7966E-001
    1.626493E+04   1.0000E-099   5.4250E-004   9.8484E-001   1.4613E-002
    1.642900E+04   1.0000E-099   4.3232E-003   9.9544E-001   2.3858E-004
    1.655927E+04   1.0000E-099   2.7096E-002   9.7290E-001   4.6306E-006
    1.666808E+04   1.0000E-099   1.3271E-001   8.6729E-001   1.0903E-007
    1.676387E+04   1.0000E-099   3.9209E-001   6.0791E-001   3.2791E-009
    1.685344E+04   1.0000E-099   6.5375E-001   3.4625E-001   1.5376E-010
    1.694048E+04   1.0000E-099   8.0743E-001   1.9257E-001   1.2624E-011
    1.702877E+04   1.0000E-099   8.8966E-001   1.1034E-001   1.5189E-012
    1.712364E+04   1.0000E-099   9.3575E-001   6.4247E-002   2.2061E-013
    1.723140E+04   1.0000E-099   9.6317E-001   3.6832E-002   3.2877E-014
    1.736849E+04   1.0000E-099   9.8065E-001   1.9351E-002   3.8683E-015
    1.764428E+04   1.0000E-099   9.9382E-001   6.1816E-003   9.5523E-017
    1.825185E+04   1.0000E-099   9.9931E-001   6.8879E-004   9.7470E-020
    1.898577E+04   1.0000E-099   9.9992E-001   8.0749E-005   1.1435E-022
