#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    9.401862E+02   6.7661E-024   1.4575E-016   5.6389E-010   1.6436E-004   9.9984E-001
    1.001110E+03   6.7659E-024   1.4575E-016   5.6388E-010   1.6436E-004   9.9984E-001
    1.062646E+03   6.7615E-024   1.4566E-016   5.6365E-010   1.6433E-004   9.9984E-001
    1.127988E+03   6.7356E-024   1.4514E-016   5.6219E-010   1.6418E-004   9.9984E-001
    1.197348E+03   6.6873E-024   1.4404E-016   5.5899E-010   1.6387E-004   9.9984E-001
    1.270973E+03   6.5948E-024   1.4184E-016   5.5250E-010   1.6326E-004   9.9984E-001
    1.349125E+03   5.5428E-024   1.2111E-016   4.9354E-010   1.5678E-004   9.9984E-001
    1.432083E+03   1.4188E-024   3.6593E-017   2.1395E-010   1.1803E-004   9.9988E-001
    1.520141E+03   2.9682E-025   9.4204E-018   8.4801E-011   8.9873E-005   9.9991E-001
    1.613615E+03   1.1653E-025   4.2607E-018   4.9829E-011   7.7581E-005   9.9992E-001
    1.712836E+03   5.6678E-026   2.3057E-018   3.3142E-011   6.9909E-005   9.9993E-001
    1.818158E+03   2.2640E-026   1.0506E-018   1.9767E-011   6.1952E-005   9.9994E-001
    1.929957E+03   8.1042E-027   4.4101E-019   1.1228E-011   5.4306E-005   9.9995E-001
    2.048630E+03   3.1172E-027   1.9670E-019   6.6682E-012   4.8390E-005   9.9995E-001
    2.174600E+03   9.8161E-028   7.4850E-020   3.5879E-012   4.2118E-005   9.9996E-001
    2.308316E+03   3.1242E-028   2.9251E-020   1.9641E-012   3.6454E-005   9.9996E-001
