#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
16691.99 2.65e-07 1.87e-01 8.13e-01 3.32e-09 3.06e-35 7.99e-37 1.31e-37 
16788.59 3.58e-07 2.37e-01 7.63e-01 1.67e-09 1.07e-35 9.94e-37 1.65e-37 
16888.37 4.95e-07 3.02e-01 6.98e-01 8.87e-10 4.68e-36 1.24e-36 2.07e-37 
16998.79 9.40e-07 4.28e-01 5.72e-01 3.34e-10 6.00e-36 1.59e-36 2.69e-37 
17146.37 1.20e-06 5.23e-01 4.77e-01 7.05e-11 8.07e-36 2.13e-36 3.64e-37 
17415.23 2.32e-06 7.39e-01 2.61e-01 5.85e-12 1.24e-35 3.27e-36 5.65e-37 
17888.12 4.93e-06 9.21e-01 7.87e-02 9.54e-14 2.52e-35 6.62e-36 1.17e-36 
18532.37 9.68e-06 9.87e-01 1.27e-02 2.93e-16 4.56e-35 1.19e-35 2.15e-36 
19260.76 1.63e-05 9.97e-01 2.80e-03 1.39e-18 7.12e-35 1.84e-35 3.42e-36 
20034.10 1.82e-05 9.99e-01 5.44e-04 2.46e-21 9.90e-35 2.55e-35 4.83e-36 
20838.00 2.94e-05 1.00e+00 1.24e-04 2.52e-23 1.17e-34 2.99e-35 5.77e-36 
21647.97 3.66e-05 1.00e+00 3.80e-05 6.21e-25 1.19e-34 3.04e-35 5.92e-36 
22447.94 4.89e-05 1.00e+00 1.74e-05 3.19e-26 1.37e-34 3.49e-35 6.88e-36 
23245.88 9.92e-05 1.00e+00 5.03e-06 1.15e-27 1.71e-34 4.32e-35 8.64e-36 
24052.47 1.11e-04 1.00e+00 2.31e-06 1.44e-27 2.09e-34 5.28e-35 1.07e-35 
24867.72 8.20e-05 1.00e+00 1.13e-06 2.35e-27 2.43e-34 6.13e-35 1.25e-35 
25698.86 1.83e-04 1.00e+00 4.05e-07 2.80e-27 2.74e-34 6.88e-35 1.42e-35 
26587.16 2.02e-04 1.00e+00 1.73e-07 4.21e-27 3.11e-34 7.78e-35 1.62e-35 
27637.54 2.18e-04 1.00e+00 7.70e-08 7.60e-27 3.65e-34 9.12e-35 1.92e-35 
28986.97 1.78e-04 1.00e+00 2.83e-08 1.31e-26 4.58e-34 1.14e-34 2.44e-35 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 5.74e-18 7.49e-11 6.96e-05 5.77e-01 4.22e-01 1.03e-03 3.41e-09 
999.11 3.24e-19 5.06e-12 8.05e-06 2.12e-01 7.74e-01 1.39e-02 3.37e-07 
1267.34 1.51e-20 3.03e-13 7.43e-07 4.84e-02 8.23e-01 1.28e-01 4.33e-05 
1514.05 1.70e-21 3.78e-14 1.21e-07 1.40e-02 6.15e-01 3.70e-01 6.55e-04 
1808.80 1.68e-22 4.39e-15 1.84e-08 3.52e-03 3.44e-01 6.47e-01 5.39e-03 
1919.29 2.09e-23 5.89e-16 2.82e-09 7.91e-04 1.72e-01 8.08e-01 1.91e-02 
2160.92 1.40e-24 4.75e-17 3.26e-10 1.53e-04 8.38e-02 8.67e-01 4.86e-02 
2292.92 1.45e-25 5.33e-18 4.22e-11 2.85e-05 3.90e-02 8.27e-01 1.34e-01 
2432.98 4.80e-26 2.00e-18 1.98e-11 1.64e-05 2.84e-02 7.99e-01 1.72e-01 
2581.60 1.74e-26 8.21e-19 1.05e-11 1.04e-05 2.16e-02 7.63e-01 2.15e-01 
2739.29 8.55e-27 4.37e-19 6.35e-12 7.20e-06 1.75e-02 7.32e-01 2.51e-01 
2906.62 5.58e-27 3.04e-19 4.91e-12 6.11e-06 1.61e-02 7.25e-01 2.59e-01 
