#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
15646.99 3.44e-10 1.85e-03 9.98e-01 3.08e-05 4.40e-16 
15960.30 3.30e-09 7.59e-03 9.92e-01 2.58e-06 1.73e-18 
16187.41 1.78e-08 2.24e-02 9.78e-01 3.28e-07 1.40e-20 
16354.17 7.66e-08 5.95e-02 9.40e-01 4.05e-08 9.52e-23 
16484.18 1.70e-07 1.00e-01 9.00e-01 1.06e-08 8.04e-24 
16593.12 2.93e-07 1.59e-01 8.41e-01 3.23e-09 2.73e-25 
16691.99 3.50e-07 1.83e-01 8.17e-01 1.86e-09 7.68e-26 
16788.59 5.61e-07 2.40e-01 7.60e-01 5.76e-10 4.96e-27 
16888.37 9.21e-07 3.51e-01 6.49e-01 2.34e-10 6.84e-28 
16998.79 1.47e-06 4.77e-01 5.23e-01 4.49e-11 1.92e-29 
17146.37 2.55e-06 6.40e-01 3.60e-01 7.66e-12 5.10e-31 
17415.23 3.98e-06 8.14e-01 1.86e-01 6.33e-13 1.18e-32 
17888.12 7.69e-06 9.52e-01 4.82e-02 6.00e-15 1.48e-32 
18532.37 1.79e-05 9.93e-01 6.98e-03 1.03e-17 2.10e-32 
19260.76 3.51e-05 9.99e-01 1.32e-03 2.65e-20 2.33e-32 
20034.10 1.64e-05 1.00e+00 3.01e-04 2.54e-22 2.54e-31 
20838.00 8.70e-05 1.00e+00 7.03e-05 9.77e-25 4.26e-31 
21647.97 1.09e-04 1.00e+00 2.68e-05 3.13e-26 8.56e-31 
22447.94 1.10e-04 1.00e+00 9.05e-06 9.18e-28 9.77e-31 
23245.88 3.55e-04 1.00e+00 3.06e-06 1.35e-28 1.67e-30 
24052.47 5.68e-05 1.00e+00 1.07e-06 1.58e-28 1.56e-30 
24867.72 8.01e-05 1.00e+00 6.10e-07 2.93e-28 1.86e-30 
25698.86 8.92e-04 9.99e-01 1.36e-07 4.06e-28 3.75e-30 
26587.16 1.20e-03 9.99e-01 9.68e-08 1.63e-27 1.11e-29 
27637.54 1.24e-03 9.99e-01 3.26e-08 3.27e-27 1.63e-29 
28986.97 1.29e-03 9.99e-01 7.94e-09 9.05e-27 4.56e-29 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
440.10 5.95e-23 7.92e-16 4.70e-09 9.02e-04 9.99e-01 
999.11 3.15e-24 4.34e-17 3.78e-10 2.01e-04 1.00e+00 
1267.34 1.83e-25 2.93e-18 3.75e-11 5.01e-05 1.00e+00 
1514.05 3.31e-26 5.67e-19 8.83e-12 2.04e-05 1.00e+00 
1808.80 7.37e-27 1.42e-19 2.69e-12 9.82e-06 1.00e+00 
1919.29 2.79e-27 5.64e-20 1.18e-12 5.78e-06 1.00e+00 
2160.92 1.30e-27 2.58e-20 5.66e-13 3.44e-06 1.00e+00 
2292.92 3.57e-28 8.43e-21 2.12e-13 1.84e-06 1.00e+00 
2432.98 2.63e-28 6.27e-21 1.68e-13 1.57e-06 1.00e+00 
2581.60 1.68e-28 4.22e-21 1.23e-13 1.30e-06 1.00e+00 
2739.29 1.45e-28 3.61e-21 1.07e-13 1.18e-06 1.00e+00 
2906.62 1.13e-28 2.95e-21 9.26e-14 1.08e-06 1.00e+00 
3084.17 8.67e-29 2.39e-21 8.11e-14 1.02e-06 1.00e+00 
3272.56 6.54e-29 1.94e-21 7.16e-14 9.62e-07 1.00e+00 
3472.46 5.74e-29 1.80e-21 7.11e-14 9.81e-07 1.00e+00 
3684.57 5.30e-29 1.76e-21 7.35e-14 1.02e-06 1.00e+00 
3909.64 4.05e-29 1.50e-21 7.05e-14 1.04e-06 1.00e+00 
