#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    4.112379E+04   1.0000E-099   1.0000E+000   2.0990E-007   1.4586E-022
    4.218343E+04   1.0000E-099   1.0000E+000   2.0363E-007   1.2801E-022
    4.320753E+04   1.0000E-099   1.0000E+000   1.9918E-007   1.1329E-022
    4.423621E+04   1.0000E-099   1.0000E+000   1.8830E-007   9.6222E-023
    4.529664E+04   1.0000E-099   1.0000E+000   1.6630E-007   7.6106E-023
    4.639486E+04   1.0000E-099   1.0000E+000   1.3538E-007   5.5631E-023
    4.752261E+04   1.0000E-099   1.0000E+000   1.0506E-007   3.9393E-023
    4.867617E+04   1.0000E-099   1.0000E+000   7.8491E-008   2.7255E-023
    4.985675E+04   1.0000E-099   1.0000E+000   5.6868E-008   1.8476E-023
    5.106564E+04   1.0000E-099   1.0000E+000   4.0474E-008   1.2398E-023
    5.230378E+04   1.0000E-099   1.0000E+000   2.8761E-008   8.3749E-024
    5.357136E+04   1.0000E-099   1.0000E+000   2.0772E-008   5.8136E-024
    5.486695E+04   1.0000E-099   1.0000E+000   1.5502E-008   4.2283E-024
    5.618695E+04   1.0000E-099   1.0000E+000   1.2093E-008   3.2673E-024
    5.752536E+04   1.0000E-099   1.0000E+000   9.9010E-009   2.6939E-024
    5.887450E+04   1.0000E-099   1.0000E+000   8.4837E-009   2.3531E-024
    6.022291E+04   1.0000E-099   1.0000E+000   7.5338E-009   2.1380E-024
    6.155592E+04   1.0000E-099   1.0000E+000   6.8585E-009   1.9844E-024
    6.285824E+04   1.0000E-099   1.0000E+000   6.3524E-009   1.8630E-024
    6.411280E+04   1.0000E-099   1.0000E+000   5.9531E-009   1.7590E-024
    6.529403E+04   1.0000E-099   1.0000E+000   5.6265E-009   1.6684E-024
    6.638404E+04   1.0000E-099   1.0000E+000   5.3586E-009   1.5884E-024
    6.736672E+04   1.0000E-099   1.0000E+000   5.1316E-009   1.5105E-024
    6.821143E+04   1.0000E-099   1.0000E+000   4.9344E-009   1.4410E-024
    6.893337E+04   1.0000E-099   1.0000E+000   4.7678E-009   1.3769E-024
    6.953439E+04   1.0000E-099   1.0000E+000   4.5235E-009   1.2813E-024
    6.977430E+04   1.0000E-099   1.0000E+000   4.3181E-009   1.1735E-024
    6.989457E+04   1.0000E-099   1.0000E+000   4.0487E-009   1.0315E-024
    6.995478E+04   1.0000E-099   1.0000E+000   3.5645E-009   8.0483E-025
    6.998490E+04   1.0000E-099   1.0000E+000   2.9842E-009   5.5200E-025
    6.999922E+04   1.0000E-099   1.0000E+000   2.3829E-009   3.3688E-025
    6.999997E+04   1.0000E-099   1.0000E+000   2.2995E-009   3.0950E-025
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    8.772128E+02   1.0000E-099   4.7961E-013   7.6311E-006   9.9999E-001
    8.833155E+02   1.0000E-099   4.7961E-013   7.6311E-006   9.9999E-001
    9.018795E+02   1.0000E-099   4.7961E-013   7.6311E-006   9.9999E-001
    9.401862E+02   1.0000E-099   4.7962E-013   7.6312E-006   9.9999E-001
    1.001110E+03   1.0000E-099   4.7962E-013   7.6311E-006   9.9999E-001
    1.062646E+03   1.0000E-099   4.7954E-013   7.6309E-006   9.9999E-001
    1.127988E+03   1.0000E-099   4.7920E-013   7.6310E-006   9.9999E-001
    1.197348E+03   1.0000E-099   4.7927E-013   7.6404E-006   9.9999E-001
    1.270973E+03   1.0000E-099   4.7994E-013   7.6658E-006   9.9999E-001
    1.349125E+03   1.0000E-099   4.6109E-013   7.6244E-006   9.9999E-001
    1.432083E+03   1.0000E-099   3.1460E-013   6.9269E-006   9.9999E-001
    1.520141E+03   1.0000E-099   1.9827E-013   6.1085E-006   9.9999E-001
    1.613615E+03   1.0000E-099   1.4629E-013   5.5419E-006   9.9999E-001
    1.712836E+03   1.0000E-099   1.1638E-013   5.1679E-006   9.9999E-001
    1.818158E+03   1.0000E-099   8.7790E-014   4.7678E-006   1.0000E+000
    1.929957E+03   1.0000E-099   6.2796E-014   4.2886E-006   1.0000E+000
    2.048630E+03   1.0000E-099   4.6080E-014   3.8953E-006   1.0000E+000
    2.174600E+03   1.0000E-099   3.1171E-014   3.4209E-006   1.0000E+000
    2.308316E+03   1.0000E-099   2.0506E-014   2.9296E-006   1.0000E+000
