#NTIMES: 49
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1919.29 3.7800e-04 8.3398e-01 1.6179e-01 3.8474e-03
2581.60 2.8686e-04 7.8856e-01 2.0495e-01 6.1982e-03
3084.17 2.3677e-04 7.2072e-01 2.6855e-01 1.0489e-02
3472.46 1.4093e-04 5.8564e-01 3.9431e-01 1.9907e-02
3909.64 6.5369e-05 4.4169e-01 5.2402e-01 3.4220e-02
4148.46 6.6325e-05 4.4982e-01 5.1447e-01 3.5635e-02
4670.75 6.9829e-05 4.6587e-01 5.0041e-01 3.3651e-02
4956.05 3.6213e-05 3.4271e-01 6.0947e-01 4.7782e-02
5258.79 1.2613e-05 1.9102e-01 7.3635e-01 7.2622e-02
5580.02 3.2481e-06 7.7046e-02 8.2368e-01 9.9271e-02
5920.87 1.0637e-06 3.7105e-02 8.4035e-01 1.2254e-01
6282.54 5.1691e-07 2.4139e-02 8.3709e-01 1.3877e-01
6666.30 4.6805e-07 2.3806e-02 8.3204e-01 1.4415e-01
7073.50 4.1786e-07 2.2737e-02 8.3116e-01 1.4610e-01
7505.58 4.0908e-07 2.3914e-02 8.2820e-01 1.4789e-01
7964.05 5.8894e-07 2.9456e-02 8.2267e-01 1.4787e-01
8450.53 1.6942e-06 5.8006e-02 8.1349e-01 1.2851e-01
8966.72 5.1642e-06 1.2385e-01 7.6978e-01 1.0637e-01
9514.44 1.4262e-05 2.2748e-01 6.8793e-01 8.4568e-02
10095.62 2.9547e-05 3.2740e-01 6.0812e-01 6.4459e-02
10712.30 4.6348e-05 4.1342e-01 5.3566e-01 5.0868e-02
11366.65 6.7922e-05 4.7377e-01 4.8293e-01 4.3232e-02
12061.10 6.4270e-05 4.9594e-01 4.6322e-01 4.0769e-02
12793.43 5.9552e-05 5.0392e-01 4.5538e-01 4.0646e-02
13528.61 4.9001e-05 5.0907e-01 4.5013e-01 4.0750e-02
14194.74 3.6234e-05 4.9282e-01 4.6440e-01 4.2741e-02
14757.77 2.7798e-05 4.4443e-01 5.0470e-01 5.0844e-02
15240.48 2.6743e-05 4.4918e-01 5.0878e-01 4.2019e-02
15646.99 3.7324e-05 4.7903e-01 4.9180e-01 2.9132e-02
15960.30 6.7863e-05 5.5112e-01 4.3321e-01 1.5601e-02
16187.41 7.5474e-05 5.3946e-01 4.4636e-01 1.4098e-02
16354.17 6.7555e-05 5.5965e-01 4.2750e-01 1.2778e-02
16484.18 3.8278e-05 3.6280e-01 6.1776e-01 1.9395e-02
16593.12 3.6568e-05 4.4359e-01 5.3760e-01 1.8776e-02
16691.99 1.6922e-05 2.6758e-01 7.0376e-01 2.8644e-02
16788.59 2.6783e-05 2.9849e-01 6.7475e-01 2.6728e-02
16888.37 2.1561e-05 3.1989e-01 6.5132e-01 2.8763e-02
16998.79 1.3751e-05 2.5100e-01 7.1511e-01 3.3874e-02
17146.37 1.2930e-05 1.9590e-01 7.6972e-01 3.4364e-02
17415.23 1.2405e-05 2.0350e-01 7.5710e-01 3.9390e-02
17888.12 2.7397e-06 6.3789e-02 8.7723e-01 5.8981e-02
18532.37 2.9914e-06 7.3913e-02 8.5902e-01 6.7062e-02
19260.76 2.5096e-06 6.3923e-02 8.5838e-01 7.7696e-02
20034.10 1.0480e-06 3.5004e-02 8.7275e-01 9.2248e-02
20838.00 1.3161e-06 5.0935e-02 8.3079e-01 1.1828e-01
21647.97 1.7210e-06 7.5273e-02 7.9431e-01 1.3042e-01
22447.94 2.3207e-06 8.8742e-02 7.5677e-01 1.5449e-01
23245.88 4.1970e-06 1.9382e-01 6.2372e-01 1.8246e-01
24052.47 2.2673e-07 1.2153e-02 7.5548e-01 2.3237e-01
24867.72 5.2760e-07 3.4077e-02 7.1741e-01 2.4851e-01
25698.86 7.8352e-07 5.5072e-02 6.6608e-01 2.7885e-01
26587.16 1.8965e-06 1.3520e-01 5.7440e-01 2.9040e-01
27637.54 8.7925e-07 7.4041e-02 4.8491e-01 4.4105e-01
28986.97 7.7087e-07 9.0419e-02 5.3299e-01 3.7660e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1060.83 3.9851e-04 8.2264e-01 1.7256e-01 4.3941e-03
1919.29 3.5833e-04 8.3564e-01 1.6023e-01 3.7662e-03
2581.60 2.8481e-04 7.8972e-01 2.0385e-01 6.1467e-03
3084.17 2.3524e-04 7.2129e-01 2.6800e-01 1.0468e-02
3472.46 1.4845e-04 6.0443e-01 3.7669e-01 1.8732e-02
3909.64 7.6431e-05 4.4195e-01 5.2311e-01 3.4862e-02
4148.46 6.9201e-05 4.6649e-01 4.9859e-01 3.4849e-02
4670.75 6.8797e-05 4.7451e-01 4.9254e-01 3.2884e-02
4956.05 4.1653e-05 3.7417e-01 5.7881e-01 4.6977e-02
5258.79 1.5700e-05 2.0700e-01 7.2075e-01 7.2238e-02
5580.02 3.5077e-06 7.8228e-02 8.1984e-01 1.0193e-01
5920.87 1.0176e-06 3.5597e-02 8.4635e-01 1.1805e-01
6282.54 5.2279e-07 2.4837e-02 8.3523e-01 1.3994e-01
6666.30 4.8113e-07 2.3990e-02 8.3070e-01 1.4531e-01
7073.50 4.2642e-07 2.3217e-02 8.3332e-01 1.4346e-01
7505.58 4.1611e-07 2.2312e-02 8.2730e-01 1.5039e-01
7964.05 5.7463e-07 2.8187e-02 8.2259e-01 1.4923e-01
8450.53 1.5777e-06 5.6368e-02 8.1416e-01 1.2947e-01
8966.72 5.0348e-06 1.1859e-01 7.7457e-01 1.0683e-01
9514.44 1.3688e-05 2.2800e-01 6.8707e-01 8.4917e-02
10095.62 3.2934e-05 3.4823e-01 5.8981e-01 6.1935e-02
10712.30 4.8909e-05 4.1501e-01 5.3431e-01 5.0624e-02
11366.65 6.6016e-05 4.6663e-01 4.8910e-01 4.4202e-02
12061.10 6.9447e-05 4.9353e-01 4.6618e-01 4.0216e-02
12793.43 6.8293e-05 4.9840e-01 4.6133e-01 4.0199e-02
13528.61 4.6592e-05 5.1382e-01 4.4708e-01 3.9054e-02
14194.74 4.0949e-05 5.0632e-01 4.5129e-01 4.2342e-02
14757.77 3.0803e-05 4.7494e-01 4.7596e-01 4.9073e-02
15240.48 2.8092e-05 4.5657e-01 5.0291e-01 4.0499e-02
15646.99 4.7797e-05 4.8821e-01 4.8495e-01 2.6791e-02
15960.30 6.4274e-05 5.1639e-01 4.6624e-01 1.7303e-02
16187.41 7.2669e-05 5.9637e-01 3.9123e-01 1.2330e-02
16354.17 5.5654e-05 4.1252e-01 5.7166e-01 1.5762e-02
16484.18 4.7847e-05 3.8789e-01 5.9473e-01 1.7335e-02
16593.12 2.4116e-05 2.8035e-01 6.9760e-01 2.2023e-02
16691.99 2.4748e-05 2.4715e-01 7.2701e-01 2.5814e-02
16788.59 2.4483e-05 1.6870e-01 7.9831e-01 3.2966e-02
16888.37 2.6254e-05 3.9058e-01 5.8241e-01 2.6990e-02
16998.79 1.9856e-05 2.9815e-01 6.6993e-01 3.1897e-02
17146.37 3.0714e-05 3.9429e-01 5.7715e-01 2.8529e-02
17415.23 1.0141e-05 1.7773e-01 7.8057e-01 4.1692e-02
17888.12 5.2644e-06 1.3516e-01 8.0878e-01 5.6059e-02
18532.37 3.7816e-06 9.3870e-02 8.4036e-01 6.5771e-02
19260.76 2.1674e-06 5.6574e-02 8.6350e-01 7.9927e-02
20034.10 2.0679e-06 6.4059e-02 8.4518e-01 9.0762e-02
20838.00 2.0857e-06 6.6728e-02 8.2950e-01 1.0377e-01
21647.97 1.8937e-06 7.6196e-02 8.0170e-01 1.2210e-01
22447.94 3.2332e-06 1.1119e-01 7.3251e-01 1.5629e-01
23245.88 1.6995e-06 8.9092e-02 7.1028e-01 2.0063e-01
24052.47 1.4103e-06 7.7081e-02 7.0930e-01 2.1362e-01
24867.72 9.8250e-07 6.1605e-02 6.8355e-01 2.5484e-01
25698.86 1.2039e-06 7.4335e-02 6.3750e-01 2.8816e-01
26587.16 1.4229e-06 1.3075e-01 5.5917e-01 3.1008e-01
27637.54 1.2771e-06 1.0662e-01 5.4865e-01 3.4474e-01
28986.97 9.5601e-07 9.3382e-02 5.3741e-01 3.6921e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1060.83 4.4482e-04 8.2172e-01 1.7359e-01 4.2398e-03
1919.29 3.9831e-04 8.4255e-01 1.5358e-01 3.4755e-03
2581.60 2.7501e-04 7.8838e-01 2.0516e-01 6.1880e-03
3084.17 2.2225e-04 7.2339e-01 2.6606e-01 1.0322e-02
3472.46 1.4488e-04 6.0067e-01 3.7995e-01 1.9236e-02
3909.64 6.8980e-05 4.4383e-01 5.2030e-01 3.5807e-02
4148.46 7.2571e-05 4.5595e-01 5.0897e-01 3.5000e-02
4670.75 7.2977e-05 4.5390e-01 5.1148e-01 3.4547e-02
4956.05 4.6511e-05 3.9635e-01 5.6017e-01 4.3426e-02
5258.79 1.5915e-05 2.1580e-01 7.1558e-01 6.8604e-02
5580.02 3.4796e-06 8.2030e-02 8.1889e-01 9.9076e-02
5920.87 9.8083e-07 3.4134e-02 8.4552e-01 1.2035e-01
6282.54 5.0583e-07 2.3856e-02 8.3947e-01 1.3668e-01
6666.30 4.3622e-07 2.1478e-02 8.3145e-01 1.4707e-01
7073.50 4.6791e-07 2.4064e-02 8.3052e-01 1.4542e-01
7505.58 4.2980e-07 2.3575e-02 8.1878e-01 1.5764e-01
7964.05 6.5075e-07 3.1449e-02 8.1528e-01 1.5327e-01
8450.53 1.6240e-06 5.6620e-02 8.1246e-01 1.3092e-01
8966.72 5.0914e-06 1.2158e-01 7.6755e-01 1.1087e-01
9514.44 1.2995e-05 2.2218e-01 6.9153e-01 8.6273e-02
10095.62 3.2289e-05 3.3421e-01 6.0109e-01 6.4668e-02
10712.30 5.2433e-05 4.1924e-01 5.2983e-01 5.0877e-02
11366.65 6.7501e-05 4.7453e-01 4.8250e-01 4.2901e-02
12061.10 7.6257e-05 5.0128e-01 4.5822e-01 4.0420e-02
12793.43 6.3800e-05 4.8123e-01 4.7608e-01 4.2629e-02
13528.61 4.8328e-05 5.1088e-01 4.4722e-01 4.1854e-02
14194.74 3.9773e-05 5.0332e-01 4.5370e-01 4.2944e-02
14757.77 2.5846e-05 4.2548e-01 5.2333e-01 5.1163e-02
15240.48 3.5550e-05 4.6757e-01 4.8993e-01 4.2465e-02
15646.99 3.6997e-05 4.6079e-01 5.0982e-01 2.9355e-02
15960.30 8.0972e-05 5.5160e-01 4.3229e-01 1.6034e-02
16187.41 7.5504e-05 5.5376e-01 4.3267e-01 1.3486e-02
16354.17 5.1518e-05 4.5714e-01 5.2746e-01 1.5349e-02
16484.18 4.3770e-05 3.3308e-01 6.4718e-01 1.9704e-02
16593.12 2.6185e-05 3.9722e-01 5.8241e-01 2.0341e-02
16691.99 2.6275e-05 2.5864e-01 7.1584e-01 2.5488e-02
16788.59 1.0305e-05 1.9912e-01 7.7332e-01 2.7548e-02
16888.37 3.2453e-05 4.1951e-01 5.5524e-01 2.5213e-02
16998.79 1.1577e-05 1.9257e-01 7.7127e-01 3.6146e-02
17146.37 1.6141e-05 2.6868e-01 6.9640e-01 3.4900e-02
17415.23 8.7786e-06 1.4978e-01 8.0572e-01 4.4498e-02
17888.12 6.8392e-06 1.2485e-01 8.1283e-01 6.2313e-02
18532.37 2.8101e-06 7.3769e-02 8.6040e-01 6.5832e-02
19260.76 1.9833e-06 5.8116e-02 8.6803e-01 7.3850e-02
20034.10 1.0256e-06 3.7812e-02 8.6192e-01 1.0026e-01
20838.00 1.0476e-06 3.9337e-02 8.3867e-01 1.2199e-01
21647.97 2.0768e-06 7.7282e-02 7.9332e-01 1.2939e-01
22447.94 2.3955e-06 1.1178e-01 7.4330e-01 1.4493e-01
23245.88 2.8407e-06 1.3199e-01 6.8005e-01 1.8795e-01
24052.47 3.9772e-06 2.0374e-01 5.5558e-01 2.4067e-01
24867.72 1.6281e-06 1.2289e-01 6.4932e-01 2.2779e-01
25698.86 7.9351e-07 5.2014e-02 6.9952e-01 2.4847e-01
26587.16 8.1055e-07 5.8736e-02 6.5427e-01 2.8699e-01
27637.54 2.5954e-07 2.6617e-02 6.3111e-01 3.4228e-01
28986.97 6.6686e-07 6.1042e-02 4.3163e-01 5.0732e-01
#TIME: 216.97
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1060.83 4.5564e-04 8.2063e-01 1.7452e-01 4.3917e-03
1919.29 3.9981e-04 8.3816e-01 1.5778e-01 3.6653e-03
2581.60 2.8907e-04 7.9335e-01 2.0036e-01 6.0014e-03
3084.17 2.3289e-04 7.2834e-01 2.6122e-01 1.0208e-02
3472.46 1.4135e-04 5.9786e-01 3.8297e-01 1.9027e-02
