#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
14757.77 1.32e-13 2.38e-06 3.78e-01 6.22e-01 1.72e-19 2.91e-32 1.40e-32 
15240.48 1.32e-12 1.45e-05 8.19e-01 1.81e-01 1.15e-22 1.45e-32 9.27e-33 
15646.99 8.58e-12 5.05e-05 9.74e-01 2.57e-02 2.63e-25 9.17e-33 5.96e-33 
15960.30 6.19e-11 1.69e-04 9.94e-01 6.09e-03 1.16e-25 5.75e-33 3.79e-33 
16187.41 2.57e-10 4.12e-04 9.98e-01 1.60e-03 6.15e-26 5.01e-33 3.34e-33 
16354.17 6.98e-10 8.09e-04 9.99e-01 3.97e-04 1.66e-25 5.14e-33 3.47e-33 
16484.18 1.22e-09 1.22e-03 9.99e-01 4.15e-05 3.47e-26 6.08e-33 4.14e-33 
16593.12 1.71e-09 1.63e-03 9.98e-01 1.70e-05 4.51e-26 7.68e-33 5.27e-33 
16691.99 2.86e-09 2.41e-03 9.98e-01 6.36e-06 2.67e-26 9.39e-33 6.45e-33 
16788.59 3.89e-09 3.05e-03 9.97e-01 4.17e-06 4.17e-26 1.09e-32 7.53e-33 
16888.37 5.49e-09 3.90e-03 9.96e-01 1.77e-06 7.56e-26 1.24e-32 8.60e-33 
16998.79 7.93e-09 5.34e-03 9.95e-01 9.04e-07 5.40e-26 1.41e-32 9.85e-33 
17146.37 1.35e-08 7.76e-03 9.92e-01 3.94e-07 8.71e-26 1.58e-32 1.12e-32 
17415.23 3.43e-08 1.53e-02 9.85e-01 1.25e-07 1.78e-25 1.74e-32 1.24e-32 
17888.12 1.36e-07 4.26e-02 9.57e-01 1.03e-08 1.64e-25 1.71e-32 1.23e-32 
18532.37 7.95e-07 1.55e-01 8.45e-01 3.92e-10 1.32e-25 1.38e-32 1.01e-32 
19260.76 2.23e-06 2.91e-01 7.09e-01 8.05e-12 5.38e-26 1.16e-32 8.72e-33 
20034.10 4.62e-06 6.12e-01 3.88e-01 3.57e-13 1.02e-25 1.15e-32 8.73e-33 
20838.00 7.80e-06 8.15e-01 1.85e-01 1.29e-14 7.73e-26 1.26e-32 9.75e-33 
21647.97 1.00e-05 9.15e-01 8.45e-02 7.39e-16 6.23e-26 1.42e-32 1.10e-32 
22447.94 1.53e-05 9.54e-01 4.64e-02 6.94e-17 1.27e-25 1.71e-32 1.35e-32 
23245.88 1.52e-05 9.77e-01 2.32e-02 5.78e-18 1.05e-25 1.73e-32 1.37e-32 
24052.47 1.77e-05 9.86e-01 1.42e-02 1.05e-18 1.56e-25 1.24e-32 9.89e-33 
24867.72 1.81e-05 9.93e-01 7.42e-03 1.23e-19 9.67e-26 8.27e-33 6.65e-33 
25698.86 2.43e-05 9.96e-01 4.14e-03 1.15e-20 9.51e-26 6.27e-33 5.08e-33 
26587.16 2.54e-05 9.98e-01 2.43e-03 1.58e-21 1.19e-25 5.81e-33 4.74e-33 
27637.54 3.27e-05 9.99e-01 1.32e-03 1.64e-22 2.08e-25 6.92e-33 5.70e-33 
28986.97 3.56e-05 9.99e-01 6.55e-04 1.91e-23 2.37e-25 1.22e-32 1.01e-32 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
440.10 1.05e-19 1.17e-12 6.81e-06 8.19e-01 1.81e-01 3.40e-05 5.49e-12 
999.11 6.72e-21 9.37e-14 8.63e-07 2.46e-01 7.53e-01 1.21e-03 6.26e-09 
1267.34 1.61e-22 2.95e-15 4.02e-08 2.63e-02 9.51e-01 2.31e-02 1.62e-06 
1514.05 1.46e-23 3.03e-16 5.02e-09 5.35e-03 8.79e-01 1.16e-01 5.38e-05 
1808.80 1.29e-24 3.20e-17 6.63e-10 1.11e-03 6.34e-01 3.64e-01 1.01e-03 
1919.29 1.50e-25 4.04e-18 9.73e-11 2.42e-04 3.66e-01 6.28e-01 6.03e-03 
2160.92 1.02e-26 3.32e-19 1.00e-11 4.04e-05 1.72e-01 8.06e-01 2.25e-02 
2292.92 9.32e-28 3.26e-20 1.15e-12 7.40e-06 6.86e-02 8.53e-01 7.81e-02 
2432.98 3.27e-28 1.30e-20 5.15e-13 3.79e-06 4.84e-02 8.43e-01 1.08e-01 
2581.60 1.34e-28 6.07e-21 2.66e-13 2.14e-06 3.51e-02 8.21e-01 1.44e-01 
2739.29 6.44e-29 3.17e-21 1.50e-13 1.32e-06 2.71e-02 7.96e-01 1.77e-01 
2906.62 4.39e-29 2.30e-21 1.16e-13 1.09e-06 2.47e-02 7.89e-01 1.87e-01 
3084.17 2.89e-29 1.70e-21 9.34e-14 9.47e-07 2.27e-02 7.80e-01 1.97e-01 
3272.56 1.67e-29 1.25e-21 7.65e-14 8.53e-07 2.14e-02 7.75e-01 2.03e-01 
3472.46 9.61e-30 1.19e-21 7.96e-14 9.53e-07 2.28e-02 7.87e-01 1.90e-01 
3684.57 8.03e-30 1.14e-21 8.33e-14 1.09e-06 2.45e-02 8.01e-01 1.75e-01 
