#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    1.525056E+04   1.0000E-099   8.7017E-009   4.7496E-003   9.9525E-001
    1.570852E+04   1.0000E-099   5.3654E-006   2.5636E-001   7.4363E-001
    1.603933E+04   1.0000E-099   1.7353E-004   9.4697E-001   5.2852E-002
    1.626493E+04   1.0000E-099   2.0837E-003   9.9745E-001   4.6925E-004
    1.642900E+04   1.0000E-099   2.1139E-002   9.7886E-001   3.4930E-006
    1.655927E+04   1.0000E-099   1.5153E-001   8.4847E-001   2.6401E-008
    1.666808E+04   1.0000E-099   5.5424E-001   4.4576E-001   1.6274E-010
    1.676387E+04   1.0000E-099   8.6655E-001   1.3345E-001   9.9732E-013
    1.685344E+04   1.0000E-099   9.5802E-001   4.1979E-002   1.3811E-014
    1.694048E+04   1.0000E-099   9.8324E-001   1.6759E-002   4.9601E-016
    1.702877E+04   1.0000E-099   9.9221E-001   7.7913E-003   3.2312E-017
    1.712364E+04   1.0000E-099   9.9611E-001   3.8865E-003   2.8158E-018
    1.723140E+04   1.0000E-099   9.9805E-001   1.9535E-003   2.6165E-019
    1.736849E+04   1.0000E-099   9.9910E-001   8.9852E-004   1.8549E-020
    1.764428E+04   1.0000E-099   9.9977E-001   2.3223E-004   1.9757E-022
    1.825185E+04   1.0000E-099   9.9998E-001   1.7887E-005   4.5614E-026
    1.898577E+04   1.0000E-099   1.0000E+000   1.4577E-006   1.2292E-029
