#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    2.435505E+03   1.0000E-099   4.9979E-038   2.4015E-030   1.0431E-022   5.3264E-016   7.3614E-010   1.3709E-004   9.9986E-001
    2.586253E+03   1.0000E-099   2.4406E-039   1.5159E-031   9.5664E-024   7.4845E-017   1.8130E-010   6.5199E-005   9.9993E-001
    2.746332E+03   1.0000E-099   5.9648E-040   4.2431E-032   3.2157E-024   3.0878E-017   9.6981E-011   4.6979E-005   9.9995E-001
    2.916319E+03   1.0000E-099   1.6928E-040   1.3608E-032   1.2156E-024   1.4027E-017   5.5601E-011   3.5148E-005   9.9996E-001
    3.096828E+03   1.0000E-099   6.9501E-041   6.3337E-033   6.4855E-025   8.6223E-018   3.9887E-011   2.9683E-005   9.9997E-001
    3.288509E+03   1.0000E-099   5.1068E-041   5.1149E-033   5.6380E-025   7.9919E-018   3.8477E-011   2.9316E-005   9.9997E-001
    3.492055E+03   1.0000E-099   5.9385E-041   6.3516E-033   7.1570E-025   1.0166E-017   4.6620E-011   3.2683E-005   9.9997E-001
    3.708199E+03   1.0000E-099   8.2760E-041   9.5064E-033   1.0829E-024   1.5125E-017   6.3606E-011   3.8936E-005   9.9996E-001
    3.937722E+03   1.0000E-099   1.1107E-040   1.4000E-032   1.6360E-024   2.2736E-017   8.8054E-011   4.6948E-005   9.9995E-001
    4.181452E+03   1.0000E-099   3.2924E-040   4.2920E-032   4.6902E-024   5.8231E-017   1.7949E-010   6.9844E-005   9.9993E-001
