#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
4148.46 5.51e-20 1.32e-11 6.59e-05 2.65e-01 7.35e-01 
4401.86 1.14e-19 2.60e-11 1.08e-04 3.35e-01 6.65e-01 
4670.75 1.97e-19 4.68e-11 1.68e-04 4.15e-01 5.85e-01 
4956.05 2.35e-19 6.01e-11 2.07e-04 4.56e-01 5.44e-01 
5258.79 2.48e-19 6.94e-11 2.37e-04 4.89e-01 5.11e-01 
5580.02 3.33e-19 1.04e-10 3.27e-04 5.64e-01 4.35e-01 
5920.87 4.64e-19 1.51e-10 4.31e-04 6.22e-01 3.78e-01 
6282.54 7.27e-19 2.46e-10 6.14e-04 7.02e-01 2.97e-01 
6666.30 1.25e-18 4.47e-10 9.27e-04 7.86e-01 2.13e-01 
7073.50 2.43e-18 9.24e-10 1.49e-03 8.66e-01 1.33e-01 
7505.58 5.12e-18 1.96e-09 2.39e-03 9.19e-01 7.82e-02 
7964.05 1.52e-17 5.97e-09 4.77e-03 9.63e-01 3.20e-02 
8450.53 7.53e-17 2.99e-08 1.29e-02 9.79e-01 8.25e-03 
8966.72 4.14e-16 1.66e-07 3.61e-02 9.62e-01 2.04e-03 
9514.44 4.50e-15 1.75e-06 1.43e-01 8.57e-01 2.41e-04 
10095.62 8.49e-14 3.11e-05 5.89e-01 4.11e-01 5.96e-06 
10712.30 9.59e-13 3.56e-04 9.61e-01 3.82e-02 9.27e-09 
11366.65 1.53e-11 5.64e-03 9.94e-01 8.39e-04 5.01e-13 
12061.10 4.31e-10 1.76e-01 8.24e-01 9.25e-07 7.33e-20 
12793.43 2.04e-09 9.31e-01 6.92e-02 1.22e-10 2.42e-24 
13528.61 2.16e-09 1.00e+00 3.09e-04 1.95e-16 1.88e-25 
14194.74 2.01e-09 1.00e+00 1.35e-06 2.47e-22 1.10e-25 
14757.77 2.13e-09 1.00e+00 1.31e-08 3.67e-25 8.75e-26 
15240.48 2.75e-09 1.00e+00 2.69e-10 1.65e-25 3.28e-26 
