#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
8.805142E+03 1.404356E+38 4.066837E+38 6.371076E+38 4.662244E+38
8.790050E+03 1.417757E+38 4.123617E+38 6.485806E+38 4.704423E+38
8.775009E+03 1.430562E+38 4.177660E+38 6.590309E+38 4.761126E+38
8.760019E+03 1.447531E+38 4.228215E+38 6.683145E+38 4.830174E+38
8.745081E+03 1.469401E+38 4.276131E+38 6.768684E+38 4.901212E+38
8.730193E+03 1.490225E+38 4.318688E+38 6.839661E+38 4.957852E+38
8.715356E+03 1.509383E+38 4.360216E+38 6.900020E+38 5.025959E+38
8.700570E+03 1.526614E+38 4.397340E+38 6.945764E+38 5.130564E+38
8.685833E+03 1.541891E+38 4.428858E+38 6.981134E+38 5.235622E+38
8.671147E+03 1.554983E+38 4.461863E+38 7.005306E+38 5.311395E+38
