#NTIMES: 110 
#TIMES[d]: 2.04 2.11 2.19 2.28 2.36 2.45 2.54 2.64 2.74 2.84 2.95 3.06 3.17 3.29 3.41 3.54 3.68 3.81 3.96 4.11 4.26 4.42 4.59 4.76 4.94 5.12 5.32 5.52 5.72 5.94 6.16 6.39 6.63 6.88 7.14 7.41 7.69 7.98 8.28 8.59 8.91 9.25 9.59 9.95 10.33 10.71 11.12 11.54 11.97 12.42 12.88 13.37 13.87 14.39 14.93 15.49 16.08 16.68 17.31 17.96 18.63 19.33 20.06 20.81 21.59 22.41 23.25 24.12 25.03 25.97 26.94 27.96 29.01 30.10 31.23 32.40 33.62 34.88 36.19 37.55 38.96 40.43 41.95 43.52 45.16 46.86 48.62 50.44 52.34 54.30 56.35 58.46 60.66 62.94 65.30 67.76 70.30 72.94 75.69 78.53 81.48 84.54 87.72 91.01 94.43 97.98 101.66 105.48 109.45 113.56 117.83 
#NSTAGES: 5 
#
#TIME: 2.04 
#NVEL: 80 
#vel_mid[km/s] temp[K] ne[/cm^3] k0 k1 k2 k3 k4 
4250.00 79027.90 6.02e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4750.00 75839.10 5.07e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5250.00 72666.20 4.26e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5750.00 69442.60 3.58e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6250.00 66400.20 3.01e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6750.00 63502.30 2.53e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7250.00 59925.40 2.14e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7750.00 55603.10 1.80e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8250.00 51499.90 1.51e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8750.00 46865.60 1.32e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
9250.00 42120.80 1.17e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
9750.00 37356.50 1.02e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10250.00 31207.50 8.80e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10750.00 22973.40 6.57e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
11250.00 17300.00 4.55e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
11750.00 13506.90 2.91e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12250.00 11273.90 2.30e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12750.00 9635.25 1.69e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13250.00 8013.89 1.05e+11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13750.00 6361.29 7.76e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14250.00 5181.83 5.29e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14750.00 4621.40 3.54e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15250.00 3795.74 1.43e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15750.00 3663.85 9.39e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16250.00 3521.49 5.82e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
