#NTIMES:    57
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    3.850227E+03   7.4719E-040   2.7364E-029   6.7833E-021   6.3843E-013   5.1685E-006   9.9999E-001
    4.207968E+03   1.0719E-039   3.9389E-029   9.8049E-021   8.6945E-013   6.3149E-006   9.9999E-001
    4.598949E+03   1.6297E-039   5.9965E-029   1.4964E-020   1.2426E-012   7.9489E-006   9.9999E-001
    5.026257E+03   2.6525E-039   9.7461E-029   2.4330E-020   1.8801E-012   1.0360E-005   9.9999E-001
    5.322738E+03   3.7901E-039   1.3888E-028   3.4631E-020   2.5447E-012   1.2558E-005   9.9999E-001
    5.636785E+03   5.6131E-039   2.0480E-028   5.0953E-020   3.5502E-012   1.5503E-005   9.9998E-001
    5.969249E+03   8.6701E-039   3.1449E-028   7.7997E-020   5.1295E-012   1.9544E-005   9.9998E-001
    6.324633E+03   1.4030E-038   5.0590E-028   1.2521E-019   7.6960E-012   2.5191E-005   9.9997E-001
    6.696793E+03   2.7336E-038   9.6708E-028   2.3715E-019   1.3035E-011   3.4757E-005   9.9997E-001
    7.079796E+03   6.5300E-038   2.2254E-027   5.3455E-019   2.5187E-011   5.1692E-005   9.9995E-001
    7.407135E+03   1.8380E-037   5.8139E-027   1.3184E-018   5.2429E-011   7.9931E-005   9.9992E-001
    7.692817E+03   5.7154E-037   1.6465E-026   3.4530E-018   1.1420E-010   1.2652E-004   9.9987E-001
    7.943790E+03   1.9873E-036   5.1243E-026   9.7639E-018   2.6347E-010   2.0642E-004   9.9979E-001
    8.178255E+03   7.9705E-036   1.8100E-025   3.0860E-017   6.6298E-010   3.5349E-004   9.9965E-001
    8.396906E+03   3.6122E-035   7.1346E-025   1.0761E-016   1.8028E-009   6.3213E-004   9.9937E-001
    8.600030E+03   1.8113E-034   3.0809E-024   4.0735E-016   5.2303E-009   1.1718E-003   9.9883E-001
    8.794946E+03   1.0287E-033   1.4908E-023   1.7114E-015   1.6490E-008   2.2763E-003   9.9772E-001
    8.979615E+03   6.4143E-033   7.8638E-023   7.7859E-015   5.5393E-008   4.5804E-003   9.9542E-001
    9.145090E+03   3.8809E-032   4.0443E-022   3.4665E-014   1.8268E-007   9.1032E-003   9.9090E-001
    9.307344E+03   2.6499E-031   2.3282E-021   1.7135E-013   6.5347E-007   1.8904E-002   9.8110E-001
    9.467105E+03   2.0635E-030   1.5151E-020   9.4852E-013   2.5514E-006   4.1044E-002   9.5895E-001
    9.611352E+03   1.5157E-029   9.3651E-020   5.0098E-012   9.5464E-006   8.5993E-002   9.1400E-001
    9.749622E+03   1.1577E-028   5.9910E-019   2.7194E-011   3.6033E-005   1.7668E-001   8.2328E-001
