#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           s 1           s 2           s 3           s 4           s 5
    2.644080E+04    1.0000E-99    1.0000E+00    3.0997E-15    1.0854E-22    1.0792E-37
    2.733350E+04    1.0000E-99    1.0000E+00    3.0341E-15    1.1022E-22    1.0752E-37
    2.821284E+04    1.0000E-99    1.0000E+00    2.9967E-15    1.1167E-22    1.0772E-37
    2.908138E+04    1.0000E-99    1.0000E+00    2.9412E-15    1.1291E-22    1.0691E-37
    2.994295E+04    1.0000E-99    1.0000E+00    2.8863E-15    1.1412E-22    1.0593E-37
    3.079959E+04    1.0000E-99    1.0000E+00    2.8390E-15    1.1560E-22    1.0542E-37
    3.165298E+04    1.0000E-99    1.0000E+00    2.8274E-15    1.1770E-22    1.0686E-37
    3.250461E+04    1.0000E-99    1.0000E+00    2.8565E-15    1.2065E-22    1.1082E-37
    3.335585E+04    1.0000E-99    1.0000E+00    2.9191E-15    1.2409E-22    1.1676E-37
    3.420806E+04    1.0000E-99    1.0000E+00    2.9815E-15    1.2719E-22    1.2241E-37
    3.506257E+04    1.0000E-99    1.0000E+00    3.0566E-15    1.2968E-22    1.2790E-37
    3.592077E+04    1.0000E-99    1.0000E+00    3.3109E-15    1.3270E-22    1.4184E-37
    3.678416E+04    1.0000E-99    1.0000E+00    3.7430E-15    1.3569E-22    1.6352E-37
    3.765440E+04    1.0000E-99    1.0000E+00    4.0737E-15    1.3792E-22    1.7988E-37
    3.853330E+04    1.0000E-99    1.0000E+00    4.5952E-15    1.3984E-22    2.0311E-37
    3.942287E+04    1.0000E-99    1.0000E+00    5.3871E-15    1.4103E-22    2.3920E-37
    4.030996E+04    1.0000E-99    1.0000E+00    6.0365E-15    1.4140E-22    2.6675E-37
    4.032500E+04    1.0000E-99    1.0000E+00    1.6741E-15    7.5473E-23    5.1644E-38
#TIME:     2.050
#NVEL: 111
#vel_mid[km/s]           s 1           s 2           s 3           s 4           s 5
    1.025000E+03    1.0000E-99    3.9892E-23    5.7508E-15    4.5359E-07    1.0000E+00
    1.037120E+03    1.0000E-99    3.9378E-23    5.7012E-15    4.5163E-07    1.0000E+00
    1.061360E+03    1.0000E-99    3.8548E-23    5.6219E-15    4.4847E-07    1.0000E+00
    1.109839E+03    1.0000E-99    3.7483E-23    5.5246E-15    4.4450E-07    1.0000E+00
    1.213017E+03    1.0000E-99    3.6833E-23    5.4878E-15    4.4268E-07    1.0000E+00
    1.325723E+03    1.0000E-99    3.7079E-23    5.5504E-15    4.4473E-07    1.0000E+00
    1.448902E+03    1.0000E-99    3.7705E-23    5.6589E-15    4.4853E-07    1.0000E+00
    1.583526E+03    1.0000E-99    3.8559E-23    5.7977E-15    4.5344E-07    1.0000E+00
    1.730658E+03    1.0000E-99    3.9626E-23    5.9665E-15    4.5944E-07    1.0000E+00
    1.891461E+03    1.0000E-99    4.0915E-23    6.1679E-15    4.6658E-07    1.0000E+00
    2.067205E+03    1.0000E-99    4.2507E-23    6.4122E-15    4.7522E-07    1.0000E+00
    2.259278E+03    1.0000E-99    4.4475E-23    6.7097E-15    4.8564E-07    1.0000E+00
    2.469197E+03    1.0000E-99    4.6988E-23    7.0817E-15    4.9853E-07    1.0000E+00
    2.698621E+03    1.0000E-99    5.0194E-23    7.5483E-15    5.1441E-07    1.0000E+00
    2.949361E+03    1.0000E-99    5.4359E-23    8.1431E-15    5.3420E-07    1.0000E+00
    3.223399E+03    1.0000E-99    5.9914E-23    8.9194E-15    5.5924E-07    1.0000E+00
    3.522899E+03    1.0000E-99    6.7498E-23    9.9547E-15    5.9134E-07    1.0000E+00
    3.850227E+03    1.0000E-99    7.8174E-23    1.1373E-14    6.3317E-07    1.0000E+00
    4.207968E+03    1.0000E-99    9.3739E-23    1.3379E-14    6.8868E-07    1.0000E+00
    4.598949E+03    1.0000E-99    1.1735E-22    1.6314E-14    7.6376E-07    1.0000E+00
    5.026257E+03    1.0000E-99    1.5456E-22    2.0762E-14    8.6710E-07    1.0000E+00
    5.322738E+03    1.0000E-99    1.9040E-22    2.4906E-14    9.5493E-07    1.0000E+00
    5.636785E+03    1.0000E-99    2.4064E-22    3.0548E-14    1.0649E-06    1.0000E+00
    5.969249E+03    1.0000E-99    3.0785E-22    3.8014E-14    1.1992E-06    1.0000E+00
    6.324633E+03    1.0000E-99    3.8088E-22    4.6659E-14    1.3484E-06    1.0000E+00
    6.696793E+03    1.0000E-99    4.0790E-22    5.2446E-14    1.4695E-06    1.0000E+00
    7.079796E+03    1.0000E-99    4.9653E-22    6.4868E-14    1.6849E-06    1.0000E+00
    7.407135E+03    1.0000E-99    7.4855E-22    9.3116E-14    2.0749E-06    1.0000E+00
    7.692817E+03    1.0000E-99    1.2603E-21    1.4492E-13    2.6599E-06    1.0000E+00
    7.943790E+03    1.0000E-99    2.2876E-21    2.3862E-13    3.5121E-06    1.0000E+00
    8.178255E+03    1.0000E-99    4.4995E-21    4.1902E-13    4.8051E-06    1.0000E+00
    8.396906E+03    1.0000E-99    9.4416E-21    7.7574E-13    6.7725E-06    9.9999E-01
    8.600030E+03    1.0000E-99    2.0889E-20    1.4994E-12    9.7824E-06    9.9999E-01
    8.794946E+03    1.0000E-99    4.9394E-20    3.0614E-12    1.4580E-05    9.9999E-01
    8.979615E+03    1.0000E-99    1.2292E-19    6.5166E-12    2.2258E-05    9.9998E-01
    9.145090E+03    1.0000E-99    3.0347E-19    1.3767E-11    3.3863E-05    9.9997E-01
    9.307344E+03    1.0000E-99    8.0538E-19    3.0832E-11    5.3275E-05    9.9995E-01
    9.467105E+03    1.0000E-99    2.3324E-18    7.4051E-11    8.7259E-05    9.9991E-01
    9.611352E+03    1.0000E-99    6.7705E-18    1.7770E-10    1.4299E-04    9.9986E-01
    9.749622E+03    1.0000E-99    2.1137E-17    4.5062E-10    2.4191E-04    9.9976E-01
    9.884725E+03    1.0000E-99    7.3418E-17    1.2387E-09    4.2853E-04    9.9957E-01
    1.001128E+04    1.0000E-99    2.6945E-16    3.5352E-09    7.7554E-04    9.9922E-01
    1.013294E+04    1.0000E-99    1.0650E-15    1.0640E-08    1.4466E-03    9.9855E-01
    1.025192E+04    1.0000E-99    4.5707E-15    3.4019E-08    2.7933E-03    9.9721E-01
    1.036523E+04    1.0000E-99    2.0221E-14    1.1088E-07    5.4566E-03    9.9454E-01
    1.047433E+04    1.0000E-99    9.2836E-14    3.7046E-07    1.0809E-02    9.8919E-01
    1.058087E+04    1.0000E-99    4.5125E-13    1.2880E-06    2.1870E-02    9.7813E-01
    1.068358E+04    1.0000E-99    2.2959E-12    4.6129E-06    4.4806E-02    9.5519E-01
