#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
10250.00 8.4082e-06 5.6633e-01 3.8123e-01 5.2439e-02
10750.00 1.0144e-05 5.9878e-01 3.5754e-01 4.3665e-02
11250.00 1.4903e-05 6.4865e-01 3.1549e-01 3.5836e-02
11750.00 1.5702e-05 6.7063e-01 2.9776e-01 3.1600e-02
12250.00 1.5742e-05 6.9388e-01 2.7642e-01 2.9683e-02
12750.00 1.3464e-05 6.4379e-01 3.2060e-01 3.5598e-02
13250.00 1.2633e-05 6.6668e-01 2.9676e-01 3.6545e-02
13750.00 1.0370e-05 6.5029e-01 3.1132e-01 3.8380e-02
14250.00 1.0586e-05 5.8619e-01 3.6368e-01 5.0115e-02
14750.00 8.0021e-06 5.3959e-01 4.0437e-01 5.6028e-02
15250.00 8.5430e-06 5.4147e-01 3.9611e-01 6.2413e-02
15750.00 6.7667e-06 4.6742e-01 4.6085e-01 7.1720e-02
16250.00 5.0438e-06 4.5967e-01 4.5880e-01 8.1517e-02
16750.00 5.3134e-06 4.1052e-01 5.0348e-01 8.5994e-02
17250.00 4.7498e-06 4.6315e-01 4.4549e-01 9.1355e-02
17750.00 4.3751e-06 4.1361e-01 4.8459e-01 1.0180e-01
18250.00 5.8539e-06 4.8319e-01 4.1633e-01 1.0047e-01
18750.00 3.4812e-06 3.6397e-01 5.0530e-01 1.3073e-01
