#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
16750.00 1.38e-08 3.55e-02 9.64e-01 3.27e-08 3.49e-23 
17250.00 3.59e-08 7.27e-02 9.27e-01 6.35e-09 7.77e-25 
17750.00 8.68e-08 1.43e-01 8.57e-01 1.11e-09 1.45e-26 
18250.00 1.65e-07 2.37e-01 7.63e-01 2.26e-10 3.85e-28 
18750.00 2.96e-07 3.55e-01 6.45e-01 4.25e-11 9.55e-30 
19250.00 4.50e-07 4.84e-01 5.16e-01 8.44e-12 3.16e-31 
19750.00 5.84e-07 6.07e-01 3.93e-01 1.74e-12 6.57e-32 
20250.00 7.72e-07 7.41e-01 2.59e-01 3.39e-13 7.89e-32 
20750.00 1.01e-06 7.33e-01 2.67e-01 1.02e-13 1.66e-31 
21250.00 1.02e-06 8.08e-01 1.92e-01 3.20e-14 2.63e-31 
21750.00 1.11e-06 8.97e-01 1.03e-01 5.13e-15 1.20e-31 
22250.00 1.28e-06 9.43e-01 5.67e-02 1.18e-15 3.71e-31 
22750.00 1.32e-06 9.69e-01 3.09e-02 1.95e-16 4.45e-31 
23250.00 1.25e-06 9.75e-01 2.52e-02 6.81e-17 3.83e-31 
23750.00 1.44e-06 9.83e-01 1.67e-02 1.82e-17 3.22e-31 
24250.00 1.32e-06 9.88e-01 1.18e-02 5.38e-18 5.14e-31 
24750.00 9.02e-07 9.40e-01 5.96e-02 3.57e-17 1.68e-29 
25250.00 1.01e-06 9.94e-01 6.48e-03 1.56e-18 1.78e-31 
