#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7
2.622500E+04 8.243677E-07 9.851232E-01 1.487597E-02 1.723742E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.627500E+04 8.176730E-07 9.851237E-01 1.487545E-02 1.716067E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.632500E+04 8.153388E-07 9.852885E-01 1.471067E-02 1.660713E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.637500E+04 8.076402E-07 9.852362E-01 1.476297E-02 1.671086E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.642500E+04 8.067729E-07 9.854519E-01 1.454733E-02 1.603024E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.647500E+04 8.054213E-07 9.856506E-01 1.434858E-02 1.540645E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.652500E+04 7.988855E-07 9.856522E-01 1.434699E-02 1.533327E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.657500E+04 7.924232E-07 9.856502E-01 1.434903E-02 1.527936E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.662500E+04 7.875390E-07 9.857104E-01 1.428879E-02 1.504982E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.667500E+04 7.835462E-07 9.858022E-01 1.419700E-02 1.474124E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.672500E+04 7.734653E-07 9.856539E-01 1.434531E-02 1.508175E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.677500E+04 7.684146E-07 9.857013E-01 1.429792E-02 1.489305E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.682500E+04 7.572810E-07 9.854974E-01 1.450187E-02 1.539343E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.687500E+04 7.537279E-07 9.856020E-01 1.439724E-02 1.504726E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.692500E+04 7.535602E-07 9.858478E-01 1.415140E-02 1.432409E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.697500E+04 7.479961E-07 9.858725E-01 1.412671E-02 1.419424E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.702500E+04 7.455449E-07 9.860162E-01 1.398305E-02 1.377108E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.707500E+04 7.379528E-07 9.859562E-01 1.404311E-02 1.386035E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.712500E+04 7.316236E-07 9.859458E-01 1.405348E-02 1.382122E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.717500E+04 7.269850E-07 9.860004E-01 1.399883E-02 1.362279E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.722500E+04 7.250989E-07 9.861654E-01 1.383385E-02 1.315715E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.727500E+04 7.194120E-07 9.861756E-01 1.382370E-02 1.307285E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.732500E+04 7.138114E-07 9.861870E-01 1.381224E-02 1.298679E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.737500E+04 7.065434E-07 9.861294E-01 1.386985E-02 1.306376E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.742500E+04 7.030624E-07 9.862309E-01 1.376837E-02 1.275334E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.747500E+04 7.007875E-07 9.863767E-01 1.362262E-02 1.235229E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.752500E+04 6.940138E-07 9.863343E-01 1.366496E-02 1.239319E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.757500E+04 6.887334E-07 9.863451E-01 1.365416E-02 1.232243E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.762500E+04 6.851122E-07 9.864329E-01 1.356641E-02 1.206175E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.767500E+04 6.782759E-07 9.863850E-01 1.361434E-02 1.210879E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.772500E+04 6.726724E-07 9.863860E-01 1.361337E-02 1.204661E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.777500E+04 6.682648E-07 9.864346E-01 1.356475E-02 1.188110E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.782500E+04 6.628489E-07 9.864372E-01 1.356212E-02 1.182115E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.787500E+04 6.584921E-07 9.864840E-01 1.351533E-02 1.166436E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
